Year,SeriesCode,Страна ,Value
2000,NE_EXP_GNFS_KD_ZG,Albania,38.8813
2001,NE_EXP_GNFS_KD_ZG,Albania,15.45617
2002,NE_EXP_GNFS_KD_ZG,Albania,3.55237
2003,NE_EXP_GNFS_KD_ZG,Albania,11.77325
2004,NE_EXP_GNFS_KD_ZG,Albania,18.48386
2005,NE_EXP_GNFS_KD_ZG,Albania,24.26686
2006,NE_EXP_GNFS_KD_ZG,Albania,16.92743
2007,NE_EXP_GNFS_KD_ZG,Albania,19.1122
2008,NE_EXP_GNFS_KD_ZG,Albania,-4.62557
2009,NE_EXP_GNFS_KD_ZG,Albania,4.71154
2010,NE_EXP_GNFS_KD_ZG,Albania,19.19358
2011,NE_EXP_GNFS_KD_ZG,Albania,6.6741
2000,NE_EXP_GNFS_KD_ZG,Canada,9.02571
2001,NE_EXP_GNFS_KD_ZG,Canada,-2.90046
2002,NE_EXP_GNFS_KD_ZG,Canada,1.22919
2003,NE_EXP_GNFS_KD_ZG,Canada,-1.7092
2004,NE_EXP_GNFS_KD_ZG,Canada,5.53065
2005,NE_EXP_GNFS_KD_ZG,Canada,2.27195
2006,NE_EXP_GNFS_KD_ZG,Canada,0.88131
2007,NE_EXP_GNFS_KD_ZG,Canada,1.13764
2008,NE_EXP_GNFS_KD_ZG,Canada,-4.54393
2009,NE_EXP_GNFS_KD_ZG,Canada,-12.96518
2010,NE_EXP_GNFS_KD_ZG,Canada,6.67763
2011,NE_EXP_GNFS_KD_ZG,Canada,4.82766
2012,NE_EXP_GNFS_KD_ZG,Albania,0.29359
2013,NE_EXP_GNFS_KD_ZG,Albania,1.589
2014,NE_EXP_GNFS_KD_ZG,Albania,1.1528
2015,NE_EXP_GNFS_KD_ZG,Albania,0.96935
2016,NE_EXP_GNFS_KD_ZG,Albania,11.3406
2017,NE_EXP_GNFS_KD_ZG,Albania,13.24346
2018,NE_EXP_GNFS_KD_ZG,Albania,4.02576
2019,NE_EXP_GNFS_KD_ZG,Albania,2.63579
2020,NE_EXP_GNFS_KD_ZG,Albania,-27.86144
2021,NE_EXP_GNFS_KD_ZG,Albania,46.51236
2000,NE_EXP_GNFS_KD_ZG,Azerbaijan,22.98504
2001,NE_EXP_GNFS_KD_ZG,Azerbaijan,27.05044
2002,NE_EXP_GNFS_KD_ZG,Azerbaijan,10.46603
2003,NE_EXP_GNFS_KD_ZG,Azerbaijan,0.76862
2004,NE_EXP_GNFS_KD_ZG,Azerbaijan,11.80838
2005,NE_EXP_GNFS_KD_ZG,Azerbaijan,48.94333
2006,NE_EXP_GNFS_KD_ZG,Azerbaijan,34.31149
2007,NE_EXP_GNFS_KD_ZG,Azerbaijan,47.53711
2008,NE_EXP_GNFS_KD_ZG,Azerbaijan,7.7959
2009,NE_EXP_GNFS_KD_ZG,Azerbaijan,8.13317
2010,NE_EXP_GNFS_KD_ZG,Azerbaijan,24.1995
2011,NE_EXP_GNFS_KD_ZG,Azerbaijan,3.59495
2012,NE_EXP_GNFS_KD_ZG,Azerbaijan,2.2
2013,NE_EXP_GNFS_KD_ZG,Azerbaijan,1.5
2000,NE_EXP_GNFS_KD_ZG,Таджикистан,2.81491
2001,NE_EXP_GNFS_KD_ZG,Таджикистан,-14.49998
2002,NE_EXP_GNFS_KD_ZG,Таджикистан,7.60001
2003,NE_EXP_GNFS_KD_ZG,Таджикистан,29.49998
2004,NE_EXP_GNFS_KD_ZG,Таджикистан,22.60003
2005,NE_EXP_GNFS_KD_ZG,Таджикистан,2.89998
2006,NE_EXP_GNFS_KD_ZG,Таджикистан,6.41958
2007,NE_EXP_GNFS_KD_ZG,Таджикистан,-1.34832
2008,NE_EXP_GNFS_KD_ZG,Таджикистан,16.04103
2009,NE_EXP_GNFS_KD_ZG,Таджикистан,-2.00001
2010,NE_EXP_GNFS_KD_ZG,Таджикистан,23.0
2011,NE_EXP_GNFS_KD_ZG,Таджикистан,1.10002
2000,NE_EXP_GNFS_KD_ZG,Latvia,14.41881
2001,NE_EXP_GNFS_KD_ZG,Latvia,9.03768
2002,NE_EXP_GNFS_KD_ZG,Latvia,5.03039
2003,NE_EXP_GNFS_KD_ZG,Latvia,3.98014
2004,NE_EXP_GNFS_KD_ZG,Latvia,13.75251
2005,NE_EXP_GNFS_KD_ZG,Latvia,23.50455
2006,NE_EXP_GNFS_KD_ZG,Latvia,7.54243
2007,NE_EXP_GNFS_KD_ZG,Latvia,13.85969
2008,NE_EXP_GNFS_KD_ZG,Latvia,2.31882
2009,NE_EXP_GNFS_KD_ZG,Latvia,-12.87426
2010,NE_EXP_GNFS_KD_ZG,Latvia,13.44397
2011,NE_EXP_GNFS_KD_ZG,Latvia,12.60366
2014,NE_EXP_GNFS_KD_ZG,Azerbaijan,-1.0973
2000,NE_EXP_GNFS_KD_ZG,Australia,9.89183
2001,NE_EXP_GNFS_KD_ZG,Australia,8.64196
2002,NE_EXP_GNFS_KD_ZG,Australia,-0.49085
2003,NE_EXP_GNFS_KD_ZG,Australia,0.50424
2004,NE_EXP_GNFS_KD_ZG,Australia,1.329
2005,NE_EXP_GNFS_KD_ZG,Australia,3.45962
2006,NE_EXP_GNFS_KD_ZG,Australia,2.98815
2007,NE_EXP_GNFS_KD_ZG,Australia,4.15677
2008,NE_EXP_GNFS_KD_ZG,Australia,4.01933
2009,NE_EXP_GNFS_KD_ZG,Australia,2.41803
2010,NE_EXP_GNFS_KD_ZG,Australia,4.70586
2012,NE_EXP_GNFS_KD_ZG,Canada,2.81469
2013,NE_EXP_GNFS_KD_ZG,Canada,2.46077
2014,NE_EXP_GNFS_KD_ZG,Canada,6.32277
2015,NE_EXP_GNFS_KD_ZG,Canada,3.419
2016,NE_EXP_GNFS_KD_ZG,Canada,1.40666
2017,NE_EXP_GNFS_KD_ZG,Canada,1.44507
2018,NE_EXP_GNFS_KD_ZG,Canada,3.68342
2019,NE_EXP_GNFS_KD_ZG,Canada,1.28273
2020,NE_EXP_GNFS_KD_ZG,Canada,-8.69268
2021,NE_EXP_GNFS_KD_ZG,Canada,1.39326
2000,NE_EXP_GNFS_KD_ZG,Chile,6.07171
2001,NE_EXP_GNFS_KD_ZG,Chile,7.61129
2012,NE_EXP_GNFS_KD_ZG,Таджикистан,0.99998
2013,NE_EXP_GNFS_KD_ZG,Таджикистан,-9.99998
2002,NE_EXP_GNFS_KD_ZG,United Arab Emirates,3.15041
2003,NE_EXP_GNFS_KD_ZG,United Arab Emirates,22.9102
2004,NE_EXP_GNFS_KD_ZG,United Arab Emirates,24.54438
2005,NE_EXP_GNFS_KD_ZG,United Arab Emirates,11.48226
2006,NE_EXP_GNFS_KD_ZG,United Arab Emirates,11.53124
2007,NE_EXP_GNFS_KD_ZG,United Arab Emirates,8.83207
2008,NE_EXP_GNFS_KD_ZG,United Arab Emirates,12.43522
2009,NE_EXP_GNFS_KD_ZG,United Arab Emirates,-4.29926
2010,NE_EXP_GNFS_KD_ZG,United Arab Emirates,6.25981
2011,NE_EXP_GNFS_KD_ZG,United Arab Emirates,16.06622
2012,NE_EXP_GNFS_KD_ZG,Latvia,9.49795
2013,NE_EXP_GNFS_KD_ZG,Latvia,0.65931
2014,NE_EXP_GNFS_KD_ZG,Latvia,6.27168
2015,NE_EXP_GNFS_KD_ZG,Latvia,2.97366
2016,NE_EXP_GNFS_KD_ZG,Latvia,3.95556
2017,NE_EXP_GNFS_KD_ZG,Latvia,6.352
2018,NE_EXP_GNFS_KD_ZG,Latvia,4.40509
2019,NE_EXP_GNFS_KD_ZG,Latvia,2.14599
2020,NE_EXP_GNFS_KD_ZG,Latvia,-0.34488
2021,NE_EXP_GNFS_KD_ZG,Latvia,5.91758
2000,NE_EXP_GNFS_KD_ZG,Lithuania,14.11616
2001,NE_EXP_GNFS_KD_ZG,Lithuania,24.07249
2002,NE_EXP_GNFS_KD_ZG,Lithuania,20.18957
2003,NE_EXP_GNFS_KD_ZG,Lithuania,9.07318
2004,NE_EXP_GNFS_KD_ZG,Lithuania,7.23998
2005,NE_EXP_GNFS_KD_ZG,Lithuania,19.84299
2006,NE_EXP_GNFS_KD_ZG,Lithuania,12.80726
2007,NE_EXP_GNFS_KD_ZG,Lithuania,3.1932
2008,NE_EXP_GNFS_KD_ZG,Lithuania,11.61762
2009,NE_EXP_GNFS_KD_ZG,Lithuania,-13.67588
2010,NE_EXP_GNFS_KD_ZG,Lithuania,16.38173
2011,NE_EXP_GNFS_KD_ZG,Lithuania,14.54687
2012,NE_EXP_GNFS_KD_ZG,Lithuania,10.84753
2013,NE_EXP_GNFS_KD_ZG,Lithuania,7.26975
2012,NE_EXP_GNFS_KD_ZG,United Arab Emirates,17.45399
2013,NE_EXP_GNFS_KD_ZG,United Arab Emirates,6.0935
2014,NE_EXP_GNFS_KD_ZG,United Arab Emirates,1.8021
2015,NE_EXP_GNFS_KD_ZG,United Arab Emirates,5.19075
2016,NE_EXP_GNFS_KD_ZG,United Arab Emirates,3.40508
2017,NE_EXP_GNFS_KD_ZG,United Arab Emirates,-2.52046
2018,NE_EXP_GNFS_KD_ZG,United Arab Emirates,11.501
2019,NE_EXP_GNFS_KD_ZG,United Arab Emirates,-1.33917
2020,NE_EXP_GNFS_KD_ZG,United Arab Emirates,-7.02497
2000,NE_EXP_GNFS_KD_ZG,Türkiye,18.80471
2001,NE_EXP_GNFS_KD_ZG,Türkiye,4.93183
2002,NE_EXP_GNFS_KD_ZG,Türkiye,8.14124
2014,NE_EXP_GNFS_KD_ZG,Lithuania,-1.82268
2015,NE_EXP_GNFS_KD_ZG,Lithuania,2.42069
2016,NE_EXP_GNFS_KD_ZG,Lithuania,4.92717
2017,NE_EXP_GNFS_KD_ZG,Lithuania,13.52114
2018,NE_EXP_GNFS_KD_ZG,Lithuania,6.80595
2019,NE_EXP_GNFS_KD_ZG,Lithuania,10.06716
2020,NE_EXP_GNFS_KD_ZG,Lithuania,0.40264
2021,NE_EXP_GNFS_KD_ZG,Lithuania,17.00601
2000,NE_EXP_GNFS_KD_ZG,Luxembourg,17.01006
2001,NE_EXP_GNFS_KD_ZG,Luxembourg,6.41712
2002,NE_EXP_GNFS_KD_ZG,Luxembourg,-0.0984
2003,NE_EXP_GNFS_KD_ZG,Luxembourg,2.78352
2011,NE_EXP_GNFS_KD_ZG,Australia,0.84763
2012,NE_EXP_GNFS_KD_ZG,Australia,4.60505
2013,NE_EXP_GNFS_KD_ZG,Australia,5.31049
2014,NE_EXP_GNFS_KD_ZG,Australia,6.07522
2015,NE_EXP_GNFS_KD_ZG,Australia,6.8542
2016,NE_EXP_GNFS_KD_ZG,Australia,6.40381
2017,NE_EXP_GNFS_KD_ZG,Australia,5.49729
2018,NE_EXP_GNFS_KD_ZG,Australia,4.11446
2019,NE_EXP_GNFS_KD_ZG,Australia,3.90456
2020,NE_EXP_GNFS_KD_ZG,Australia,-1.65375
2021,NE_EXP_GNFS_KD_ZG,Australia,-8.3689
2000,NE_EXP_GNFS_KD_ZG,Austria,13.52458
2003,NE_EXP_GNFS_KD_ZG,Türkiye,7.70824
2004,NE_EXP_GNFS_KD_ZG,Türkiye,12.16386
2005,NE_EXP_GNFS_KD_ZG,Türkiye,8.33154
2006,NE_EXP_GNFS_KD_ZG,Türkiye,5.70105
2007,NE_EXP_GNFS_KD_ZG,Türkiye,6.97694
2008,NE_EXP_GNFS_KD_ZG,Türkiye,3.88359
2009,NE_EXP_GNFS_KD_ZG,Türkiye,-3.61691
2010,NE_EXP_GNFS_KD_ZG,Türkiye,1.72152
2011,NE_EXP_GNFS_KD_ZG,Türkiye,12.92105
2012,NE_EXP_GNFS_KD_ZG,Türkiye,14.49775
2013,NE_EXP_GNFS_KD_ZG,Türkiye,4.93265
2014,NE_EXP_GNFS_KD_ZG,Türkiye,7.07793
2004,NE_EXP_GNFS_KD_ZG,Luxembourg,9.2319
2005,NE_EXP_GNFS_KD_ZG,Luxembourg,5.97638
2006,NE_EXP_GNFS_KD_ZG,Luxembourg,12.92244
2007,NE_EXP_GNFS_KD_ZG,Luxembourg,5.12829
2008,NE_EXP_GNFS_KD_ZG,Luxembourg,-0.32764
2009,NE_EXP_GNFS_KD_ZG,Luxembourg,-7.24333
2010,NE_EXP_GNFS_KD_ZG,Luxembourg,10.15632
2011,NE_EXP_GNFS_KD_ZG,Luxembourg,4.38815
2012,NE_EXP_GNFS_KD_ZG,Luxembourg,1.61892
2013,NE_EXP_GNFS_KD_ZG,Luxembourg,6.31617
2014,NE_EXP_GNFS_KD_ZG,Luxembourg,6.51614
2015,NE_EXP_GNFS_KD_ZG,Luxembourg,5.13941
2016,NE_EXP_GNFS_KD_ZG,Luxembourg,5.30881
2017,NE_EXP_GNFS_KD_ZG,Luxembourg,-0.22686
2018,NE_EXP_GNFS_KD_ZG,Luxembourg,3.6116
2019,NE_EXP_GNFS_KD_ZG,Luxembourg,4.52345
2020,NE_EXP_GNFS_KD_ZG,Luxembourg,0.22162
2021,NE_EXP_GNFS_KD_ZG,Luxembourg,9.67991
2001,NE_EXP_GNFS_KD_ZG,Malta,-9.16535
2002,NE_EXP_GNFS_KD_ZG,Malta,8.20725
2003,NE_EXP_GNFS_KD_ZG,Malta,-1.20001
2004,NE_EXP_GNFS_KD_ZG,Malta,-3.9852
2005,NE_EXP_GNFS_KD_ZG,Malta,4.18805
2006,NE_EXP_GNFS_KD_ZG,Malta,21.73034
2015,NE_EXP_GNFS_KD_ZG,Türkiye,3.2388
2016,NE_EXP_GNFS_KD_ZG,Türkiye,-1.74189
2017,NE_EXP_GNFS_KD_ZG,Türkiye,12.40929
2018,NE_EXP_GNFS_KD_ZG,Türkiye,8.81368
2019,NE_EXP_GNFS_KD_ZG,Türkiye,4.22176
2020,NE_EXP_GNFS_KD_ZG,Türkiye,-14.35796
2021,NE_EXP_GNFS_KD_ZG,Türkiye,24.89394
2000,NE_EXP_GNFS_KD_ZG,Туркменистан,101.62815
2001,NE_EXP_GNFS_KD_ZG,Туркменистан,3.71305
2002,NE_EXP_GNFS_KD_ZG,Туркменистан,7.09072
2003,NE_EXP_GNFS_KD_ZG,Туркменистан,20.88608
2004,NE_EXP_GNFS_KD_ZG,Туркменистан,13.1964
2001,NE_EXP_GNFS_KD_ZG,Austria,5.771
2002,NE_EXP_GNFS_KD_ZG,Austria,4.28622
2003,NE_EXP_GNFS_KD_ZG,Austria,0.53149
2004,NE_EXP_GNFS_KD_ZG,Austria,8.66107
2005,NE_EXP_GNFS_KD_ZG,Austria,6.66511
2006,NE_EXP_GNFS_KD_ZG,Austria,7.57617
2007,NE_EXP_GNFS_KD_ZG,Austria,7.57181
2008,NE_EXP_GNFS_KD_ZG,Austria,2.17067
2009,NE_EXP_GNFS_KD_ZG,Austria,-14.36811
2010,NE_EXP_GNFS_KD_ZG,Austria,13.13107
2011,NE_EXP_GNFS_KD_ZG,Austria,5.93536
2012,NE_EXP_GNFS_KD_ZG,Austria,1.43769
2007,NE_EXP_GNFS_KD_ZG,Malta,10.31964
2008,NE_EXP_GNFS_KD_ZG,Malta,19.47114
2009,NE_EXP_GNFS_KD_ZG,Malta,-0.41524
2010,NE_EXP_GNFS_KD_ZG,Malta,8.20442
2011,NE_EXP_GNFS_KD_ZG,Malta,5.27282
2012,NE_EXP_GNFS_KD_ZG,Malta,5.46608
2013,NE_EXP_GNFS_KD_ZG,Malta,0.9492
2014,NE_EXP_GNFS_KD_ZG,Malta,3.45051
2015,NE_EXP_GNFS_KD_ZG,Malta,15.4381
2016,NE_EXP_GNFS_KD_ZG,Malta,7.02414
