Year,SeriesCode,Страна ,Value
2016,SG_PLN_RECNDI,Albania,79.5
2018,SG_PLN_RECNDI,Albania,80.70176
2018,SG_PLN_RECNDI,Azerbaijan,90.0
2016,SG_PLN_RECNDI,Armenia,91.1
2018,SG_PLN_RECNDI,Armenia,100.0
2018,SG_PLN_RECNDI,Bosnia and Herzegovina,53.42466
2016,SG_PLN_RECNDI,Belarus,100.0
2018,SG_PLN_RECNDI,Belarus,86.95652
2016,SG_PLN_RECNDI,Colombia,92.5
2016,SG_PLN_RECNDI,Costa Rica,62.9
2018,SG_PLN_RECNDI,Costa Rica,70.17544
2018,SG_PLN_RECNDI,Georgia,60.49383
2016,SG_PLN_RECNDI,Кыргызстан,94.3
2016,SG_PLN_RECNDI,Republic of Moldova,83.9
2018,SG_PLN_RECNDI,Republic of Moldova,94.28571
2018,SG_PLN_RECNDI,Montenegro,100.0
2016,SG_PLN_RECNDI,Viet Nam,98.5
2018,SG_PLN_RECNDI,Viet Nam,63.41463
2016,SG_PLN_RECNDI,Таджикистан,66.7
2016,SG_PLN_RECNDI,Таджикистан,66.7
