Year,SeriesCode,Страна ,Value
2019,SG_STT_FPOS,Albania,1
2020,SG_STT_FPOS,Albania,1
2022,SG_STT_FPOS,Albania,1
2020,SG_STT_FPOS,Azerbaijan,1
2021,SG_STT_FPOS,Azerbaijan,1
2022,SG_STT_FPOS,Azerbaijan,1
2019,SG_STT_FPOS,Australia,1
2020,SG_STT_FPOS,Australia,1
2021,SG_STT_FPOS,Australia,1
2022,SG_STT_FPOS,Australia,1
2019,SG_STT_FPOS,Austria,1
2020,SG_STT_FPOS,Austria,1
2021,SG_STT_FPOS,Austria,1
2022,SG_STT_FPOS,Austria,1
2019,SG_STT_FPOS,Armenia,1
2020,SG_STT_FPOS,Armenia,1
2021,SG_STT_FPOS,Armenia,1
2022,SG_STT_FPOS,Armenia,1
2019,SG_STT_FPOS,Belgium,1
2020,SG_STT_FPOS,Belgium,1
2021,SG_STT_FPOS,Belgium,1
2022,SG_STT_FPOS,Belgium,0
2019,SG_STT_FPOS,Bosnia and Herzegovina,1
2020,SG_STT_FPOS,Bosnia and Herzegovina,1
2022,SG_STT_FPOS,Bosnia and Herzegovina,1
2019,SG_STT_FPOS,Bulgaria,1
2020,SG_STT_FPOS,Bulgaria,1
2021,SG_STT_FPOS,Bulgaria,1
2022,SG_STT_FPOS,Bulgaria,1
2019,SG_STT_FPOS,Belarus,1
2020,SG_STT_FPOS,Belarus,1
2022,SG_STT_FPOS,Belarus,1
2019,SG_STT_FPOS,Canada,1
2020,SG_STT_FPOS,Canada,1
2021,SG_STT_FPOS,Canada,1
2022,SG_STT_FPOS,Canada,1
2019,SG_STT_FPOS,Chile,1
2020,SG_STT_FPOS,Chile,1
2021,SG_STT_FPOS,Chile,1
2022,SG_STT_FPOS,Chile,1
2019,SG_STT_FPOS,China,1
2020,SG_STT_FPOS,China,1
2021,SG_STT_FPOS,China,1
2022,SG_STT_FPOS,China,1
2019,SG_STT_FPOS,Colombia,1
2020,SG_STT_FPOS,Colombia,1
2021,SG_STT_FPOS,Colombia,1
2022,SG_STT_FPOS,Colombia,1
2019,SG_STT_FPOS,Costa Rica,1
2020,SG_STT_FPOS,Costa Rica,1
2021,SG_STT_FPOS,Costa Rica,1
2022,SG_STT_FPOS,Costa Rica,1
2019,SG_STT_FPOS,Croatia,1
2020,SG_STT_FPOS,Croatia,1
2021,SG_STT_FPOS,Croatia,1
2022,SG_STT_FPOS,Croatia,1
2019,SG_STT_FPOS,Cyprus,1
2020,SG_STT_FPOS,Cyprus,1
2021,SG_STT_FPOS,Cyprus,1
2022,SG_STT_FPOS,Cyprus,1
2019,SG_STT_FPOS,Czechia,1
2020,SG_STT_FPOS,Czechia,1
2021,SG_STT_FPOS,Czechia,1
2022,SG_STT_FPOS,Czechia,1
2019,SG_STT_FPOS,Denmark,1
2020,SG_STT_FPOS,Denmark,1
2021,SG_STT_FPOS,Denmark,1
2022,SG_STT_FPOS,Denmark,1
2019,SG_STT_FPOS,Estonia,1
2020,SG_STT_FPOS,Estonia,1
2021,SG_STT_FPOS,Estonia,1
2022,SG_STT_FPOS,Estonia,1
2019,SG_STT_FPOS,Finland,1
2020,SG_STT_FPOS,Finland,1
2021,SG_STT_FPOS,Finland,1
2022,SG_STT_FPOS,Finland,1
2019,SG_STT_FPOS,France,1
2020,SG_STT_FPOS,France,1
2021,SG_STT_FPOS,France,1
2022,SG_STT_FPOS,France,1
2019,SG_STT_FPOS,Georgia,1
2020,SG_STT_FPOS,Georgia,1
2021,SG_STT_FPOS,Georgia,1
2022,SG_STT_FPOS,Georgia,1
2019,SG_STT_FPOS,Germany,1
2020,SG_STT_FPOS,Germany,1
2021,SG_STT_FPOS,Germany,1
2022,SG_STT_FPOS,Germany,1
2019,SG_STT_FPOS,Greece,1
2020,SG_STT_FPOS,Greece,1
2021,SG_STT_FPOS,Greece,1
2022,SG_STT_FPOS,Greece,1
2019,SG_STT_FPOS,Hungary,1
2020,SG_STT_FPOS,Hungary,1
2021,SG_STT_FPOS,Hungary,1
2022,SG_STT_FPOS,Hungary,1
2019,SG_STT_FPOS,Iceland,1
2020,SG_STT_FPOS,Iceland,1
2021,SG_STT_FPOS,Iceland,1
2022,SG_STT_FPOS,Iceland,1
2019,SG_STT_FPOS,India,1
2020,SG_STT_FPOS,India,1
2021,SG_STT_FPOS,India,1
2022,SG_STT_FPOS,India,1
2019,SG_STT_FPOS,Ireland,1
2020,SG_STT_FPOS,Ireland,1
2021,SG_STT_FPOS,Ireland,1
2022,SG_STT_FPOS,Ireland,1
2019,SG_STT_FPOS,Israel,1
2020,SG_STT_FPOS,Israel,1
2021,SG_STT_FPOS,Israel,1
2022,SG_STT_FPOS,Israel,0
2019,SG_STT_FPOS,Italy,1
