Year,SeriesCode,Страна ,Age,Location,Sex,Value
2000,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,12.2
2001,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,11.8
2002,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,11.5
2003,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,11.2
2004,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,10.9
2005,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,10.5
2006,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,10.0
2007,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,9.3
2008,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,8.3
2009,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,7.4
2010,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.7
2011,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.3
2012,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.1
2013,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,5.9
2014,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,5.9
2015,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.0
2016,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.3
2017,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,6.7
2018,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,7.0
2019,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,7.1
2020,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,7.2
2021,SH_DYN_NMRT,Albania,<1M,,BOTHSEX,7.1
2000,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,34.3
2001,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,32.8
2002,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,31.3
2003,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,29.7
2004,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,28.2
2005,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,26.8
2006,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,25.4
2007,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,24.1
2008,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,22.9
2009,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,21.6
2010,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,20.4
2011,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,18.9
2012,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,17.4
2013,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,16.0
2014,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,14.7
2015,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,13.6
2016,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,12.6
2017,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,11.8
2018,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,11.1
2019,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,10.4
2020,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,10.0
2021,SH_DYN_NMRT,Azerbaijan,<1M,,BOTHSEX,9.5
2000,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.5
2001,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.5
2002,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.4
2003,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.4
2004,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.3
2005,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.3
2006,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.2
2007,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.1
2008,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,3.0
2009,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.9
2010,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.8
2011,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.6
2012,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.5
2013,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.4
2014,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.4
2015,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.3
2016,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.3
2017,SH_DYN_NMRT,Australia,<1M,,BOTHSEX,2.3
2000,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,20.3
2001,SH_DYN_NMRT,Кыргызстан,<1M,,BOTHSEX,19.9
