Year,SeriesCode,Страна ,Value
2016,SH_ACS_HPV,Japan,0
2017,SH_ACS_HPV,Japan,0
2018,SH_ACS_HPV,Japan,0
2019,SH_ACS_HPV,Japan,0
2014,SH_ACS_HPV,Japan,1
2015,SH_ACS_HPV,Japan,1
2020,SH_ACS_HPV,Japan,1
2021,SH_ACS_HPV,Mexico,1
2013,SH_ACS_PCV3,Republic of Moldova,1
2003,SH_ACS_MCV2,Malta,2
2018,SH_ACS_HPV,Armenia,2
2016,SH_ACS_HPV,Colombia,2
2021,SH_ACS_HPV,Bulgaria,3
2017,SH_ACS_HPV,Colombia,3
2020,SH_ACS_HPV,Bulgaria,4
2020,SH_ACS_HPV,Mexico,5
2018,SH_ACS_PCV3,India,6
2016,SH_ACS_HPV,Bulgaria,6
2019,SH_ACS_HPV,Armenia,7
2017,SH_ACS_HPV,Bulgaria,7
2015,SH_ACS_HPV,Colombia,7
2001,SH_ACS_MCV2,Georgia,8
2009,SH_ACS_MCV2,Узбекистан,8
2020,SH_ACS_HPV,Armenia,8
2021,SH_ACS_HPV,Armenia,8
2015,SH_ACS_HPV,Bulgaria,8
2019,SH_ACS_HPV,Bulgaria,8
2018,SH_ACS_HPV,Colombia,9
2020,SH_ACS_HPV,Colombia,9
2021,SH_ACS_MCV2,Iceland,10
2014,SH_ACS_HPV,Luxembourg,10
2018,SH_ACS_HPV,Bulgaria,10
2019,SH_ACS_HPV,Colombia,10
2021,SH_ACS_HPV,Colombia,11
2019,SH_ACS_HPV,Georgia,11
2021,SH_ACS_HPV,Georgia,12
2008,SH_ACS_PCV3,Switzerland,13
2014,SH_ACS_HPV,France,13
2015,SH_ACS_HPV,Luxembourg,14
2016,SH_ACS_HPV,Luxembourg,14
2017,SH_ACS_HPV,Luxembourg,14
2018,SH_ACS_HPV,Luxembourg,14
2019,SH_ACS_HPV,Luxembourg,14
2008,SH_ACS_PCV3,Mexico,14
2014,SH_ACS_HPV,Bulgaria,14
2013,SH_ACS_HPV,Japan,15
2019,SH_ACS_PCV3,India,15
2010,SH_ACS_HPV,Luxembourg,16
2015,SH_ACS_PCV3,Georgia,16
2016,SH_ACS_HPV,Denmark,16
2013,SH_ACS_HPV,France,16
2014,SH_ACS_HPV,Colombia,17
2012,SH_ACS_HPV,France,17
2007,SH_ACS_MCV2,Viet Nam,18
2016,SH_ACS_DTP3,Ukraine,19
2011,SH_ACS_HPV,Luxembourg,19
2012,SH_ACS_HPV,Luxembourg,20
2013,SH_ACS_HPV,Luxembourg,20
2010,SH_ACS_HPV,Switzerland,20
2015,SH_ACS_HPV,France,20
2020,SH_ACS_PCV3,India,21
2021,SH_ACS_HPV,North Macedonia,21
2016,SH_ACS_HPV,France,21
2010,SH_ACS_PCV3,Colombia,22
2013,SH_ACS_HPV,Bulgaria,22
2011,SH_ACS_HPV,France,22
2020,SH_ACS_HPV,Georgia,22
2014,SH_ACS_DTP3,Ukraine,23
2015,SH_ACS_DTP3,Ukraine,23
2020,SH_ACS_PCV3,Туркменистан,23
2017,SH_ACS_HPV,France,24
2018,SH_ACS_HPV,France,24
2015,SH_ACS_HPV,Latvia,25
2021,SH_ACS_PCV3,India,25
2009,SH_ACS_PCV3,Switzerland,25
2010,SH_ACS_HPV,France,25
2008,SH_ACS_MCV2,Узбекистан,26
2011,SH_ACS_MCV2,India,27
2010,SH_ACS_HPV,Germany,27
2011,SH_ACS_HPV,Germany,27
2012,SH_ACS_HPV,Germany,27
2020,SH_ACS_HPV,Italy,27
2018,SH_ACS_HPV,United Arab Emirates,27
2019,SH_ACS_HPV,United Arab Emirates,27
2017,SH_ACS_HPV,Lithuania,28
2013,SH_ACS_HPV,Malta,28
2014,SH_ACS_PCV3,Republic of Moldova,28
2013,SH_ACS_HPV,Germany,29
2020,SH_ACS_HPV,United Arab Emirates,29
2020,SH_ACS_HPV,North Macedonia,30
2020,SH_ACS_PCV3,North Macedonia,30
2004,SH_ACS_MCV2,Malta,31
2016,SH_ACS_MCV2,Ukraine,31
2014,SH_ACS_HPV,Germany,31
2019,SH_ACS_HPV,Republic of Moldova,31
2012,SH_ACS_HPV,North Macedonia,31
2015,SH_ACS_HPV,North Macedonia,31
2012,SH_ACS_PCV3,Greece,32
2013,SH_ACS_PCV3,Greece,32
2015,SH_ACS_HPV,Germany,33
2016,SH_ACS_HPV,Latvia,33
2010,SH_ACS_HPV,North Macedonia,33
2019,SH_ACS_HPV,France,33
2001,SH_ACS_MCV2,Austria,34
2013,SH_ACS_HPV,North Macedonia,34
2000,SH_ACS_MCV2,Austria,35
2017,SH_ACS_HPV,Latvia,35
2021,SH_ACS_HPV,Republic of Moldova,35
2012,SH_ACS_MCV2,India,36
2017,SH_ACS_HPV,Denmark,36
2016,SH_ACS_HPV,Germany,37
2012,SH_ACS_PCV3,Казахстан,37
2010,SH_ACS_PCV3,Switzerland,37
2020,SH_ACS_HPV,France,37
2021,SH_ACS_HPV,France,37
2018,SH_ACS_HPV,Latvia,38
2017,SH_ACS_HPV,North Macedonia,38
2000,SH_ACS_MCV2,Republic of Korea,39
2002,SH_ACS_MCV2,Austria,39
2019,SH_ACS_HPV,Costa Rica,39
2002,SH_ACS_MCV2,Georgia,40
2017,SH_ACS_HPV,Germany,40
2018,SH_ACS_HPV,Italy,40
2020,SH_ACS_HPV,Republic of Moldova,40
2013,SH_ACS_HPV,Slovenia,40
2018,SH_ACS_HPV,North Macedonia,40
2019,SH_ACS_HPV,North Macedonia,40
2010,SH_ACS_MCV2,Ukraine,41
2015,SH_ACS_HPV,Slovenia,41
2016,SH_ACS_HPV,Slovenia,41
2021,SH_ACS_HPV,Latvia,42
2008,SH_ACS_PCV3,Canada,42
