Year,SeriesCode,Страна ,Sex,Value
2010,IC_GEN_MGTN_19ICLS,Australia,FEMALE,33.53
2011,IC_GEN_MGTN_19ICLS,Australia,FEMALE,27.61
2012,IC_GEN_MGTN_19ICLS,Australia,FEMALE,29.89
2013,IC_GEN_MGTN_19ICLS,Australia,FEMALE,32.87
2014,IC_GEN_MGTN_19ICLS,Australia,FEMALE,34.99
2015,IC_GEN_MGTN_19ICLS,Australia,FEMALE,35.3
2016,IC_GEN_MGTN_19ICLS,Australia,FEMALE,36.23
2017,IC_GEN_MGTN_19ICLS,Australia,FEMALE,35.11
2018,IC_GEN_MGTN_19ICLS,Australia,FEMALE,33.85
2019,IC_GEN_MGTN_19ICLS,Australia,FEMALE,34.65
2020,IC_GEN_MGTN_19ICLS,Australia,FEMALE,34.16
2000,IC_GEN_MGTN_19ICLS,Austria,FEMALE,28.13
2001,IC_GEN_MGTN_19ICLS,Austria,FEMALE,29.38
2002,IC_GEN_MGTN_19ICLS,Austria,FEMALE,30.78
2003,IC_GEN_MGTN_19ICLS,Austria,FEMALE,28.5
2004,IC_GEN_MGTN_19ICLS,Austria,FEMALE,23.02
2005,IC_GEN_MGTN_19ICLS,Austria,FEMALE,21.5
2006,IC_GEN_MGTN_19ICLS,Austria,FEMALE,20.96
2007,IC_GEN_MGTN_19ICLS,Austria,FEMALE,21.0
2008,IC_GEN_MGTN_19ICLS,Austria,FEMALE,25.19
2009,IC_GEN_MGTN_19ICLS,Austria,FEMALE,23.25
2010,IC_GEN_MGTN_19ICLS,Austria,FEMALE,25.42
2011,IC_GEN_MGTN_19ICLS,Austria,FEMALE,26.07
2012,IC_GEN_MGTN_19ICLS,Austria,FEMALE,27.13
2013,IC_GEN_MGTN_19ICLS,Austria,FEMALE,26.33
2014,IC_GEN_MGTN_19ICLS,Austria,FEMALE,27.85
2015,IC_GEN_MGTN_19ICLS,Austria,FEMALE,27.88
2016,IC_GEN_MGTN_19ICLS,Austria,FEMALE,29.52
2017,IC_GEN_MGTN_19ICLS,Austria,FEMALE,29.19
2018,IC_GEN_MGTN_19ICLS,Austria,FEMALE,28.86
2019,IC_GEN_MGTN_19ICLS,Austria,FEMALE,32.01
2020,IC_GEN_MGTN_19ICLS,Austria,FEMALE,31.47
2021,IC_GEN_MGTN_19ICLS,Austria,FEMALE,34.31
2000,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,24.53
2001,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,28.38
2002,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,27.97
2003,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,27.33
2004,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,26.91
2005,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,30.24
2006,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.13
2007,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,33.54
2008,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.9
2009,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,34.57
2010,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,34.77
2011,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,30.45
2012,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.67
2013,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,30.75
2014,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.3
2015,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.04
2016,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,31.98
2017,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,32.94
2018,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,32.87
2019,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,35.07
2020,IC_GEN_MGTN_19ICLS,Belgium,FEMALE,36.45
