Year,SeriesCode,Страна ,Age,Sex,Value
2009,SH_FPL_INFM,Albania,15-49,FEMALE,61.5
2018,SH_FPL_INFM,Albania,15-49,FEMALE,61.9
2010,SH_FPL_INFM,Armenia,15-49,FEMALE,64.3
2016,SH_FPL_INFM,Armenia,15-49,FEMALE,61.8
2018,SH_FPL_INFM,Georgia,15-49,FEMALE,82.4
2021,SH_FPL_INFM,India,15-49,FEMALE,65.6
2012,SH_FPL_INFM,Кыргызстан,15-49,FEMALE,76.6
2020,SH_FPL_INFM,Republic of Moldova,15-49,FEMALE,72.9
2019,SH_FPL_INFM,Serbia,15-49,FEMALE,96.2
2012,SH_FPL_INFM,Таджикистан,15-49,FEMALE,40.9
2017,SH_FPL_INFM,Таджикистан,15-49,FEMALE,27.2
2019,SH_FPL_INFM,Туркменистан,15-49,FEMALE,59.3
2007,SH_FPL_INFM,Ukraine,15-49,FEMALE,81.0
2019,SH_FPL_INFM,North Macedonia,15-49,FEMALE,88.1
2022,SH_FPL_INFM,Узбекистан,15-49,FEMALE,70.4
2022,SH_FPL_INFM,Узбекистан,15-49,FEMALE,70.4
