Year,SeriesCode,Страна ,Value
2022,SH_LGR_ACSRHES3,Albania,100
2022,SH_LGR_ACSRHES3,Australia,100
2019,SH_LGR_ACSRHES3,Armenia,100
2019,SH_LGR_ACSRHES3,Belgium,100
2022,SH_LGR_ACSRHES3,Bosnia and Herzegovina,100
2022,SH_LGR_ACSRHES3,Bulgaria,0
2022,SH_LGR_ACSRHES3,Belarus,100
2022,SH_LGR_ACSRHES3,Canada,0
2022,SH_LGR_ACSRHES3,Colombia,100
2022,SH_LGR_ACSRHES3,Costa Rica,50
2022,SH_LGR_ACSRHES3,Croatia,100
2022,SH_LGR_ACSRHES3,Cyprus,100
2022,SH_LGR_ACSRHES3,Czechia,100
2022,SH_LGR_ACSRHES3,Denmark,100
2022,SH_LGR_ACSRHES3,Estonia,100
2022,SH_LGR_ACSRHES3,Finland,100
2022,SH_LGR_ACSRHES3,Georgia,81
2022,SH_LGR_ACSRHES3,Germany,100
2022,SH_LGR_ACSRHES3,Greece,100
2022,SH_LGR_ACSRHES3,Hungary,94
2022,SH_LGR_ACSRHES3,India,0
2022,SH_LGR_ACSRHES3,Japan,100
2022,SH_LGR_ACSRHES3,Казахстан,0
2019,SH_LGR_ACSRHES3,Кыргызстан,94
2019,SH_LGR_ACSRHES3,Latvia,100
2022,SH_LGR_ACSRHES3,Lithuania,100
2019,SH_LGR_ACSRHES3,Malta,100
2022,SH_LGR_ACSRHES3,Mexico,100
2019,SH_LGR_ACSRHES3,Montenegro,0
2022,SH_LGR_ACSRHES3,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHES3,New Zealand,100
2022,SH_LGR_ACSRHES3,Norway,100
2022,SH_LGR_ACSRHES3,Poland,100
2022,SH_LGR_ACSRHES3,Portugal,100
2022,SH_LGR_ACSRHES3,Romania,100
2022,SH_LGR_ACSRHES3,Serbia,100
2022,SH_LGR_ACSRHES3,Slovakia,100
2019,SH_LGR_ACSRHES3,Viet Nam,50
2019,SH_LGR_ACSRHES3,Sweden,100
2019,SH_LGR_ACSRHES3,Switzerland,100
2022,SH_LGR_ACSRHES3,Türkiye,69
2022,SH_LGR_ACSRHES3,Туркменистан,88
2022,SH_LGR_ACSRHES3,Ukraine,100
2022,SH_LGR_ACSRHES3,North Macedonia,100
2022,SH_LGR_ACSRHES3,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHES3,Узбекистан,100
2022,SH_LGR_ACSRHES3,Узбекистан,100
