Year,SeriesCode,Страна ,Location,Value
2000,SH_SAN_DEFECT,Albania,ALLAREA,0.88885
2000,SH_SAN_DEFECT,Albania,RURAL,1.21116
2000,SH_SAN_DEFECT,Albania,URBAN,0.439
2001,SH_SAN_DEFECT,Albania,ALLAREA,0.8364
2001,SH_SAN_DEFECT,Albania,RURAL,1.14755
2001,SH_SAN_DEFECT,Albania,URBAN,0.41431
2002,SH_SAN_DEFECT,Albania,RURAL,1.08393
2002,SH_SAN_DEFECT,Albania,URBAN,0.38962
2002,SH_SAN_DEFECT,Albania,ALLAREA,0.7819
2003,SH_SAN_DEFECT,Albania,RURAL,1.02032
2003,SH_SAN_DEFECT,Albania,URBAN,0.36493
2003,SH_SAN_DEFECT,Albania,ALLAREA,0.72819
2004,SH_SAN_DEFECT,Albania,ALLAREA,0.67528
2004,SH_SAN_DEFECT,Albania,RURAL,0.9567
2004,SH_SAN_DEFECT,Albania,URBAN,0.34024
2005,SH_SAN_DEFECT,Albania,URBAN,0.31555
2005,SH_SAN_DEFECT,Albania,ALLAREA,0.6232
2005,SH_SAN_DEFECT,Albania,RURAL,0.89309
2006,SH_SAN_DEFECT,Albania,ALLAREA,0.57193
2006,SH_SAN_DEFECT,Albania,URBAN,0.29086
2006,SH_SAN_DEFECT,Albania,RURAL,0.82948
2007,SH_SAN_DEFECT,Albania,ALLAREA,0.5215
2007,SH_SAN_DEFECT,Albania,RURAL,0.76586
2007,SH_SAN_DEFECT,Albania,URBAN,0.26617
2008,SH_SAN_DEFECT,Albania,URBAN,0.24148
2008,SH_SAN_DEFECT,Albania,ALLAREA,0.4719
2008,SH_SAN_DEFECT,Albania,RURAL,0.70225
2009,SH_SAN_DEFECT,Albania,ALLAREA,0.42317
2009,SH_SAN_DEFECT,Albania,RURAL,0.63863
2009,SH_SAN_DEFECT,Albania,URBAN,0.21679
2010,SH_SAN_DEFECT,Albania,URBAN,0.19209
2010,SH_SAN_DEFECT,Albania,RURAL,0.57502
2010,SH_SAN_DEFECT,Albania,ALLAREA,0.37527
2011,SH_SAN_DEFECT,Albania,RURAL,0.5114
2011,SH_SAN_DEFECT,Albania,ALLAREA,0.32823
2011,SH_SAN_DEFECT,Albania,URBAN,0.1674
2012,SH_SAN_DEFECT,Albania,ALLAREA,0.28204
2012,SH_SAN_DEFECT,Albania,RURAL,0.44779
2012,SH_SAN_DEFECT,Albania,URBAN,0.14271
2013,SH_SAN_DEFECT,Albania,URBAN,0.11802
2013,SH_SAN_DEFECT,Albania,ALLAREA,0.23676
2013,SH_SAN_DEFECT,Albania,RURAL,0.38418
2014,SH_SAN_DEFECT,Albania,RURAL,0.32056
2014,SH_SAN_DEFECT,Albania,URBAN,0.09333
2014,SH_SAN_DEFECT,Albania,ALLAREA,0.19235
2015,SH_SAN_DEFECT,Albania,ALLAREA,0.1488
2015,SH_SAN_DEFECT,Albania,RURAL,0.25695
2015,SH_SAN_DEFECT,Albania,URBAN,0.06864
2016,SH_SAN_DEFECT,Albania,ALLAREA,0.10606
2016,SH_SAN_DEFECT,Albania,RURAL,0.19333
2016,SH_SAN_DEFECT,Albania,URBAN,0.04395
2017,SH_SAN_DEFECT,Albania,ALLAREA,0.06413
2017,SH_SAN_DEFECT,Albania,RURAL,0.12972
2017,SH_SAN_DEFECT,Albania,URBAN,0.01926
2018,SH_SAN_DEFECT,Albania,ALLAREA,0.02623
2000,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2000,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2000,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2001,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2001,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2001,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2002,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2002,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2002,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2003,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2003,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2018,SH_SAN_DEFECT,Albania,URBAN,0.0
