Year,SeriesCode,Страна ,Activity,Value
2015,ER_H2O_STRESS,Australia,TOTAL,3.71
2015,ER_H2O_STRESS,Australia,ISIC4_GTT,0.86
2015,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,2.01
2015,ER_H2O_STRESS,Australia,INDUSTRIES,0.59
2016,ER_H2O_STRESS,Australia,INDUSTRIES,0.89
2016,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,2.8
2016,ER_H2O_STRESS,Australia,TOTAL,4.27
2016,ER_H2O_STRESS,Australia,ISIC4_GTT,0.98
2017,ER_H2O_STRESS,Australia,INDUSTRIES,0.76
2017,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,3.37
2017,ER_H2O_STRESS,Australia,TOTAL,4.85
2017,ER_H2O_STRESS,Australia,ISIC4_GTT,0.73
2018,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,3.5
2018,ER_H2O_STRESS,Australia,INDUSTRIES,0.82
2018,ER_H2O_STRESS,Australia,TOTAL,4.96
2018,ER_H2O_STRESS,Australia,ISIC4_GTT,0.64
2019,ER_H2O_STRESS,Australia,TOTAL,4.23
2019,ER_H2O_STRESS,Australia,ISIC4_GTT,0.63
2019,ER_H2O_STRESS,Australia,INDUSTRIES,0.78
2019,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,2.83
2020,ER_H2O_STRESS,Australia,ISIC4_A01_A0210_A0322,2.17
2020,ER_H2O_STRESS,Australia,INDUSTRIES,0.73
2020,ER_H2O_STRESS,Australia,TOTAL,3.47
2020,ER_H2O_STRESS,Australia,ISIC4_GTT,0.58
2000,ER_H2O_STRESS,Austria,INDUSTRIES,7.94
2000,ER_H2O_STRESS,Austria,ISIC4_GTT,1.83
2000,ER_H2O_STRESS,Austria,TOTAL,10.05
2000,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.28
2001,ER_H2O_STRESS,Austria,INDUSTRIES,7.88
2001,ER_H2O_STRESS,Austria,TOTAL,9.97
2001,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.28
2001,ER_H2O_STRESS,Austria,ISIC4_GTT,1.81
2002,ER_H2O_STRESS,Austria,ISIC4_GTT,1.79
2002,ER_H2O_STRESS,Austria,INDUSTRIES,7.82
2002,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.28
2002,ER_H2O_STRESS,Austria,TOTAL,9.88
2003,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.27
2003,ER_H2O_STRESS,Austria,INDUSTRIES,7.8
2003,ER_H2O_STRESS,Austria,TOTAL,9.85
2003,ER_H2O_STRESS,Austria,ISIC4_GTT,1.78
2004,ER_H2O_STRESS,Austria,TOTAL,9.82
2004,ER_H2O_STRESS,Austria,ISIC4_GTT,1.77
2004,ER_H2O_STRESS,Austria,INDUSTRIES,7.79
2004,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.26
2005,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.26
2005,ER_H2O_STRESS,Austria,INDUSTRIES,7.77
2005,ER_H2O_STRESS,Austria,ISIC4_GTT,1.77
2005,ER_H2O_STRESS,Austria,TOTAL,9.79
2006,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.25
2006,ER_H2O_STRESS,Austria,ISIC4_GTT,1.76
2006,ER_H2O_STRESS,Austria,TOTAL,9.76
2006,ER_H2O_STRESS,Austria,INDUSTRIES,7.75
2007,ER_H2O_STRESS,Austria,INDUSTRIES,7.74
2007,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.24
2007,ER_H2O_STRESS,Austria,TOTAL,9.73
2007,ER_H2O_STRESS,Austria,ISIC4_GTT,1.75
2008,ER_H2O_STRESS,Austria,ISIC4_GTT,1.74
2008,ER_H2O_STRESS,Austria,TOTAL,9.7
2008,ER_H2O_STRESS,Austria,ISIC4_A01_A0210_A0322,0.24
2008,ER_H2O_STRESS,Austria,INDUSTRIES,7.72
2000,ER_H2O_STRESS,Albania,INDUSTRIES,1.37
2000,ER_H2O_STRESS,Albania,ISIC4_GTT,3.31
2000,ER_H2O_STRESS,Albania,TOTAL,11.04
2000,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,6.37
2001,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,5.83
2001,ER_H2O_STRESS,Albania,TOTAL,10.52
2001,ER_H2O_STRESS,Albania,ISIC4_GTT,3.32
2001,ER_H2O_STRESS,Albania,INDUSTRIES,1.37
2002,ER_H2O_STRESS,Albania,INDUSTRIES,1.38
2002,ER_H2O_STRESS,Albania,TOTAL,9.99
2000,ER_H2O_STRESS,Chile,ISIC4_GTT,0.26
2000,ER_H2O_STRESS,Chile,TOTAL,7.35
2000,ER_H2O_STRESS,Chile,INDUSTRIES,0.59
2001,ER_H2O_STRESS,Chile,TOTAL,7.62
2001,ER_H2O_STRESS,Chile,ISIC4_GTT,0.27
2001,ER_H2O_STRESS,Chile,INDUSTRIES,0.69
2002,ER_H2O_STRESS,Chile,TOTAL,7.9
2002,ER_H2O_STRESS,Chile,INDUSTRIES,0.79
2002,ER_H2O_STRESS,Albania,ISIC4_GTT,3.33
2002,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,5.28
2003,ER_H2O_STRESS,Albania,TOTAL,9.47
2003,ER_H2O_STRESS,Albania,ISIC4_GTT,3.35
2003,ER_H2O_STRESS,Albania,INDUSTRIES,1.38
2003,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,4.74
2004,ER_H2O_STRESS,Albania,INDUSTRIES,1.39
2004,ER_H2O_STRESS,Albania,TOTAL,8.94
2004,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,4.2
2004,ER_H2O_STRESS,Albania,ISIC4_GTT,3.36
2002,ER_H2O_STRESS,Chile,ISIC4_GTT,0.28
2003,ER_H2O_STRESS,Chile,INDUSTRIES,0.9
2003,ER_H2O_STRESS,Chile,TOTAL,8.16
2003,ER_H2O_STRESS,Chile,ISIC4_GTT,0.29
2004,ER_H2O_STRESS,Chile,ISIC4_GTT,0.3
2004,ER_H2O_STRESS,Chile,INDUSTRIES,1.0
2004,ER_H2O_STRESS,Chile,TOTAL,8.43
2005,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,3.65
2005,ER_H2O_STRESS,Albania,TOTAL,8.42
2005,ER_H2O_STRESS,Albania,ISIC4_GTT,3.37
2005,ER_H2O_STRESS,Albania,INDUSTRIES,1.39
2006,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,3.11
2006,ER_H2O_STRESS,Albania,INDUSTRIES,1.33
2006,ER_H2O_STRESS,Albania,TOTAL,7.65
2006,ER_H2O_STRESS,Albania,ISIC4_GTT,3.2
2007,ER_H2O_STRESS,Albania,ISIC4_A01_A0210_A0322,3.19
2007,ER_H2O_STRESS,Albania,ISIC4_GTT,3.04
2005,ER_H2O_STRESS,Chile,INDUSTRIES,1.1
2005,ER_H2O_STRESS,Chile,TOTAL,8.71
2005,ER_H2O_STRESS,Chile,ISIC4_GTT,0.31
2006,ER_H2O_STRESS,Chile,TOTAL,8.98
2006,ER_H2O_STRESS,Chile,ISIC4_GTT,0.32
2006,ER_H2O_STRESS,Chile,INDUSTRIES,1.2
2006,ER_H2O_STRESS,Chile,ISIC4_A01_A0210_A0322,7.46
2007,ER_H2O_STRESS,Chile,INDUSTRIES,1.13
