Year,SeriesCode,Страна ,Value
2000,EN_LKRV_SWAP,Belgium,0.00026
2001,EN_LKRV_SWAP,Belgium,0.00036
2002,EN_LKRV_SWAP,Belgium,0.0005
2003,EN_LKRV_SWAP,Belgium,0.00059
2004,EN_LKRV_SWAP,Belgium,0.00069
2005,EN_LKRV_SWAP,Belgium,0.00082
2006,EN_LKRV_SWAP,Belgium,0.00094
2007,EN_LKRV_SWAP,Belgium,0.00101
2008,EN_LKRV_SWAP,Belgium,0.00101
2009,EN_LKRV_SWAP,Belgium,0.0009
2010,EN_LKRV_SWAP,Belgium,0.00093
2011,EN_LKRV_SWAP,Belgium,0.00087
2012,EN_LKRV_SWAP,Belgium,0.00083
2013,EN_LKRV_SWAP,Belgium,0.00082
2014,EN_LKRV_SWAP,Belgium,0.00093
2015,EN_LKRV_SWAP,Belgium,0.00096
2016,EN_LKRV_SWAP,Belgium,0.00103
2017,EN_LKRV_SWAP,Belgium,0.00111
2018,EN_LKRV_SWAP,Belgium,0.00126
2019,EN_LKRV_SWAP,Belgium,0.00133
2020,EN_LKRV_SWAP,Belgium,0.00134
2021,EN_LKRV_SWAP,Belgium,0.00151
2022,EN_LKRV_SWAP,Belgium,0.00167
2000,EN_LKRV_SWAP,Bosnia and Herzegovina,9e-05
2001,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00031
2002,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00072
2003,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00099
2004,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00122
2005,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00158
2006,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00184
2007,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00181
2008,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00183
2009,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00199
2010,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00186
2011,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00186
2012,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00167
2013,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00163
2014,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00177
2015,EN_LKRV_SWAP,Bosnia and Herzegovina,0.0019
2016,EN_LKRV_SWAP,Bosnia and Herzegovina,0.0017
2017,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00193
2018,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00202
2019,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00202
2020,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00185
2021,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00184
2022,EN_LKRV_SWAP,Bosnia and Herzegovina,0.00177
2000,EN_LKRV_SWAP,Bulgaria,9e-05
2001,EN_LKRV_SWAP,Bulgaria,0.00028
2002,EN_LKRV_SWAP,Bulgaria,0.00044
2003,EN_LKRV_SWAP,Bulgaria,0.00061
2004,EN_LKRV_SWAP,Bulgaria,0.00085
2005,EN_LKRV_SWAP,Bulgaria,0.00094
2006,EN_LKRV_SWAP,Bulgaria,0.00096
2007,EN_LKRV_SWAP,Bulgaria,0.00103
2008,EN_LKRV_SWAP,Bulgaria,0.00107
2009,EN_LKRV_SWAP,Bulgaria,0.00104
2010,EN_LKRV_SWAP,Bulgaria,0.00105
2011,EN_LKRV_SWAP,Bulgaria,0.00106
2012,EN_LKRV_SWAP,Bulgaria,0.00104
2013,EN_LKRV_SWAP,Bulgaria,0.00108
2014,EN_LKRV_SWAP,Bulgaria,0.00109
2015,EN_LKRV_SWAP,Bulgaria,0.00112
2016,EN_LKRV_SWAP,Bulgaria,0.00114
2017,EN_LKRV_SWAP,Bulgaria,0.0012
2018,EN_LKRV_SWAP,Bulgaria,0.00119
2019,EN_LKRV_SWAP,Bulgaria,0.00128
2020,EN_LKRV_SWAP,Bulgaria,0.00131
2021,EN_LKRV_SWAP,Bulgaria,0.0013
2022,EN_LKRV_SWAP,Bulgaria,0.00132
2000,EN_LKRV_SWAP,Canada,0.00805
2001,EN_LKRV_SWAP,Canada,0.00792
2002,EN_LKRV_SWAP,Canada,0.00788
2003,EN_LKRV_SWAP,Canada,0.00777
2004,EN_LKRV_SWAP,Canada,0.00775
2005,EN_LKRV_SWAP,Canada,0.0078
2006,EN_LKRV_SWAP,Canada,0.00816
2007,EN_LKRV_SWAP,Canada,0.00841
2008,EN_LKRV_SWAP,Canada,0.00864
2009,EN_LKRV_SWAP,Canada,0.00895
2010,EN_LKRV_SWAP,Canada,0.00895
2011,EN_LKRV_SWAP,Canada,0.00889
2012,EN_LKRV_SWAP,Canada,0.00893
2000,EN_LKRV_SWAP,New Zealand,0.00032
2001,EN_LKRV_SWAP,New Zealand,0.00068
2002,EN_LKRV_SWAP,New Zealand,0.00103
2003,EN_LKRV_SWAP,New Zealand,0.00141
2004,EN_LKRV_SWAP,New Zealand,0.00181
2005,EN_LKRV_SWAP,New Zealand,0.0019
2006,EN_LKRV_SWAP,New Zealand,0.00197
2007,EN_LKRV_SWAP,New Zealand,0.0021
2008,EN_LKRV_SWAP,New Zealand,0.00212
2009,EN_LKRV_SWAP,New Zealand,0.00211
2010,EN_LKRV_SWAP,New Zealand,0.00206
2011,EN_LKRV_SWAP,New Zealand,0.00203
2012,EN_LKRV_SWAP,New Zealand,0.00194
2013,EN_LKRV_SWAP,New Zealand,0.00187
2014,EN_LKRV_SWAP,New Zealand,0.00193
2015,EN_LKRV_SWAP,New Zealand,0.00205
2016,EN_LKRV_SWAP,New Zealand,0.0022
2017,EN_LKRV_SWAP,New Zealand,0.0022
2018,EN_LKRV_SWAP,New Zealand,0.00227
2019,EN_LKRV_SWAP,New Zealand,0.00223
2020,EN_LKRV_SWAP,New Zealand,0.00219
2021,EN_LKRV_SWAP,New Zealand,0.00209
2013,EN_LKRV_SWAP,Canada,0.00843
2014,EN_LKRV_SWAP,Canada,0.00853
2015,EN_LKRV_SWAP,Canada,0.00855
2016,EN_LKRV_SWAP,Canada,0.00862
2017,EN_LKRV_SWAP,Canada,0.00885
2018,EN_LKRV_SWAP,Canada,0.00978
2019,EN_LKRV_SWAP,Canada,0.01001
2020,EN_LKRV_SWAP,Canada,0.01031
2021,EN_LKRV_SWAP,Canada,0.01081
2022,EN_LKRV_SWAP,Canada,0.01104
2000,EN_LKRV_SWAP,Chile,0.001
2001,EN_LKRV_SWAP,Chile,0.00123
2022,EN_LKRV_SWAP,New Zealand,0.00222
2000,EN_LKRV_SWAP,Norway,0.00047
2001,EN_LKRV_SWAP,Norway,0.00081
2002,EN_LKRV_SWAP,Norway,0.00113
2003,EN_LKRV_SWAP,Norway,0.00145
2004,EN_LKRV_SWAP,Norway,0.00136
2005,EN_LKRV_SWAP,Norway,0.00156
2006,EN_LKRV_SWAP,Norway,0.00156
2007,EN_LKRV_SWAP,Norway,0.00163
2008,EN_LKRV_SWAP,Norway,0.00154
2009,EN_LKRV_SWAP,Norway,0.0015
2010,EN_LKRV_SWAP,Norway,0.00146
2002,EN_LKRV_SWAP,Chile,0.0015
2003,EN_LKRV_SWAP,Chile,0.00173
2004,EN_LKRV_SWAP,Chile,0.00169
2005,EN_LKRV_SWAP,Chile,0.00164
2006,EN_LKRV_SWAP,Chile,0.00168
2007,EN_LKRV_SWAP,Chile,0.00165
2008,EN_LKRV_SWAP,Chile,0.00164
2009,EN_LKRV_SWAP,Chile,0.00169
2010,EN_LKRV_SWAP,Chile,0.00167
2011,EN_LKRV_SWAP,Chile,0.00162
2012,EN_LKRV_SWAP,Chile,0.00162
2013,EN_LKRV_SWAP,Chile,0.00159
2000,EN_LKRV_SWAP,Albania,0.00014
2001,EN_LKRV_SWAP,Albania,0.00069
2002,EN_LKRV_SWAP,Albania,0.00119
2003,EN_LKRV_SWAP,Albania,0.00163
2004,EN_LKRV_SWAP,Albania,0.00228
2005,EN_LKRV_SWAP,Albania,0.00272
2006,EN_LKRV_SWAP,Albania,0.00264
2007,EN_LKRV_SWAP,Albania,0.00278
2008,EN_LKRV_SWAP,Albania,0.00289
2009,EN_LKRV_SWAP,Albania,0.00281
2010,EN_LKRV_SWAP,Albania,0.0028
2011,EN_LKRV_SWAP,Albania,0.00299
2011,EN_LKRV_SWAP,Norway,0.00141
2012,EN_LKRV_SWAP,Norway,0.00139
2013,EN_LKRV_SWAP,Norway,0.00131
2014,EN_LKRV_SWAP,Norway,0.0015
2015,EN_LKRV_SWAP,Norway,0.00155
2016,EN_LKRV_SWAP,Norway,0.00168
2017,EN_LKRV_SWAP,Norway,0.00193
2018,EN_LKRV_SWAP,Norway,0.00232
2019,EN_LKRV_SWAP,Norway,0.00257
2020,EN_LKRV_SWAP,Norway,0.00341
2021,EN_LKRV_SWAP,Norway,0.0039
2022,EN_LKRV_SWAP,Norway,0.00437
2014,EN_LKRV_SWAP,Chile,0.0016
