Year,SeriesCode,Страна ,Value
2017,EN_WBE_WTLN,Albania,53.47194
2017,EN_WBE_WTLN,Azerbaijan,423.07867
2017,EN_WBE_WTLN,Australia,610746.4028
2017,EN_WBE_WTLN,Austria,211.27664
2017,EN_WBE_WTLN,Armenia,27.30114
2017,EN_WBE_WTLN,Belgium,55.91849
2017,EN_WBE_WTLN,Bosnia and Herzegovina,45.31671
2017,EN_WBE_WTLN,Bulgaria,214.79629
2017,EN_WBE_WTLN,Chile,11376.86819
2017,EN_WBE_WTLN,China,61632.53532
2017,EN_WBE_WTLN,Colombia,57827.6695
2017,EN_WBE_WTLN,Costa Rica,398.03833
2017,EN_WBE_WTLN,Croatia,186.29869
2017,EN_WBE_WTLN,Cyprus,62.29913
2017,EN_WBE_WTLN,Czechia,122.17394
2017,EN_WBE_WTLN,Denmark,391.02087
2017,EN_WBE_WTLN,Estonia,1888.37351
2017,EN_WBE_WTLN,Finland,30358.60591
2017,EN_WBE_WTLN,France,1800.1583
2017,EN_WBE_WTLN,Georgia,89.14849
2017,EN_WBE_WTLN,Germany,2262.42176
2017,EN_WBE_WTLN,Greece,215.80388
2017,EN_WBE_WTLN,Hungary,649.2202
2017,EN_WBE_WTLN,Iceland,965.77007
2017,EN_WBE_WTLN,India,80524.56022
2017,EN_WBE_WTLN,Ireland,3451.02247
2017,EN_WBE_WTLN,Israel,473.63777
2017,EN_WBE_WTLN,Italy,965.79417
2017,EN_WBE_WTLN,Japan,3205.89026
2017,EN_WBE_WTLN,Казахстан,20749.25931
2017,EN_WBE_WTLN,Republic of Korea,60.08448
2017,EN_WBE_WTLN,Кыргызстан,328.12245
2017,EN_WBE_WTLN,Latvia,1809.51507
2017,EN_WBE_WTLN,Liechtenstein,2.10658
2017,EN_WBE_WTLN,Lithuania,656.65348
2017,EN_WBE_WTLN,Luxembourg,0.50884
2017,EN_WBE_WTLN,Malta,0.0
2017,EN_WBE_WTLN,Mexico,28716.05413
2017,EN_WBE_WTLN,Republic of Moldova,181.43864
2017,EN_WBE_WTLN,Montenegro,72.37577
2017,EN_WBE_WTLN,New Zealand,11868.02
2017,EN_WBE_WTLN,Norway,8918.1107
2017,EN_WBE_WTLN,Poland,2133.46596
2017,EN_WBE_WTLN,Portugal,240.61578
2017,EN_WBE_WTLN,Romania,3490.21713
2017,EN_WBE_WTLN,Serbia,134.26205
2017,EN_WBE_WTLN,Slovakia,68.85415
2017,EN_WBE_WTLN,Viet Nam,41132.07683
2017,EN_WBE_WTLN,Slovenia,36.35146
2017,EN_WBE_WTLN,Spain,1058.22155
2017,EN_WBE_WTLN,Switzerland,137.452
2017,EN_WBE_WTLN,Таджикистан,1646.52451
2017,EN_WBE_WTLN,United Arab Emirates,33.91094
2017,EN_WBE_WTLN,Türkiye,2231.29074
2017,EN_WBE_WTLN,Туркменистан,6327.25102
2017,EN_WBE_WTLN,Ukraine,5427.70858
2017,EN_WBE_WTLN,North Macedonia,55.17572
2017,EN_WBE_WTLN,United Kingdom of Great Britain and Northern Ireland,13615.7941
2017,EN_WBE_WTLN,Узбекистан,7943.72207
2017,EN_WBE_WTLN,Узбекистан,7943.72207
