Year,SeriesCode,Страна ,Age,Value
2004,FB_CBK_BRCH,Albania,15+,9.68233750719357
2005,FB_CBK_BRCH,Albania,15+,11.7013701897881
2006,FB_CBK_BRCH,Albania,15+,13.8284517701316
2007,FB_CBK_BRCH,Albania,15+,18.6053750749694
2008,FB_CBK_BRCH,Albania,15+,23.5011233269385
2009,FB_CBK_BRCH,Albania,15+,24.0054519048548
2010,FB_CBK_BRCH,Albania,15+,24.1267873743858
2011,FB_CBK_BRCH,Albania,15+,24.1078770515803
2012,FB_CBK_BRCH,Albania,15+,24.0566138101464
2013,FB_CBK_BRCH,Albania,15+,23.4890000366342
2014,FB_CBK_BRCH,Albania,15+,22.0669206147887
2015,FB_CBK_BRCH,Albania,15+,22.0238745629371
2016,FB_CBK_BRCH,Albania,15+,21.6838696292484
2004,FB_CBK_BRCH,Serbia,15+,22.320153459334
2005,FB_CBK_BRCH,Serbia,15+,32.0586797842165
2006,FB_CBK_BRCH,Serbia,15+,36.4100485781479
2007,FB_CBK_BRCH,Serbia,15+,40.7229834762608
2008,FB_CBK_BRCH,Serbia,15+,45.5082948758719
2009,FB_CBK_BRCH,Serbia,15+,43.9438003201667
2010,FB_CBK_BRCH,Serbia,15+,41.2445843670748
2011,FB_CBK_BRCH,Serbia,15+,39.7523520141608
2012,FB_CBK_BRCH,Serbia,15+,37.4528520689152
2013,FB_CBK_BRCH,Serbia,15+,33.6976550681926
2014,FB_CBK_BRCH,Serbia,15+,30.3986940466178
2015,FB_CBK_BRCH,Serbia,15+,29.537006995076
2016,FB_CBK_BRCH,Serbia,15+,29.4068152992329
2017,FB_CBK_BRCH,Albania,15+,20.7181646083651
2018,FB_CBK_BRCH,Albania,15+,19.5355124681912
2019,FB_CBK_BRCH,Albania,15+,18.7056694720929
2020,FB_CBK_BRCH,Albania,15+,18.6058710251239
2021,FB_CBK_BRCH,Albania,15+,18.5712570124723
2004,FB_CBK_BRCH,Azerbaijan,15+,6.51805285578395
2005,FB_CBK_BRCH,Azerbaijan,15+,6.75205158179731
2006,FB_CBK_BRCH,Azerbaijan,15+,7.33351730346569
2007,FB_CBK_BRCH,Azerbaijan,15+,8.20898118195416
2008,FB_CBK_BRCH,Azerbaijan,15+,9.18806301242562
2009,FB_CBK_BRCH,Azerbaijan,15+,9.78699878769378
2010,FB_CBK_BRCH,Azerbaijan,15+,9.86153065554847
2011,FB_CBK_BRCH,Azerbaijan,15+,10.0006986403557
2017,FB_CBK_BRCH,Serbia,15+,27.9199863953521
2018,FB_CBK_BRCH,Serbia,15+,27.5179988095918
2019,FB_CBK_BRCH,Serbia,15+,27.6002918573172
2020,FB_CBK_BRCH,Serbia,15+,27.3509016206737
2021,FB_CBK_BRCH,Serbia,15+,26.4267014149921
2004,FB_CBK_BRCH,Slovakia,15+,25.2180971369579
2005,FB_CBK_BRCH,Slovakia,15+,25.710622358172
2006,FB_CBK_BRCH,Slovakia,15+,26.3023798197274
2007,FB_CBK_BRCH,Slovakia,15+,25.9612536602929
2008,FB_CBK_BRCH,Slovakia,15+,27.7855388960026
2009,FB_CBK_BRCH,Slovakia,15+,26.458369272252
2010,FB_CBK_BRCH,Slovakia,15+,26.2889989083493
2011,FB_CBK_BRCH,Slovakia,15+,25.9709938102465
2012,FB_CBK_BRCH,Azerbaijan,15+,9.69468681161473
2013,FB_CBK_BRCH,Azerbaijan,15+,10.1976029182438
2014,FB_CBK_BRCH,Azerbaijan,15+,10.8211413330669
2015,FB_CBK_BRCH,Azerbaijan,15+,10.6555071840021
2018,FB_CBK_BRCH,Azerbaijan,15+,7.06325115148718
2019,FB_CBK_BRCH,Azerbaijan,15+,7.02335127480341
2020,FB_CBK_BRCH,Azerbaijan,15+,6.23081692098158
2021,FB_CBK_BRCH,Azerbaijan,15+,6.49937657465094
2004,FB_CBK_BRCH,Australia,15+,30.6705921877691
