Year,SeriesCode,Страна ,Activity,Sex,Value
2010,SL_ISV_IFEM,Australia,NONAGR,MALE,24.64
2010,SL_ISV_IFEM,Australia,ISIC4_A,MALE,62.23
2010,SL_ISV_IFEM,Australia,TOTAL,FEMALE,28.36
2010,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,86.29
2010,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,25.97
2010,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,68.21
2010,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,27.09
2010,SL_ISV_IFEM,Australia,TOTAL,MALE,26.03
2010,SL_ISV_IFEM,Australia,NONAGR,FEMALE,27.51
2011,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,61.56
2011,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,27.41
2011,SL_ISV_IFEM,Australia,ISIC4_A,MALE,56.75
2011,SL_ISV_IFEM,Australia,NONAGR,MALE,26.0
2011,SL_ISV_IFEM,Australia,TOTAL,MALE,27.15
2011,SL_ISV_IFEM,Australia,TOTAL,FEMALE,29.71
2011,SL_ISV_IFEM,Australia,NONAGR,FEMALE,29.08
2011,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,78.48
2011,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,28.31
2012,SL_ISV_IFEM,Australia,NONAGR,MALE,24.82
2012,SL_ISV_IFEM,Australia,ISIC4_A,MALE,61.76
2012,SL_ISV_IFEM,Australia,TOTAL,FEMALE,29.55
2012,SL_ISV_IFEM,Australia,NONAGR,FEMALE,28.83
2012,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,84.03
2012,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,27.63
2012,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,26.67
2012,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,67.34
2012,SL_ISV_IFEM,Australia,TOTAL,MALE,26.02
2013,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,28.16
2013,SL_ISV_IFEM,Australia,ISIC4_A,MALE,68.35
2013,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,70.13
2013,SL_ISV_IFEM,Australia,TOTAL,FEMALE,29.59
2013,SL_ISV_IFEM,Australia,NONAGR,MALE,25.36
2013,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,27.07
2013,SL_ISV_IFEM,Australia,TOTAL,MALE,26.92
2013,SL_ISV_IFEM,Australia,NONAGR,FEMALE,28.99
2013,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,76.03
2014,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,26.83
2014,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,28.03
2014,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,71.33
2014,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,65.59
2014,SL_ISV_IFEM,Australia,NONAGR,FEMALE,27.75
2014,SL_ISV_IFEM,Australia,ISIC4_A,MALE,63.17
2014,SL_ISV_IFEM,Australia,TOTAL,FEMALE,28.6
2014,SL_ISV_IFEM,Australia,TOTAL,MALE,27.52
2014,SL_ISV_IFEM,Australia,NONAGR,MALE,26.01
2015,SL_ISV_IFEM,Australia,ISIC4_A,MALE,69.98
2015,SL_ISV_IFEM,Australia,TOTAL,MALE,26.9
2015,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,28.81
2015,SL_ISV_IFEM,Australia,NONAGR,FEMALE,30.15
2015,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,80.12
2015,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,27.59
2015,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,72.93
2015,SL_ISV_IFEM,Australia,TOTAL,FEMALE,30.99
2015,SL_ISV_IFEM,Australia,NONAGR,MALE,25.31
2007,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,67.08
2007,SL_ISV_IFEM,Colombia,NONAGR,MALE,61.06
2007,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,62.4
2007,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,85.64
2007,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,65.3
2007,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,89.82
2007,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,90.44
2007,SL_ISV_IFEM,Colombia,TOTAL,MALE,68.21
2007,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,64.08
2008,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,66.84
2008,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,64.87
2008,SL_ISV_IFEM,Colombia,NONAGR,MALE,60.29
2008,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,63.53
2008,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,85.86
2008,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,61.75
2008,SL_ISV_IFEM,Colombia,TOTAL,MALE,68.11
2008,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,90.62
2008,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,90.0
2009,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,68.76
2009,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,90.46
2009,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,87.93
2009,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,67.92
2009,SL_ISV_IFEM,Colombia,NONAGR,MALE,61.57
2009,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,90.85
2009,SL_ISV_IFEM,Colombia,TOTAL,MALE,69.32
2009,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,66.61
2009,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,63.88
2010,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,63.16
2010,SL_ISV_IFEM,Colombia,TOTAL,MALE,68.53
2010,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,65.89
2010,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,88.51
2010,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,67.4
2010,SL_ISV_IFEM,Colombia,NONAGR,MALE,60.77
2010,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,68.07
2010,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,89.86
2010,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,89.66
2011,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,62.53
2011,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,89.87
2011,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,65.52
2011,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,89.36
2011,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,67.37
2011,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,89.27
2011,SL_ISV_IFEM,Colombia,TOTAL,MALE,67.49
2011,SL_ISV_IFEM,Colombia,NONAGR,MALE,59.93
2011,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,67.19
2012,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,66.95
2012,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,65.32
2012,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,89.8
2016,SL_ISV_IFEM,Australia,NONAGR,BOTHSEX,26.76
2016,SL_ISV_IFEM,Australia,ISIC4_A,BOTHSEX,69.64
2016,SL_ISV_IFEM,Australia,TOTAL,MALE,27.62
2016,SL_ISV_IFEM,Australia,TOTAL,BOTHSEX,28.02
2016,SL_ISV_IFEM,Australia,ISIC4_A,MALE,66.69
2016,SL_ISV_IFEM,Australia,TOTAL,FEMALE,28.48
2016,SL_ISV_IFEM,Australia,NONAGR,MALE,25.9
2016,SL_ISV_IFEM,Australia,NONAGR,FEMALE,27.72
2016,SL_ISV_IFEM,Australia,ISIC4_A,FEMALE,79.18
2012,SL_ISV_IFEM,Colombia,TOTAL,MALE,66.86
2012,SL_ISV_IFEM,Colombia,NONAGR,MALE,59.23
2012,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,62.07
2012,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,89.81
2012,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,67.08
2012,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,89.74
2013,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,65.04
2013,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,88.87
2013,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,60.16
2013,SL_ISV_IFEM,Colombia,TOTAL,MALE,65.14
2008,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,9.98
2008,SL_ISV_IFEM,Greece,NONAGR,FEMALE,10.89
2008,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,50.73
2008,SL_ISV_IFEM,Greece,TOTAL,MALE,6.08
2008,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,7.73
2008,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,26.28
2008,SL_ISV_IFEM,Greece,TOTAL,FEMALE,15.67
2008,SL_ISV_IFEM,Greece,NONAGR,MALE,5.55
2008,SL_ISV_IFEM,Greece,ISIC4_A,MALE,9.87
2012,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,66.59
2012,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,97.64
2012,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,40.17
2012,SL_ISV_IFEM,Albania,TOTAL,MALE,63.39
2012,SL_ISV_IFEM,Albania,ISIC4_A,MALE,96.17
2012,SL_ISV_IFEM,Albania,NONAGR,MALE,43.81
2012,SL_ISV_IFEM,Albania,NONAGR,FEMALE,33.49
2012,SL_ISV_IFEM,Albania,TOTAL,FEMALE,70.64
2012,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,98.87
2013,SL_ISV_IFEM,Albania,NONAGR,FEMALE,24.13
