Year,SeriesCode,Страна ,Age,Sex,Value
2009,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,10.29
2009,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,12.58
2009,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,11.4
2010,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,10.8
2010,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,11.32
2010,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,11.85
2011,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,11.74
2011,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,10.59
2011,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,9.48
2012,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,9.44
2012,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,10.4
2012,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,9.91
2013,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,11.02
2013,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,11.77
2004,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,16.43
2004,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,12.34
2004,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,8.35
2005,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,10.89
2005,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,8.86
2005,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,12.97
2006,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,7.93
2006,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,11.46
2006,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,15.11
2013,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,10.22
2014,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,10.09
2014,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,9.73
2014,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,10.5
2015,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,9.8
2015,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,10.2
2015,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,9.45
2016,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,8.69
2016,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,8.42
2016,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,9.06
2017,SL_TLF_NEET_19ICLS,Australia,15-24,MALE,8.89
2017,SL_TLF_NEET_19ICLS,Australia,15-24,FEMALE,8.96
2017,SL_TLF_NEET_19ICLS,Australia,15-24,BOTHSEX,8.94
2007,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,14.43
2007,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,9.54
2007,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,11.94
2008,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,13.52
2008,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,10.18
2008,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,11.82
2009,SL_TLF_NEET_19ICLS,Latvia,15-24,MALE,18.62
2009,SL_TLF_NEET_19ICLS,Latvia,15-24,BOTHSEX,17.49
2009,SL_TLF_NEET_19ICLS,Latvia,15-24,FEMALE,16.32
2005,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.84
2005,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,13.49
2005,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,10.14
2006,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.22
2006,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.43
2006,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.95
2007,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.18
2007,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.71
2007,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.18
2008,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,11.48
2008,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,9.21
2008,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,10.37
2009,SL_TLF_NEET_19ICLS,Austria,15-24,BOTHSEX,11.73
2009,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,13.3
2009,SL_TLF_NEET_19ICLS,Austria,15-24,FEMALE,10.1
2010,SL_TLF_NEET_19ICLS,Austria,15-24,MALE,12.64
