Year,SeriesCode,Страна ,Migratory status,Value
2015,SL_LBR_NTLCPL,Australia,,0.72
2016,SL_LBR_NTLCPL,Australia,,0.69
2017,SL_LBR_NTLCPL,Australia,,0.69
2018,SL_LBR_NTLCPL,Australia,,0.69
2019,SL_LBR_NTLCPL,Australia,,0.69
2020,SL_LBR_NTLCPL,Australia,,0.69
2021,SL_LBR_NTLCPL,Australia,,0.69
2015,SL_LBR_NTLCPL,Austria,,0.0
2016,SL_LBR_NTLCPL,Austria,,0.0
2017,SL_LBR_NTLCPL,Austria,,0.0
2018,SL_LBR_NTLCPL,Austria,,0.0
2019,SL_LBR_NTLCPL,Austria,,0.0
2020,SL_LBR_NTLCPL,Austria,,0.0
2021,SL_LBR_NTLCPL,Austria,,0.0
2015,SL_LBR_NTLCPL,Armenia,,1.22
2016,SL_LBR_NTLCPL,Armenia,,1.4
2017,SL_LBR_NTLCPL,Armenia,,1.4
2018,SL_LBR_NTLCPL,Armenia,,1.4
2015,SL_LBR_NTLCPL,Ireland,,0.72
2016,SL_LBR_NTLCPL,Ireland,,0.72
2017,SL_LBR_NTLCPL,Ireland,,0.0
2015,SL_LBR_NTLCPL,Albania,,0.88
2016,SL_LBR_NTLCPL,Albania,,0.72
2017,SL_LBR_NTLCPL,Albania,,0.72
2015,SL_LBR_NTLCPL,Sweden,,0.15
2016,SL_LBR_NTLCPL,Sweden,,0.15
2017,SL_LBR_NTLCPL,Sweden,,0.15
2018,SL_LBR_NTLCPL,Albania,,0.72
2019,SL_LBR_NTLCPL,Albania,,0.72
2020,SL_LBR_NTLCPL,Albania,,0.72
2018,SL_LBR_NTLCPL,Sweden,,0.0
2019,SL_LBR_NTLCPL,Sweden,,0.0
2020,SL_LBR_NTLCPL,Sweden,,0.0
2021,SL_LBR_NTLCPL,Sweden,,0.0
2015,SL_LBR_NTLCPL,Switzerland,,0.35
2016,SL_LBR_NTLCPL,Switzerland,,0.35
2021,SL_LBR_NTLCPL,Albania,,0.72
2015,SL_LBR_NTLCPL,Azerbaijan,,0.35
2016,SL_LBR_NTLCPL,Azerbaijan,,0.35
2018,SL_LBR_NTLCPL,Ireland,,0.0
2019,SL_LBR_NTLCPL,Ireland,,0.0
2020,SL_LBR_NTLCPL,Ireland,,0.0
2019,SL_LBR_NTLCPL,Armenia,,1.4
2020,SL_LBR_NTLCPL,Armenia,,1.4
2021,SL_LBR_NTLCPL,Armenia,,1.4
2017,SL_LBR_NTLCPL,Azerbaijan,,0.35
2018,SL_LBR_NTLCPL,Azerbaijan,,0.35
2019,SL_LBR_NTLCPL,Azerbaijan,,0.54
2017,SL_LBR_NTLCPL,Switzerland,,0.35
2018,SL_LBR_NTLCPL,Switzerland,,0.18
2019,SL_LBR_NTLCPL,Switzerland,,0.18
2021,SL_LBR_NTLCPL,Ireland,,0.0
2015,SL_LBR_NTLCPL,Israel,,0.0
2016,SL_LBR_NTLCPL,Israel,,0.0
2015,SL_LBR_NTLCPL,Belgium,,0.35
