Year,SeriesCode,Страна ,Value
2006,DC_TOF_TRDDBMDL,Australia,206.26871
2007,DC_TOF_TRDDBMDL,Australia,277.37626
2008,DC_TOF_TRDDBMDL,Australia,353.47209
2009,DC_TOF_TRDDBMDL,Australia,336.98203
2010,DC_TOF_TRDDBMDL,Australia,452.34196
2011,DC_TOF_TRDDBMDL,Australia,501.40819
2012,DC_TOF_TRDDBMDL,Australia,488.03403
2013,DC_TOF_TRDDBMDL,Australia,411.78658
2014,DC_TOF_TRDDBMDL,Australia,373.39009
2015,DC_TOF_TRDDBMDL,Australia,453.18118
2016,DC_TOF_TRDDBMDL,Australia,434.41355
2017,DC_TOF_TRDDBMDL,Australia,470.812
2018,DC_TOF_TRDDBMDL,Australia,472.95298
2019,DC_TOF_TRDDBMDL,Australia,451.13712
2020,DC_TOF_TRDDBMDL,Australia,383.00785
2021,DC_TOF_TRDDBMDL,Australia,443.4758
2006,DC_TOF_TRDDBMDL,Austria,37.18422
2007,DC_TOF_TRDDBMDL,Austria,36.92014
2008,DC_TOF_TRDDBMDL,Austria,61.82987
2009,DC_TOF_TRDDBMDL,Austria,67.7264
2010,DC_TOF_TRDDBMDL,Austria,76.52239
2011,DC_TOF_TRDDBMDL,Austria,65.48945
2012,DC_TOF_TRDDBMDL,Austria,54.37683
2013,DC_TOF_TRDDBMDL,Austria,84.25823
2014,DC_TOF_TRDDBMDL,Austria,62.21632
2015,DC_TOF_TRDDBMDL,Austria,54.01372
2016,DC_TOF_TRDDBMDL,Austria,58.69014
2017,DC_TOF_TRDDBMDL,Austria,75.69427
2018,DC_TOF_TRDDBMDL,Austria,67.9746
2019,DC_TOF_TRDDBMDL,Austria,60.04387
2020,DC_TOF_TRDDBMDL,Austria,158.16821
2021,DC_TOF_TRDDBMDL,Austria,141.68177
2006,DC_TOF_TRDDBMDL,Belgium,191.89591
2007,DC_TOF_TRDDBMDL,Belgium,175.70838
2008,DC_TOF_TRDDBMDL,Belgium,233.39212
2009,DC_TOF_TRDDBMDL,Belgium,472.22592
2010,DC_TOF_TRDDBMDL,Belgium,390.51758
2011,DC_TOF_TRDDBMDL,Belgium,449.66852
2012,DC_TOF_TRDDBMDL,Belgium,215.08706
2013,DC_TOF_TRDDBMDL,Belgium,228.80275
