Year,SeriesCode,Страна ,Location,Value
2018,SD_MDP_MUHHC,Armenia,ALLAREA,26
2011,SD_MDP_MUHHC,Chile,RURAL,39
2011,SD_MDP_MUHHC,Chile,URBAN,17
2011,SD_MDP_MUHHC,Chile,ALLAREA,20
2013,SD_MDP_MUHHC,Chile,RURAL,31
2013,SD_MDP_MUHHC,Chile,ALLAREA,16
2013,SD_MDP_MUHHC,Chile,URBAN,14
2015,SD_MDP_MUHHC,Chile,ALLAREA,17
2017,SD_MDP_MUHHC,Chile,ALLAREA,17
2010,SD_MDP_MUHHC,Costa Rica,URBAN,18
2010,SD_MDP_MUHHC,Costa Rica,RURAL,47
2010,SD_MDP_MUHHC,Costa Rica,ALLAREA,26
2011,SD_MDP_MUHHC,Costa Rica,RURAL,43
2011,SD_MDP_MUHHC,Costa Rica,ALLAREA,24
2011,SD_MDP_MUHHC,Costa Rica,URBAN,17
2012,SD_MDP_MUHHC,Costa Rica,URBAN,15
2012,SD_MDP_MUHHC,Costa Rica,RURAL,40
2012,SD_MDP_MUHHC,Costa Rica,ALLAREA,22
2013,SD_MDP_MUHHC,Costa Rica,RURAL,39
2013,SD_MDP_MUHHC,Costa Rica,ALLAREA,21
2013,SD_MDP_MUHHC,Costa Rica,URBAN,14
2014,SD_MDP_MUHHC,Costa Rica,RURAL,38
2014,SD_MDP_MUHHC,Costa Rica,ALLAREA,22
2014,SD_MDP_MUHHC,Costa Rica,URBAN,16
2015,SD_MDP_MUHHC,Costa Rica,RURAL,35
2015,SD_MDP_MUHHC,Costa Rica,ALLAREA,22
2015,SD_MDP_MUHHC,Costa Rica,URBAN,17
2016,SD_MDP_MUHHC,Costa Rica,RURAL,34
2016,SD_MDP_MUHHC,Costa Rica,URBAN,15
2016,SD_MDP_MUHHC,Costa Rica,ALLAREA,21
2017,SD_MDP_MUHHC,Costa Rica,ALLAREA,19
2017,SD_MDP_MUHHC,Costa Rica,URBAN,14
2017,SD_MDP_MUHHC,Costa Rica,RURAL,31
2018,SD_MDP_MUHHC,Costa Rica,ALLAREA,19
2018,SD_MDP_MUHHC,Costa Rica,URBAN,15
2018,SD_MDP_MUHHC,Costa Rica,RURAL,31
2019,SD_MDP_MUHHC,Costa Rica,URBAN,13
2019,SD_MDP_MUHHC,Costa Rica,ALLAREA,17
2019,SD_MDP_MUHHC,Costa Rica,RURAL,26
2020,SD_MDP_MUHHC,Costa Rica,URBAN,12
2020,SD_MDP_MUHHC,Costa Rica,RURAL,26
2021,SD_MDP_MUHHC,Costa Rica,URBAN,13
2021,SD_MDP_MUHHC,Costa Rica,RURAL,27
2022,SD_MDP_MUHHC,Costa Rica,URBAN,11
2022,SD_MDP_MUHHC,Costa Rica,RURAL,24
2016,SD_MDP_MUHHC,Viet Nam,ALLAREA,9
2017,SD_MDP_MUHHC,Viet Nam,ALLAREA,8
2018,SD_MDP_MUHHC,Viet Nam,ALLAREA,7
2019,SD_MDP_MUHHC,Viet Nam,ALLAREA,6
2020,SD_MDP_MUHHC,Viet Nam,ALLAREA,5
2020,SD_MDP_MUHHC,Viet Nam,ALLAREA,5
