Year,SeriesCode,Страна ,Sex,Value
2020,SI_COV_UEMP,Georgia,MALE,0.0
2020,SI_COV_UEMP,Georgia,FEMALE,0.0
2000,SI_COV_UEMP,Germany,BOTHSEX,81.2
2004,SI_COV_UEMP,Germany,BOTHSEX,92.1
2007,SI_COV_UEMP,Germany,BOTHSEX,80.6
2009,SI_COV_UEMP,Germany,BOTHSEX,86.4
2010,SI_COV_UEMP,Germany,BOTHSEX,87.6
2011,SI_COV_UEMP,Germany,BOTHSEX,86.3
2016,SI_COV_UEMP,Germany,BOTHSEX,100.0
2020,SI_COV_UEMP,Germany,FEMALE,100.0
2020,SI_COV_UEMP,Germany,MALE,100.0
2020,SI_COV_UEMP,Germany,BOTHSEX,100.0
2000,SI_COV_UEMP,Greece,BOTHSEX,52.9
2002,SI_COV_UEMP,Greece,BOTHSEX,44.3
2007,SI_COV_UEMP,Greece,BOTHSEX,53.9
2009,SI_COV_UEMP,Greece,BOTHSEX,57.7
2010,SI_COV_UEMP,Greece,BOTHSEX,30.8
2011,SI_COV_UEMP,Greece,BOTHSEX,28.6
2014,SI_COV_UEMP,Greece,BOTHSEX,21.0
2020,SI_COV_UEMP,Greece,BOTHSEX,26.4
2003,SI_COV_UEMP,Hungary,BOTHSEX,45.1
2005,SI_COV_UEMP,Hungary,BOTHSEX,42.6
2007,SI_COV_UEMP,Hungary,BOTHSEX,42.6
2009,SI_COV_UEMP,Hungary,BOTHSEX,48.0
2010,SI_COV_UEMP,Hungary,BOTHSEX,39.5
2011,SI_COV_UEMP,Hungary,BOTHSEX,35.7
2013,SI_COV_UEMP,Hungary,BOTHSEX,10.9
2013,SI_COV_UEMP,Hungary,MALE,11.2
2013,SI_COV_UEMP,Hungary,FEMALE,10.5
2014,SI_COV_UEMP,Hungary,MALE,12.5
2014,SI_COV_UEMP,Hungary,BOTHSEX,12.4
2014,SI_COV_UEMP,Hungary,FEMALE,12.2
2020,SI_COV_UEMP,Hungary,FEMALE,25.9
2020,SI_COV_UEMP,Hungary,BOTHSEX,26.3
2020,SI_COV_UEMP,Hungary,MALE,26.7
2000,SI_COV_UEMP,Iceland,BOTHSEX,50.4
2005,SI_COV_UEMP,Iceland,BOTHSEX,72.6
2007,SI_COV_UEMP,Iceland,BOTHSEX,39.1
2009,SI_COV_UEMP,Iceland,BOTHSEX,17.7
2010,SI_COV_UEMP,Iceland,BOTHSEX,21.6
2011,SI_COV_UEMP,Iceland,BOTHSEX,28.6
2011,SI_COV_UEMP,Iceland,FEMALE,43.0
2011,SI_COV_UEMP,Iceland,MALE,18.3
2020,SI_COV_UEMP,Iceland,BOTHSEX,100.0
2020,SI_COV_UEMP,Iceland,FEMALE,100.0
2020,SI_COV_UEMP,Iceland,MALE,100.0
2020,SI_COV_UEMP,India,FEMALE,0.0
2020,SI_COV_UEMP,India,BOTHSEX,0.0
2020,SI_COV_UEMP,India,MALE,0.0
2000,SI_COV_UEMP,Ireland,BOTHSEX,74.7
2005,SI_COV_UEMP,Ireland,BOTHSEX,81.5
2007,SI_COV_UEMP,Ireland,BOTHSEX,85.9
2009,SI_COV_UEMP,Ireland,BOTHSEX,91.3
2010,SI_COV_UEMP,Ireland,BOTHSEX,87.2
2011,SI_COV_UEMP,Ireland,BOTHSEX,85.4
2013,SI_COV_UEMP,Ireland,MALE,100.0
2013,SI_COV_UEMP,Ireland,FEMALE,94.1
2014,SI_COV_UEMP,Ireland,BOTHSEX,100.0
2020,SI_COV_UEMP,Ireland,MALE,100.0
2020,SI_COV_UEMP,Ireland,BOTHSEX,100.0
2020,SI_COV_UEMP,Ireland,FEMALE,100.0
2000,SI_COV_UEMP,Israel,BOTHSEX,43.3
2005,SI_COV_UEMP,Israel,BOTHSEX,29.1
2007,SI_COV_UEMP,Israel,BOTHSEX,29.7
2009,SI_COV_UEMP,Israel,BOTHSEX,38.2
2010,SI_COV_UEMP,Israel,BOTHSEX,36.3
2011,SI_COV_UEMP,Israel,BOTHSEX,40.0
2013,SI_COV_UEMP,Israel,BOTHSEX,33.9
2014,SI_COV_UEMP,Israel,BOTHSEX,37.0
2020,SI_COV_UEMP,Israel,BOTHSEX,42.0
2000,SI_COV_UEMP,Italy,BOTHSEX,22.6
2005,SI_COV_UEMP,Italy,BOTHSEX,35.4
2007,SI_COV_UEMP,Italy,BOTHSEX,42.5
2009,SI_COV_UEMP,Italy,BOTHSEX,61.3
2010,SI_COV_UEMP,Italy,BOTHSEX,56.2
2011,SI_COV_UEMP,Italy,BOTHSEX,55.8
2014,SI_COV_UEMP,Italy,BOTHSEX,37.8
2020,SI_COV_UEMP,Italy,BOTHSEX,48.2
2001,SI_COV_UEMP,Japan,BOTHSEX,32.5
2005,SI_COV_UEMP,Japan,BOTHSEX,21.4
2007,SI_COV_UEMP,Japan,BOTHSEX,22.1
2009,SI_COV_UEMP,Japan,BOTHSEX,25.4
2010,SI_COV_UEMP,Japan,BOTHSEX,19.6
2011,SI_COV_UEMP,Japan,BOTHSEX,21.5
2014,SI_COV_UEMP,Japan,BOTHSEX,20.0
2020,SI_COV_UEMP,Japan,BOTHSEX,69.3
2000,SI_COV_UEMP,Казахстан,BOTHSEX,0.5
2005,SI_COV_UEMP,Казахстан,BOTHSEX,0.7
2007,SI_COV_UEMP,Казахстан,BOTHSEX,0.9
2009,SI_COV_UEMP,Казахстан,BOTHSEX,1.0
2010,SI_COV_UEMP,Казахстан,BOTHSEX,0.5
2011,SI_COV_UEMP,Казахстан,BOTHSEX,0.4
2016,SI_COV_UEMP,Казахстан,MALE,6.8
2016,SI_COV_UEMP,Казахстан,FEMALE,4.5
2016,SI_COV_UEMP,Казахстан,BOTHSEX,5.8
2020,SI_COV_UEMP,Казахстан,MALE,8.1
2020,SI_COV_UEMP,Казахстан,FEMALE,5.2
2020,SI_COV_UEMP,Казахстан,BOTHSEX,8.9
2004,SI_COV_UEMP,Republic of Korea,BOTHSEX,25.1
2005,SI_COV_UEMP,Republic of Korea,BOTHSEX,27.5
2007,SI_COV_UEMP,Republic of Korea,BOTHSEX,34.9
2009,SI_COV_UEMP,Republic of Korea,BOTHSEX,39.2
2010,SI_COV_UEMP,Republic of Korea,BOTHSEX,36.0
2011,SI_COV_UEMP,Republic of Korea,BOTHSEX,35.8
2014,SI_COV_UEMP,Republic of Korea,BOTHSEX,40.0
2019,SI_COV_UEMP,Republic of Korea,BOTHSEX,37.1
2020,SI_COV_UEMP,Republic of Korea,BOTHSEX,45.4
2000,SI_COV_UEMP,Кыргызстан,BOTHSEX,8.2
2005,SI_COV_UEMP,Кыргызстан,BOTHSEX,10.4
2007,SI_COV_UEMP,Кыргызстан,BOTHSEX,3.3
2009,SI_COV_UEMP,Кыргызстан,BOTHSEX,1.4
2010,SI_COV_UEMP,Кыргызстан,BOTHSEX,1.2
2011,SI_COV_UEMP,Кыргызстан,BOTHSEX,1.2
2016,SI_COV_UEMP,Кыргызстан,BOTHSEX,1.7
2020,SI_COV_UEMP,Кыргызстан,BOTHSEX,2.7
2001,SI_COV_UEMP,Latvia,BOTHSEX,26.2
2005,SI_COV_UEMP,Latvia,BOTHSEX,37.1
2007,SI_COV_UEMP,Latvia,BOTHSEX,47.0
2009,SI_COV_UEMP,Latvia,BOTHSEX,33.4
2000,SI_COV_UEMP,Albania,BOTHSEX,10.2
2005,SI_COV_UEMP,Albania,BOTHSEX,6.7
2007,SI_COV_UEMP,Albania,BOTHSEX,7.8
2009,SI_COV_UEMP,Albania,BOTHSEX,6.3
2010,SI_COV_UEMP,Albania,BOTHSEX,6.4
2011,SI_COV_UEMP,Albania,BOTHSEX,6.0
2012,SI_COV_UEMP,Albania,BOTHSEX,6.9
2020,SI_COV_UEMP,Albania,BOTHSEX,6.9
2021,SI_COV_UEMP,Albania,BOTHSEX,2.6
2000,SI_COV_UEMP,Azerbaijan,BOTHSEX,6.3
2005,SI_COV_UEMP,Azerbaijan,BOTHSEX,3.7
2007,SI_COV_UEMP,Azerbaijan,BOTHSEX,5.0
2009,SI_COV_UEMP,Azerbaijan,BOTHSEX,6.6
2011,SI_COV_UEMP,Azerbaijan,BOTHSEX,2.6
2016,SI_COV_UEMP,Azerbaijan,MALE,2.6
2016,SI_COV_UEMP,Azerbaijan,BOTHSEX,1.6
2016,SI_COV_UEMP,Azerbaijan,FEMALE,0.8
2020,SI_COV_UEMP,Azerbaijan,BOTHSEX,19.1
2000,SI_COV_UEMP,Australia,BOTHSEX,73.4
2005,SI_COV_UEMP,Australia,BOTHSEX,70.4
2007,SI_COV_UEMP,Australia,BOTHSEX,62.4
2009,SI_COV_UEMP,Australia,BOTHSEX,58.2
2010,SI_COV_UEMP,Australia,BOTHSEX,51.3
2011,SI_COV_UEMP,Australia,BOTHSEX,51.4
2014,SI_COV_UEMP,Australia,BOTHSEX,52.7
2014,SI_COV_UEMP,Australia,FEMALE,44.4
2014,SI_COV_UEMP,Australia,MALE,60.0
2020,SI_COV_UEMP,Australia,BOTHSEX,52.7
