Year,SeriesCode,Страна ,Location,Value
2011,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.71362
2012,SP_ACS_BSRVH2O,Bulgaria,RURAL,98.43712
2012,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.36155
2012,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.70391
2013,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.32848
2013,SP_ACS_BSRVH2O,Bulgaria,RURAL,98.32383
2013,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.69419
2014,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.68448
2014,SP_ACS_BSRVH2O,Bulgaria,RURAL,98.21055
2014,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.29611
2015,SP_ACS_BSRVH2O,Bulgaria,RURAL,98.09727
2015,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.26446
2015,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.67477
2016,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.23351
2016,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.98398
2016,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.66506
2017,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.65534
2017,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.8707
2017,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.20327
2018,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.17373
2018,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.64563
2018,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.75741
2019,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.63592
2019,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.64413
2019,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.14488
2020,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.11674
2020,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.6262
2020,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.53085
2021,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.0893
2021,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.41756
2021,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.61649
2022,SP_ACS_BSRVH2O,Bulgaria,RURAL,97.30428
2022,SP_ACS_BSRVH2O,Bulgaria,ALLAREA,99.06253
2022,SP_ACS_BSRVH2O,Bulgaria,URBAN,99.60678
2000,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.35624
2000,SP_ACS_BSRVH2O,Belarus,RURAL,99.46703
2000,SP_ACS_BSRVH2O,Belarus,URBAN,97.87957
2001,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.34854
2001,SP_ACS_BSRVH2O,Belarus,RURAL,99.46703
2001,SP_ACS_BSRVH2O,Belarus,URBAN,97.87957
2002,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.3409
2002,SP_ACS_BSRVH2O,Belarus,RURAL,99.46703
2002,SP_ACS_BSRVH2O,Belarus,URBAN,97.87957
2003,SP_ACS_BSRVH2O,Belarus,RURAL,99.46703
2003,SP_ACS_BSRVH2O,Belarus,URBAN,97.87957
2003,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.33334
2004,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.32881
2004,SP_ACS_BSRVH2O,Belarus,RURAL,99.33715
2004,SP_ACS_BSRVH2O,Belarus,URBAN,97.93448
2005,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.31888
2005,SP_ACS_BSRVH2O,Belarus,RURAL,99.18122
2005,SP_ACS_BSRVH2O,Belarus,URBAN,97.98939
2006,SP_ACS_BSRVH2O,Belarus,URBAN,98.0443
2006,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.311
2006,SP_ACS_BSRVH2O,Belarus,RURAL,99.02541
2007,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.30514
2007,SP_ACS_BSRVH2O,Belarus,RURAL,98.86972
2007,SP_ACS_BSRVH2O,Belarus,URBAN,98.09921
2008,SP_ACS_BSRVH2O,Belarus,URBAN,98.15412
2008,SP_ACS_BSRVH2O,Belarus,ALLAREA,98.30126
2000,SP_ACS_BSRVH2O,Albania,ALLAREA,86.39704
2000,SP_ACS_BSRVH2O,Albania,RURAL,80.42316
2000,SP_ACS_BSRVH2O,Albania,URBAN,94.73495
2001,SP_ACS_BSRVH2O,Albania,ALLAREA,86.90407
2001,SP_ACS_BSRVH2O,Albania,URBAN,94.78481
2001,SP_ACS_BSRVH2O,Albania,RURAL,81.09465
2002,SP_ACS_BSRVH2O,Albania,URBAN,94.83431
2002,SP_ACS_BSRVH2O,Albania,ALLAREA,87.45164
2002,SP_ACS_BSRVH2O,Albania,RURAL,81.7674
2003,SP_ACS_BSRVH2O,Albania,ALLAREA,87.9872
2000,SP_ACS_BSRVH2O,Estonia,RURAL,92.93934
2000,SP_ACS_BSRVH2O,Estonia,ALLAREA,97.36216
2000,SP_ACS_BSRVH2O,Estonia,URBAN,99.31522
2001,SP_ACS_BSRVH2O,Estonia,ALLAREA,97.52317
2001,SP_ACS_BSRVH2O,Estonia,RURAL,93.41
2001,SP_ACS_BSRVH2O,Estonia,URBAN,99.35029
2002,SP_ACS_BSRVH2O,Estonia,RURAL,93.88066
2002,SP_ACS_BSRVH2O,Estonia,ALLAREA,97.68529
2002,SP_ACS_BSRVH2O,Estonia,URBAN,99.38536
2003,SP_ACS_BSRVH2O,Estonia,ALLAREA,97.84845
2000,SP_ACS_BSRVH2O,Azerbaijan,ALLAREA,73.41658
