Year,SeriesCode,Страна ,Value
2014,DC_ODA_POVDLG,Azerbaijan,0.0013
2016,DC_ODA_POVDLG,Azerbaijan,0.0004
2018,DC_ODA_POVDLG,Azerbaijan,0.0002
2019,DC_ODA_POVDLG,Azerbaijan,0.0047
2020,DC_ODA_POVDLG,Azerbaijan,0.0549
2000,DC_ODA_POVDLG,Australia,0.06784
2001,DC_ODA_POVDLG,Australia,0.04277
2002,DC_ODA_POVDLG,Australia,0.0351
2003,DC_ODA_POVDLG,Australia,0.027
2004,DC_ODA_POVDLG,Australia,0.0238
2005,DC_ODA_POVDLG,Australia,0.0281
2006,DC_ODA_POVDLG,Australia,0.0177
2007,DC_ODA_POVDLG,Australia,0.0214
2008,DC_ODA_POVDLG,Australia,0.0318
2009,DC_ODA_POVDLG,Australia,0.0266
2010,DC_ODA_POVDLG,Australia,0.0329
2011,DC_ODA_POVDLG,Australia,0.0376
2012,DC_ODA_POVDLG,Australia,0.0383
2013,DC_ODA_POVDLG,Australia,0.0321
2014,DC_ODA_POVDLG,Australia,0.0307
2015,DC_ODA_POVDLG,Australia,0.0325
2016,DC_ODA_POVDLG,Australia,0.023
2017,DC_ODA_POVDLG,Australia,0.0235
2018,DC_ODA_POVDLG,Australia,0.0296
2019,DC_ODA_POVDLG,Australia,0.022
2020,DC_ODA_POVDLG,Australia,0.0318
2021,DC_ODA_POVDLG,Australia,0.0515
2000,DC_ODA_POVDLG,Austria,0.00773
2001,DC_ODA_POVDLG,Austria,0.00694
2002,DC_ODA_POVDLG,Austria,0.0057
2003,DC_ODA_POVDLG,Austria,0.0075
2004,DC_ODA_POVDLG,Austria,0.0073
2005,DC_ODA_POVDLG,Austria,0.008
2006,DC_ODA_POVDLG,Austria,0.0078
2007,DC_ODA_POVDLG,Austria,0.009
2008,DC_ODA_POVDLG,Austria,0.0082
2009,DC_ODA_POVDLG,Austria,0.0082
2010,DC_ODA_POVDLG,Austria,0.0071
2011,DC_ODA_POVDLG,Austria,0.0066
2012,DC_ODA_POVDLG,Austria,0.0073
2013,DC_ODA_POVDLG,Austria,0.0062
2014,DC_ODA_POVDLG,Austria,0.0086
2015,DC_ODA_POVDLG,Austria,0.0057
2016,DC_ODA_POVDLG,Austria,0.0053
2017,DC_ODA_POVDLG,Austria,0.0045
2018,DC_ODA_POVDLG,Austria,0.0056
2019,DC_ODA_POVDLG,Austria,0.0046
2020,DC_ODA_POVDLG,Austria,0.0057
2021,DC_ODA_POVDLG,Austria,0.0152
2000,DC_ODA_POVDLG,Belgium,0.0286
2001,DC_ODA_POVDLG,Belgium,0.03259
2002,DC_ODA_POVDLG,Belgium,0.0363
2003,DC_ODA_POVDLG,Belgium,0.0323
2004,DC_ODA_POVDLG,Belgium,0.0299
2005,DC_ODA_POVDLG,Belgium,0.0269
2006,DC_ODA_POVDLG,Belgium,0.0356
2007,DC_ODA_POVDLG,Belgium,0.03
2008,DC_ODA_POVDLG,Belgium,0.0316
2009,DC_ODA_POVDLG,Belgium,0.0303
2010,DC_ODA_POVDLG,Belgium,0.0345
2011,DC_ODA_POVDLG,Belgium,0.0315
2012,DC_ODA_POVDLG,Belgium,0.0274
2013,DC_ODA_POVDLG,Belgium,0.0234
2014,DC_ODA_POVDLG,Belgium,0.0265
2015,DC_ODA_POVDLG,Belgium,0.0215
2016,DC_ODA_POVDLG,Belgium,0.0233
2017,DC_ODA_POVDLG,Belgium,0.0199
2018,DC_ODA_POVDLG,Belgium,0.0187
2019,DC_ODA_POVDLG,Belgium,0.0191
2020,DC_ODA_POVDLG,Belgium,0.019
2021,DC_ODA_POVDLG,Belgium,0.0235
2000,DC_ODA_POVDLG,Canada,0.02368
2001,DC_ODA_POVDLG,Canada,0.02303
2002,DC_ODA_POVDLG,Canada,0.0107
2003,DC_ODA_POVDLG,Canada,0.0157
2004,DC_ODA_POVDLG,Canada,0.0234
2005,DC_ODA_POVDLG,Canada,0.03
2006,DC_ODA_POVDLG,Canada,0.0228
2007,DC_ODA_POVDLG,Canada,0.0346
2008,DC_ODA_POVDLG,Canada,0.0406
2009,DC_ODA_POVDLG,Canada,0.0387
2010,DC_ODA_POVDLG,Canada,0.0364
2011,DC_ODA_POVDLG,Canada,0.041
2012,DC_ODA_POVDLG,Canada,0.0409
2013,DC_ODA_POVDLG,Canada,0.0422
2014,DC_ODA_POVDLG,Canada,0.0317
2015,DC_ODA_POVDLG,Canada,0.0301
2016,DC_ODA_POVDLG,Canada,0.0303
2017,DC_ODA_POVDLG,Canada,0.0277
2018,DC_ODA_POVDLG,Canada,0.0261
2019,DC_ODA_POVDLG,Canada,0.0217
2020,DC_ODA_POVDLG,Canada,0.0275
2021,DC_ODA_POVDLG,Canada,0.0695
2017,DC_ODA_POVDLG,Croatia,0.0127
2018,DC_ODA_POVDLG,Croatia,0.0121
2019,DC_ODA_POVDLG,Croatia,0.0118
2020,DC_ODA_POVDLG,Croatia,0.0149
2021,DC_ODA_POVDLG,Croatia,0.0253
2020,DC_ODA_POVDLG,Cyprus,0.0013
2021,DC_ODA_POVDLG,Cyprus,0.0092
2011,DC_ODA_POVDLG,Czechia,0.0048
2012,DC_ODA_POVDLG,Czechia,0.005
2013,DC_ODA_POVDLG,Czechia,0.0039
2014,DC_ODA_POVDLG,Czechia,0.0032
2015,DC_ODA_POVDLG,Czechia,0.0029
2016,DC_ODA_POVDLG,Czechia,0.0025
2017,DC_ODA_POVDLG,Czechia,0.006
2018,DC_ODA_POVDLG,Czechia,0.0022
2019,DC_ODA_POVDLG,Czechia,0.003
2020,DC_ODA_POVDLG,Czechia,0.0051
2021,DC_ODA_POVDLG,Czechia,0.0091
2000,DC_ODA_POVDLG,Denmark,0.06551
2001,DC_ODA_POVDLG,Denmark,0.02179
2003,DC_ODA_POVDLG,Denmark,0.0347
2004,DC_ODA_POVDLG,Denmark,0.0438
2005,DC_ODA_POVDLG,Denmark,0.05
2006,DC_ODA_POVDLG,Denmark,0.0544
2007,DC_ODA_POVDLG,Denmark,0.0493
2008,DC_ODA_POVDLG,Denmark,0.0466
2009,DC_ODA_POVDLG,Denmark,0.0547
2010,DC_ODA_POVDLG,Denmark,0.0734
2011,DC_ODA_POVDLG,Denmark,0.0634
2012,DC_ODA_POVDLG,Denmark,0.0451
2013,DC_ODA_POVDLG,Denmark,0.0455
2014,DC_ODA_POVDLG,Denmark,0.0642
2015,DC_ODA_POVDLG,Denmark,0.0382
2016,DC_ODA_POVDLG,Denmark,0.0369
2017,DC_ODA_POVDLG,Denmark,0.0288
2018,DC_ODA_POVDLG,Denmark,0.0389
2019,DC_ODA_POVDLG,Denmark,0.0283
2020,DC_ODA_POVDLG,Denmark,0.0304
2021,DC_ODA_POVDLG,Denmark,0.0624
2013,DC_ODA_POVDLG,Estonia,0.0003
2014,DC_ODA_POVDLG,Estonia,0.0007
2015,DC_ODA_POVDLG,Estonia,0.0003
2016,DC_ODA_POVDLG,Estonia,0.0004
2017,DC_ODA_POVDLG,Estonia,0.0002
2018,DC_ODA_POVDLG,Estonia,0.0003
2019,DC_ODA_POVDLG,Estonia,0.0006
2020,DC_ODA_POVDLG,Estonia,0.003
2021,DC_ODA_POVDLG,Estonia,0.0089
2000,DC_ODA_POVDLG,Finland,0.01688
2001,DC_ODA_POVDLG,Finland,0.02165
2002,DC_ODA_POVDLG,Finland,0.022
2003,DC_ODA_POVDLG,Finland,0.0191
2006,DC_ODA_POVDLG,Finland,0.0214
2007,DC_ODA_POVDLG,Finland,0.0202
2008,DC_ODA_POVDLG,Finland,0.0213
2009,DC_ODA_POVDLG,Finland,0.0229
2010,DC_ODA_POVDLG,Finland,0.025
2011,DC_ODA_POVDLG,Finland,0.0224
2012,DC_ODA_POVDLG,Finland,0.0311
2013,DC_ODA_POVDLG,Finland,0.0321
2014,DC_ODA_POVDLG,Finland,0.0374
2015,DC_ODA_POVDLG,Finland,0.0384
2016,DC_ODA_POVDLG,Finland,0.0291
2017,DC_ODA_POVDLG,Finland,0.0217
2018,DC_ODA_POVDLG,Finland,0.0179
2019,DC_ODA_POVDLG,Finland,0.0182
2020,DC_ODA_POVDLG,Finland,0.0216
2021,DC_ODA_POVDLG,Finland,0.0298
2000,DC_ODA_POVDLG,France,0.00613
2001,DC_ODA_POVDLG,France,0.00569
2002,DC_ODA_POVDLG,France,0.0052
2003,DC_ODA_POVDLG,France,0.0068
2004,DC_ODA_POVDLG,France,0.0064
2005,DC_ODA_POVDLG,France,0.0047
2006,DC_ODA_POVDLG,France,0.0091
2007,DC_ODA_POVDLG,France,0.0125
2008,DC_ODA_POVDLG,France,0.0258
2009,DC_ODA_POVDLG,France,0.0261
2010,DC_ODA_POVDLG,France,0.0252
2011,DC_ODA_POVDLG,France,0.0128
2012,DC_ODA_POVDLG,France,0.0135
2013,DC_ODA_POVDLG,France,0.0126
2014,DC_ODA_POVDLG,France,0.0095
2015,DC_ODA_POVDLG,France,0.0089
2016,DC_ODA_POVDLG,France,0.0085
2017,DC_ODA_POVDLG,France,0.0098
2018,DC_ODA_POVDLG,France,0.0116
2019,DC_ODA_POVDLG,France,0.0116
2020,DC_ODA_POVDLG,France,0.0175
2021,DC_ODA_POVDLG,France,0.0285
2000,DC_ODA_POVDLG,Germany,0.01792
2001,DC_ODA_POVDLG,Germany,0.01524
2002,DC_ODA_POVDLG,Germany,0.0128
2003,DC_ODA_POVDLG,Germany,0.016
2004,DC_ODA_POVDLG,Germany,0.0163
2005,DC_ODA_POVDLG,Germany,0.0175
2006,DC_ODA_POVDLG,Germany,0.0165
2007,DC_ODA_POVDLG,Germany,0.0168
2008,DC_ODA_POVDLG,Germany,0.0172
2009,DC_ODA_POVDLG,Germany,0.0199
2010,DC_ODA_POVDLG,Germany,0.0222
2011,DC_ODA_POVDLG,Germany,0.0206
2012,DC_ODA_POVDLG,Germany,0.0222
2013,DC_ODA_POVDLG,Germany,0.0191
2014,DC_ODA_POVDLG,Germany,0.0201
2015,DC_ODA_POVDLG,Germany,0.0221
2016,DC_ODA_POVDLG,Germany,0.0329
2017,DC_ODA_POVDLG,Germany,0.0308
2018,DC_ODA_POVDLG,Germany,0.032
2019,DC_ODA_POVDLG,Germany,0.0386
2020,DC_ODA_POVDLG,Germany,0.0778
2021,DC_ODA_POVDLG,Germany,0.0795
2002,DC_ODA_POVDLG,Greece,0.0018
2003,DC_ODA_POVDLG,Greece,0.0251
2004,DC_ODA_POVDLG,Greece,0.0097
2005,DC_ODA_POVDLG,Greece,0.0123
2006,DC_ODA_POVDLG,Greece,0.0094
2007,DC_ODA_POVDLG,Greece,0.0092
2008,DC_ODA_POVDLG,Greece,0.0027
2009,DC_ODA_POVDLG,Greece,0.0062
2010,DC_ODA_POVDLG,Greece,0.0032
2011,DC_ODA_POVDLG,Greece,0.0
2012,DC_ODA_POVDLG,Greece,0.0
2013,DC_ODA_POVDLG,Greece,0.0
2014,DC_ODA_POVDLG,Greece,0.0
2017,DC_ODA_POVDLG,Greece,0.0006
2018,DC_ODA_POVDLG,Greece,0.0006
