Year,SeriesCode,Страна ,Cities,Value
2010,EN_LND_CNSPOP,Bulgaria,BG_MONTANA,-0.105
2010,EN_LND_CNSPOP,Bulgaria,BG_SOFIJA,1.0694
2010,EN_LND_CNSPOP,Bulgaria,BG_PLEVEN,-0.1166
2010,EN_LND_CNSPOP,Bulgaria,BG_PLOVDIV,-1.5096
2010,EN_LND_CNSPOP,Bulgaria,BG_RUSE,-0.0321
2010,EN_LND_CNSPOP,Bulgaria,BG_DOBRIC,-0.3075
2010,EN_LND_CNSPOP,Bulgaria,BG_BURGAS,-0.3717
2020,EN_LND_CNSPOP,Bulgaria,BG_PLOVDIV,-4.6876
2020,EN_LND_CNSPOP,Bulgaria,BG_SOFIJA,-2.435
2020,EN_LND_CNSPOP,Bulgaria,BG_DOBRIC,-0.191
2020,EN_LND_CNSPOP,Bulgaria,BG_BURGAS,-0.043
2020,EN_LND_CNSPOP,Bulgaria,BG_MONTANA,-0.0811
2020,EN_LND_CNSPOP,Bulgaria,BG_PLEVEN,-0.1032
2020,EN_LND_CNSPOP,Bulgaria,BG_RUSE,-0.0086
2010,EN_LND_CNSPOP,Belarus,BY_MINSK,2.689
2010,EN_LND_CNSPOP,Belarus,BY_BABRUJSK,-0.9834
2010,EN_LND_CNSPOP,Belarus,BY_MAZYR,-1.0004
2010,EN_LND_CNSPOP,Belarus,BY_GOMEL,4.6263
2010,EN_LND_CNSPOP,Belarus,BY_BREST,3.1142
2010,EN_LND_CNSPOP,Belarus,BY_HRODNA,4.4369
2020,EN_LND_CNSPOP,Belarus,BY_GOMEL,0.3958
2020,EN_LND_CNSPOP,Belarus,BY_HRODNA,0.9452
2020,EN_LND_CNSPOP,Belarus,BY_MAZYR,-1.7397
2020,EN_LND_CNSPOP,Belarus,BY_BREST,1.4616
2010,EN_LND_CNSPOP,New Zealand,NZ_DUNEDIN,5.5368
2010,EN_LND_CNSPOP,New Zealand,NZ_AUCKLAND,0.3578
2010,EN_LND_CNSPOP,New Zealand,NZ_WELLINGTON,1.1787
2010,EN_LND_CNSPOP,New Zealand,NZ_NAPIER,1.1259
2010,EN_LND_CNSPOP,Albania,AL_TIRANE,0.9898
2020,EN_LND_CNSPOP,Albania,AL_TIRANE,0.2479
2010,EN_LND_CNSPOP,Azerbaijan,AZ_BAKU,2.7434
2020,EN_LND_CNSPOP,Azerbaijan,AZ_BAKU,1.8107
2010,EN_LND_CNSPOP,Australia,AU_BRISBANE,0.5342
2010,EN_LND_CNSPOP,Australia,AU_CAIRNS,1.6375
2010,EN_LND_CNSPOP,Australia,AU_DARWIN,2.9981
2010,EN_LND_CNSPOP,Australia,AU_GEELONG,1.4382
2010,EN_LND_CNSPOP,Australia,AU_GOLD_COAST,0.1441
2010,EN_LND_CNSPOP,Australia,AU_NEWCASTLE,0.3839
2010,EN_LND_CNSPOP,Australia,AU_CESSNOCK,2.2631
2010,EN_LND_CNSPOP,Australia,AU_LAUNCESTON,0.609
2010,EN_LND_CNSPOP,Australia,AU_ADELAIDE,0.4755
2010,EN_LND_CNSPOP,Australia,AU_WOLLONGONG,1.7922
2010,EN_LND_CNSPOP,Australia,AU_CENTRAL_COAST,0.7313
2010,EN_LND_CNSPOP,Australia,AU_CANBERRA,0.6303
2010,EN_LND_CNSPOP,Australia,AU_PERTH,0.2807
2010,EN_LND_CNSPOP,Australia,AU_SHEPPARTON,1.8596
2010,EN_LND_CNSPOP,Australia,AU_SUNSHINE_COAST,0.5689
2020,EN_LND_CNSPOP,Australia,AU_SUNSHINE_COAST,0.4415
2020,EN_LND_CNSPOP,Belarus,BY_BABRUJSK,-1.46
2020,EN_LND_CNSPOP,Belarus,BY_MINSK,1.3162
2001,EN_LND_CNSPOP,Canada,CA_HALIFAX_NS,4.3107
2001,EN_LND_CNSPOP,Canada,CA_EDMONTON_ALTA,1.3942
2001,EN_LND_CNSPOP,Canada,CA_CALGARY_ALTA,0.4511
2010,EN_LND_CNSPOP,New Zealand,NZ_HAMILTON,0.936
2020,EN_LND_CNSPOP,New Zealand,NZ_WELLINGTON,0.4203
2020,EN_LND_CNSPOP,New Zealand,NZ_DUNEDIN,1.621
2020,EN_LND_CNSPOP,New Zealand,NZ_AUCKLAND,0.0455
2001,EN_LND_CNSPOP,Canada,CA_OSHAWA_ONT,1.1696
2001,EN_LND_CNSPOP,Canada,CA_QUEBEC_QUE,2.7229
2001,EN_LND_CNSPOP,Canada,CA_PETERBOROUGH_ONT,5.0811
2001,EN_LND_CNSPOP,Canada,CA_HAMILTON_ONT,2.1362
2001,EN_LND_CNSPOP,Canada,CA_BRANTFORD_ONT,4.596
2001,EN_LND_CNSPOP,Canada,CA_OTTAWA_ONT,0.5439
2010,EN_LND_CNSPOP,Узбекистан,UZ_BESHARYK,2.311
2010,EN_LND_CNSPOP,Узбекистан,UZ_BUXORO,1.1477
2010,EN_LND_CNSPOP,Узбекистан,UZ_NAVOIY,3.92
2010,EN_LND_CNSPOP,Узбекистан,UZ_NUKUS,1.1122
2001,EN_LND_CNSPOP,Canada,CA_GREATER_SUDBURY_ONT,-4.3458
2001,EN_LND_CNSPOP,Canada,CA_GUELPH_ONT,1.3393
2001,EN_LND_CNSPOP,Canada,CA_BARRIE_ONT,0.6931
2001,EN_LND_CNSPOP,Canada,CA_MONTREAL_QUE,1.57
2001,EN_LND_CNSPOP,Canada,CA_MONCTON_NB,2.9307
2001,EN_LND_CNSPOP,Canada,NOCITI,1.2826
2001,EN_LND_CNSPOP,Canada,CA_REGINA_SASK,7.2811
2001,EN_LND_CNSPOP,Canada,CA_THUNDER_BAY_ONT,-10.2122
2001,EN_LND_CNSPOP,Canada,CA_VICTORIA_BC,3.2081
2001,EN_LND_CNSPOP,Canada,CA_SASKATOON_SASK,0.6371
2001,EN_LND_CNSPOP,Canada,CA_WINNIPEG_MAN,1.8894
2001,EN_LND_CNSPOP,Canada,CA_TROIS_RIVIERES_QUE,-17.7115
2010,EN_LND_CNSPOP,Узбекистан,UZ_NAMANGAN,1.8017
2010,EN_LND_CNSPOP,Узбекистан,UZ_ANDIJAN,3.8393
2010,EN_LND_CNSPOP,Узбекистан,UZ_TORTKOL,-5.5612
2010,EN_LND_CNSPOP,Узбекистан,UZ_TOSHKENT,1.5483
2001,EN_LND_CNSPOP,Canada,CA_TORONTO_ONT,1.0728
2001,EN_LND_CNSPOP,Canada,CA_VANCOUVER_BC,0.8212
2001,EN_LND_CNSPOP,Canada,CA_WINDSOR_ONT,1.2385
2001,EN_LND_CNSPOP,Canada,CA_LONDON_ONT,2.2468
2001,EN_LND_CNSPOP,Canada,CA_KITCHENER_ONT,1.3283
2001,EN_LND_CNSPOP,Canada,CA_KELOWNA_BC,0.5903
2010,EN_LND_CNSPOP,Узбекистан,UZ_DENAU,2.6357
2010,EN_LND_CNSPOP,Узбекистан,UZ_QOQON,0.6862
2010,EN_LND_CNSPOP,Узбекистан,UZ_TERMIZ,1.6669
2020,EN_LND_CNSPOP,Узбекистан,UZ_NAVOIY,8.1184
2020,EN_LND_CNSPOP,New Zealand,NZ_NAPIER,0.8659
2020,EN_LND_CNSPOP,New Zealand,NZ_HAMILTON,0.5174
2020,EN_LND_CNSPOP,New Zealand,NZ_PALMERSTON,0.327
