Year,SeriesCode,Страна ,Value
2005,VC_DSR_CDYN,Romania,708
2006,VC_DSR_CDYN,Romania,152
2007,VC_DSR_CDYN,Romania,164
2008,VC_DSR_CDYN,Romania,44908
2009,VC_DSR_CDYN,Romania,915
2010,VC_DSR_CDYN,Romania,891
2011,VC_DSR_CDYN,Romania,393
2012,VC_DSR_CDYN,Romania,356
2013,VC_DSR_CDYN,Romania,356
2014,VC_DSR_CDYN,Romania,225
2015,VC_DSR_CDYN,Romania,402
2016,VC_DSR_CDYN,Romania,631
2017,VC_DSR_CDYN,Romania,196
2019,VC_DSR_CDYN,Romania,1631
2020,VC_DSR_CDYN,Romania,1227
2021,VC_DSR_CDYN,Romania,13
2019,VC_DSR_CDYN,Slovenia,1528
2015,VC_DSR_CDYN,Sweden,0
2018,VC_DSR_CDYN,Albania,2
2015,VC_DSR_CDYN,Australia,2923
2016,VC_DSR_CDYN,Australia,3871
2017,VC_DSR_CDYN,Australia,443
2018,VC_DSR_CDYN,Australia,636
2017,VC_DSR_CDYN,Armenia,915
2016,VC_DSR_CDYN,Sweden,0
2017,VC_DSR_CDYN,Sweden,0
2018,VC_DSR_CDYN,Sweden,0
2019,VC_DSR_CDYN,Sweden,0
2020,VC_DSR_CDYN,Sweden,0
2005,VC_DSR_CDYN,Switzerland,1596
2019,VC_DSR_CDYN,Armenia,1
2005,VC_DSR_CDYN,Bulgaria,859
2006,VC_DSR_CDYN,Bulgaria,31
2007,VC_DSR_CDYN,Bulgaria,17
2008,VC_DSR_CDYN,Bulgaria,9
2010,VC_DSR_CDYN,Bulgaria,42
2006,VC_DSR_CDYN,Switzerland,1229
2007,VC_DSR_CDYN,Switzerland,1281
2008,VC_DSR_CDYN,Switzerland,1200
2009,VC_DSR_CDYN,Switzerland,1522
2010,VC_DSR_CDYN,Switzerland,812
2011,VC_DSR_CDYN,Switzerland,1034
2011,VC_DSR_CDYN,Bulgaria,213
2012,VC_DSR_CDYN,Bulgaria,37
2013,VC_DSR_CDYN,Bulgaria,3
2014,VC_DSR_CDYN,Bulgaria,120
2016,VC_DSR_CDYN,Bulgaria,17
2017,VC_DSR_CDYN,Bulgaria,43
2019,VC_DSR_CDYN,Bulgaria,57
2020,VC_DSR_CDYN,Bulgaria,18
2021,VC_DSR_CDYN,Bulgaria,155
2016,VC_DSR_CDYN,Belarus,0
2017,VC_DSR_CDYN,Belarus,0
2018,VC_DSR_CDYN,Belarus,0
2019,VC_DSR_CDYN,Belarus,0
2009,VC_DSR_CDYN,Chile,0
2013,VC_DSR_CDYN,Chile,0
2019,VC_DSR_CDYN,Chile,0
2005,VC_DSR_CDYN,Colombia,0
2009,VC_DSR_CDYN,Colombia,0
2016,VC_DSR_CDYN,Colombia,0
2020,VC_DSR_CDYN,Colombia,1480
2021,VC_DSR_CDYN,Colombia,2700
2011,VC_DSR_CDYN,Costa Rica,0
