Year,SeriesCode,Страна ,Type of waste treatment,Value
2010,EN_HAZ_TREATV,Albania,RECYCL,98366.0
2010,EN_HAZ_TREATV,Albania,INCINRT_EGY,264.0
2012,EN_HAZ_TREATV,Albania,RECYCL,42127.0
2012,EN_HAZ_TREATV,Albania,INCINRT_EGY,139.0
2013,EN_HAZ_TREATV,Albania,RECYCL,0.0
2014,EN_HAZ_TREATV,Albania,RECYCL,56251.0
2014,EN_HAZ_TREATV,Albania,LANDFIL,0.0
2014,EN_HAZ_TREATV,Albania,OTHERWM,0.0
2014,EN_HAZ_TREATV,Albania,INCINRT_EGY,2286.0
2014,EN_HAZ_TREATV,Albania,INCINRT,0.0
2015,EN_HAZ_TREATV,Albania,RECYCL,0.0
2016,EN_HAZ_TREATV,Albania,RECYCL,57403.0
2016,EN_HAZ_TREATV,Albania,INCINRT_EGY,4554.0
2018,EN_HAZ_TREATV,Albania,RECYCL,55921.0
2018,EN_HAZ_TREATV,Albania,INCINRT_EGY,11474.0
2020,EN_HAZ_TREATV,Albania,INCINRT_EGY,5604.0
2020,EN_HAZ_TREATV,Albania,RECYCL,78209.0
2000,EN_HAZ_TREATV,Azerbaijan,RECYCL,11435.0
2000,EN_HAZ_TREATV,Azerbaijan,LANDFIL,15348.0
2001,EN_HAZ_TREATV,Azerbaijan,LANDFIL,4532.0
2001,EN_HAZ_TREATV,Azerbaijan,RECYCL,395.0
2002,EN_HAZ_TREATV,Azerbaijan,RECYCL,728.0
2002,EN_HAZ_TREATV,Azerbaijan,LANDFIL,1607.0
2002,EN_HAZ_TREATV,Azerbaijan,INCINRT,1007.0
2003,EN_HAZ_TREATV,Azerbaijan,INCINRT,9747.0
2003,EN_HAZ_TREATV,Azerbaijan,RECYCL,1359.0
2003,EN_HAZ_TREATV,Azerbaijan,LANDFIL,386.0
2004,EN_HAZ_TREATV,Azerbaijan,INCINRT,969.0
2004,EN_HAZ_TREATV,Azerbaijan,LANDFIL,100360.0
2004,EN_HAZ_TREATV,Azerbaijan,RECYCL,3836.0
2005,EN_HAZ_TREATV,Azerbaijan,INCINRT,38.0
2005,EN_HAZ_TREATV,Azerbaijan,LANDFIL,622.0
2005,EN_HAZ_TREATV,Azerbaijan,RECYCL,4911.0
2006,EN_HAZ_TREATV,Azerbaijan,INCINRT,25999.0
2006,EN_HAZ_TREATV,Azerbaijan,RECYCL,3263.0
2006,EN_HAZ_TREATV,Azerbaijan,LANDFIL,1406220.0
2007,EN_HAZ_TREATV,Azerbaijan,RECYCL,4926.0
2007,EN_HAZ_TREATV,Azerbaijan,LANDFIL,1510.0
2007,EN_HAZ_TREATV,Azerbaijan,INCINRT,1241.0
2008,EN_HAZ_TREATV,Azerbaijan,LANDFIL,55840.0
2008,EN_HAZ_TREATV,Azerbaijan,RECYCL,4741.0
2008,EN_HAZ_TREATV,Azerbaijan,INCINRT,8599.0
2009,EN_HAZ_TREATV,Azerbaijan,RECYCL,18739.0996
2009,EN_HAZ_TREATV,Azerbaijan,INCINRT,10401.2002
2009,EN_HAZ_TREATV,Azerbaijan,LANDFIL,144517.7969
2010,EN_HAZ_TREATV,Azerbaijan,RECYCL,5548.2002
2010,EN_HAZ_TREATV,Azerbaijan,LANDFIL,87314.6016
2010,EN_HAZ_TREATV,Azerbaijan,INCINRT,58429.1016
2011,EN_HAZ_TREATV,Azerbaijan,RECYCL,3619.1001
2011,EN_HAZ_TREATV,Azerbaijan,LANDFIL,97530.2969
2011,EN_HAZ_TREATV,Azerbaijan,INCINRT,37132.1016
2012,EN_HAZ_TREATV,Azerbaijan,RECYCL,6316.6001
2012,EN_HAZ_TREATV,Azerbaijan,LANDFIL,84996.2031
2012,EN_HAZ_TREATV,Azerbaijan,INCINRT,113898.3984
2013,EN_HAZ_TREATV,Azerbaijan,RECYCL,618.4
2013,EN_HAZ_TREATV,Azerbaijan,INCINRT,86426.5
2013,EN_HAZ_TREATV,Azerbaijan,LANDFIL,65401.1016
2014,EN_HAZ_TREATV,Azerbaijan,RECYCL,3163.3999
2014,EN_HAZ_TREATV,Azerbaijan,INCINRT,111309.5
2014,EN_HAZ_TREATV,Azerbaijan,LANDFIL,414633.5938
2015,EN_HAZ_TREATV,Azerbaijan,LANDFIL,166965.0938
2015,EN_HAZ_TREATV,Azerbaijan,RECYCL,5174.8999
2015,EN_HAZ_TREATV,Azerbaijan,INCINRT,210858.0
2016,EN_HAZ_TREATV,Azerbaijan,RECYCL,47845.0
2016,EN_HAZ_TREATV,Azerbaijan,INCINRT,25923.0
2016,EN_HAZ_TREATV,Azerbaijan,LANDFIL,634000.0
2017,EN_HAZ_TREATV,Azerbaijan,LANDFIL,175613.0
2017,EN_HAZ_TREATV,Azerbaijan,INCINRT,35772.0
2017,EN_HAZ_TREATV,Azerbaijan,RECYCL,5452.0
2010,EN_HAZ_TREATV,Norway,INCINRT,25551.0
2012,EN_HAZ_TREATV,Norway,INCINRT_EGY,111958.0
2012,EN_HAZ_TREATV,Norway,RECYCL,513591.0
2012,EN_HAZ_TREATV,Norway,LANDFIL,463658.0
2012,EN_HAZ_TREATV,Norway,INCINRT,84606.0
2012,EN_HAZ_TREATV,Norway,OTHERWM,0.0
2014,EN_HAZ_TREATV,Norway,RECYCL,674066.0
2014,EN_HAZ_TREATV,Norway,LANDFIL,736656.0
2014,EN_HAZ_TREATV,Norway,INCINRT_EGY,102777.0
2014,EN_HAZ_TREATV,Norway,OTHERWM,427.0
2014,EN_HAZ_TREATV,Norway,INCINRT,48298.0
2016,EN_HAZ_TREATV,Norway,LANDFIL,706945.0
2016,EN_HAZ_TREATV,Norway,INCINRT,56637.0
2018,EN_HAZ_TREATV,Azerbaijan,LANDFIL,213653.0
2018,EN_HAZ_TREATV,Azerbaijan,INCINRT,64222.0
2018,EN_HAZ_TREATV,Azerbaijan,RECYCL,5725.0
2019,EN_HAZ_TREATV,Azerbaijan,LANDFIL,174795.0
