Year,SeriesCode,Страна ,Level/Status,Value
2021,EN_SCP_ECSYBA,Bulgaria,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,China,LI_IMP_ADMNG,1
2020,EN_SCP_ECSYBA,Colombia,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,Denmark,LI_IMP_ADMNG,1
2017,EN_SCP_ECSYBA,Estonia,LI_PLDV,1
2020,EN_SCP_ECSYBA,Finland,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,Georgia,LI_PLA_DSG,1
2021,EN_SCP_ECSYBA,Germany,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,Republic of Korea,LI_IMP_ADMNG,1
2019,EN_SCP_ECSYBA,Latvia,LI_PLA_DSG,1
2021,EN_SCP_ECSYBA,Lithuania,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,Poland,LI_PLA_DSG,1
2021,EN_SCP_ECSYBA,Romania,LI_PLA_DSG,1
2021,EN_SCP_ECSYBA,Viet Nam,LI_IMP_ADMNG,1
2021,EN_SCP_ECSYBA,Sweden,LI_PLA_DSG,1
2021,EN_SCP_ECSYBA,Sweden,LI_PLA_DSG,1
