Year,SeriesCode,Страна ,Sex,Value
2010,VC_VOV_SEXL,Australia,FEMALE,0.4
2010,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2010,VC_VOV_SEXL,Australia,MALE,0.1
2011,VC_VOV_SEXL,Australia,FEMALE,0.6
2011,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2011,VC_VOV_SEXL,Australia,MALE,0.1
2012,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2012,VC_VOV_SEXL,Australia,FEMALE,0.5
2012,VC_VOV_SEXL,Australia,MALE,0.1
2013,VC_VOV_SEXL,Australia,FEMALE,0.3
2013,VC_VOV_SEXL,Australia,MALE,0.2
2013,VC_VOV_SEXL,Australia,BOTHSEX,0.2
2014,VC_VOV_SEXL,Australia,MALE,0.1
2014,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2014,VC_VOV_SEXL,Australia,FEMALE,0.5
2015,VC_VOV_SEXL,Australia,FEMALE,0.6
2015,VC_VOV_SEXL,Australia,MALE,0.1
2015,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2016,VC_VOV_SEXL,Australia,MALE,0.2
2016,VC_VOV_SEXL,Australia,FEMALE,0.7
2016,VC_VOV_SEXL,Australia,BOTHSEX,0.4
2017,VC_VOV_SEXL,Australia,MALE,0.1
2017,VC_VOV_SEXL,Australia,BOTHSEX,0.4
2017,VC_VOV_SEXL,Australia,FEMALE,0.7
2018,VC_VOV_SEXL,Australia,FEMALE,0.5
2018,VC_VOV_SEXL,Australia,MALE,0.1
2018,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2019,VC_VOV_SEXL,Australia,FEMALE,0.7
2019,VC_VOV_SEXL,Australia,BOTHSEX,0.4
2019,VC_VOV_SEXL,Australia,MALE,0.2
2020,VC_VOV_SEXL,Australia,MALE,0.1
2020,VC_VOV_SEXL,Australia,BOTHSEX,0.3
2020,VC_VOV_SEXL,Australia,FEMALE,0.5
2021,VC_VOV_SEXL,Australia,MALE,0.1
2021,VC_VOV_SEXL,Australia,BOTHSEX,0.5
2021,VC_VOV_SEXL,Australia,FEMALE,0.9
2014,VC_VOV_SEXL,Canada,BOTHSEX,2.2
2014,VC_VOV_SEXL,Canada,MALE,0.5
2014,VC_VOV_SEXL,Canada,FEMALE,3.7
2013,VC_VOV_SEXL,Finland,FEMALE,2.3
2013,VC_VOV_SEXL,Finland,BOTHSEX,1.3
2013,VC_VOV_SEXL,Finland,MALE,0.4
2014,VC_VOV_SEXL,Finland,FEMALE,1.6
2014,VC_VOV_SEXL,Finland,BOTHSEX,1.0
2014,VC_VOV_SEXL,Finland,MALE,0.4
2015,VC_VOV_SEXL,Finland,MALE,0.3
2015,VC_VOV_SEXL,Finland,FEMALE,2.0
2015,VC_VOV_SEXL,Finland,BOTHSEX,1.1
2016,VC_VOV_SEXL,Finland,FEMALE,2.2
2016,VC_VOV_SEXL,Finland,BOTHSEX,1.5
2016,VC_VOV_SEXL,Finland,MALE,0.7
2017,VC_VOV_SEXL,Finland,FEMALE,2.2
2017,VC_VOV_SEXL,Finland,BOTHSEX,1.3
2017,VC_VOV_SEXL,Finland,MALE,0.5
2018,VC_VOV_SEXL,Finland,BOTHSEX,1.5
2018,VC_VOV_SEXL,Finland,MALE,0.6
2018,VC_VOV_SEXL,Finland,FEMALE,2.5
2019,VC_VOV_SEXL,Finland,BOTHSEX,1.5
2019,VC_VOV_SEXL,Finland,FEMALE,2.8
2019,VC_VOV_SEXL,Finland,MALE,0.3
2020,VC_VOV_SEXL,Finland,BOTHSEX,1.6
2020,VC_VOV_SEXL,Finland,MALE,0.5
2020,VC_VOV_SEXL,Finland,FEMALE,2.8
2021,VC_VOV_SEXL,Finland,BOTHSEX,2.1
2021,VC_VOV_SEXL,Finland,MALE,1.0
2021,VC_VOV_SEXL,Finland,FEMALE,3.2
2020,VC_VOV_SEXL,Germany,BOTHSEX,2.1
2020,VC_VOV_SEXL,Germany,FEMALE,3.6
2020,VC_VOV_SEXL,Germany,MALE,0.3
2018,VC_VOV_SEXL,Israel,FEMALE,0.53
2018,VC_VOV_SEXL,Israel,BOTHSEX,0.34
2021,VC_VOV_SEXL,Israel,FEMALE,0.58
2021,VC_VOV_SEXL,Israel,BOTHSEX,0.35
2014,VC_VOV_SEXL,Republic of Korea,MALE,0.0
2014,VC_VOV_SEXL,Republic of Korea,FEMALE,0.2
2014,VC_VOV_SEXL,Republic of Korea,BOTHSEX,0.1
2016,VC_VOV_SEXL,Republic of Korea,BOTHSEX,0.1
2016,VC_VOV_SEXL,Republic of Korea,MALE,0.0
2016,VC_VOV_SEXL,Republic of Korea,FEMALE,0.1
2018,VC_VOV_SEXL,Republic of Korea,BOTHSEX,0.15
2020,VC_VOV_SEXL,Republic of Korea,BOTHSEX,0.37
2020,VC_VOV_SEXL,Luxembourg,BOTHSEX,2.3
2020,VC_VOV_SEXL,Luxembourg,FEMALE,3.8
2020,VC_VOV_SEXL,Luxembourg,MALE,0.87
2015,VC_VOV_SEXL,Mexico,MALE,0.16
2015,VC_VOV_SEXL,Mexico,BOTHSEX,0.56
2015,VC_VOV_SEXL,Mexico,FEMALE,0.92
2016,VC_VOV_SEXL,Mexico,MALE,0.17
2016,VC_VOV_SEXL,Mexico,FEMALE,1.17
2016,VC_VOV_SEXL,Mexico,BOTHSEX,0.7
2017,VC_VOV_SEXL,Mexico,FEMALE,1.59
2017,VC_VOV_SEXL,Mexico,BOTHSEX,0.91
2017,VC_VOV_SEXL,Mexico,MALE,0.15
2018,VC_VOV_SEXL,Mexico,BOTHSEX,0.9
2018,VC_VOV_SEXL,Mexico,MALE,0.19
2018,VC_VOV_SEXL,Mexico,FEMALE,1.53
2019,VC_VOV_SEXL,Mexico,FEMALE,2.36
2019,VC_VOV_SEXL,Mexico,MALE,0.32
2019,VC_VOV_SEXL,Mexico,BOTHSEX,1.41
2020,VC_VOV_SEXL,Mexico,FEMALE,2.09
2020,VC_VOV_SEXL,Mexico,BOTHSEX,1.19
2020,VC_VOV_SEXL,Mexico,MALE,0.16
2021,VC_VOV_SEXL,Mexico,BOTHSEX,1.45
2021,VC_VOV_SEXL,Mexico,FEMALE,2.43
2021,VC_VOV_SEXL,Mexico,MALE,0.29
2020,VC_VOV_SEXL,Slovenia,BOTHSEX,0.43
2020,VC_VOV_SEXL,Slovenia,MALE,0.21
2020,VC_VOV_SEXL,Slovenia,FEMALE,0.66
2020,VC_VOV_SEXL,Slovenia,FEMALE,0.66
