Year,SeriesCode,Страна ,Age,Sex,Value
2018,VC_HTF_DETV,Belgium,ALLAGE,MALE,44
2019,VC_HTF_DETV,Belgium,ALLAGE,BOTHSEX,144
2019,VC_HTF_DETV,Belgium,ALLAGE,MALE,75
2019,VC_HTF_DETV,Belgium,ALLAGE,FEMALE,69
2019,VC_HTF_DETV,Belgium,18+,MALE,68
2019,VC_HTF_DETV,Belgium,<18Y,MALE,7
2019,VC_HTF_DETV,Belgium,18+,BOTHSEX,133
2019,VC_HTF_DETV,Belgium,<18Y,BOTHSEX,11
2019,VC_HTF_DETV,Belgium,18+,FEMALE,65
2020,VC_HTF_DETV,Belgium,ALLAGE,BOTHSEX,88
2020,VC_HTF_DETV,Belgium,18+,FEMALE,38
2020,VC_HTF_DETV,Belgium,18+,BOTHSEX,84
2020,VC_HTF_DETV,Belgium,ALLAGE,FEMALE,38
2020,VC_HTF_DETV,Belgium,ALLAGE,MALE,50
2008,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,108
2008,VC_HTF_DETV,Albania,<18Y,BOTHSEX,16
2008,VC_HTF_DETV,Albania,18+,BOTHSEX,92
2009,VC_HTF_DETV,Albania,18+,BOTHSEX,72
2009,VC_HTF_DETV,Albania,<18Y,MALE,17
2009,VC_HTF_DETV,Albania,<18Y,FEMALE,5
2009,VC_HTF_DETV,Albania,<18Y,BOTHSEX,22
2009,VC_HTF_DETV,Albania,ALLAGE,FEMALE,5
2009,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,94
2009,VC_HTF_DETV,Albania,ALLAGE,MALE,17
2010,VC_HTF_DETV,Albania,<18Y,BOTHSEX,14
2010,VC_HTF_DETV,Albania,18+,BOTHSEX,83
2010,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,97
2011,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,84
2011,VC_HTF_DETV,Albania,<18Y,BOTHSEX,39
2011,VC_HTF_DETV,Albania,18+,BOTHSEX,45
2012,VC_HTF_DETV,Albania,18+,BOTHSEX,66
2012,VC_HTF_DETV,Albania,<18Y,BOTHSEX,26
2012,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,92
2013,VC_HTF_DETV,Albania,<18Y,BOTHSEX,43
2020,VC_HTF_DETV,Belgium,18+,MALE,46
2007,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,41
2007,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,18
2007,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,23
2008,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,28
2008,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,5
2008,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,33
2009,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,41
2013,VC_HTF_DETV,Albania,18+,BOTHSEX,52
2013,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,95
2014,VC_HTF_DETV,Albania,<18Y,BOTHSEX,62
2014,VC_HTF_DETV,Albania,18+,BOTHSEX,63
2014,VC_HTF_DETV,Albania,18+,MALE,63
2014,VC_HTF_DETV,Albania,ALLAGE,FEMALE,17
2014,VC_HTF_DETV,Albania,<18Y,FEMALE,17
2014,VC_HTF_DETV,Albania,ALLAGE,MALE,108
2009,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,42
2009,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,23
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,64
