Year,SeriesCode,Страна ,Age,Disability status,Location,Population Group,Quantile,Sex,Value
2022,SP_PSR_OSATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,89
2022,SP_PSR_OSATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,89
2022,SP_PSR_OSATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,91
2022,SP_PSR_OSATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,88
2022,SP_PSR_OSATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,89
2022,SP_PSR_OSATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,80
2022,SP_PSR_OSATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,81
2022,SP_PSR_OSATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,,MALE,79
2022,SP_PSR_OSATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,68
2022,SP_PSR_OSATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,68
