Year,SeriesCode,Страна ,Value
2000,GR_G14_XDC,Hungary,5858125.0
2001,GR_G14_XDC,Hungary,6605153.0
2002,GR_G14_XDC,Hungary,7290510.0
2003,GR_G14_XDC,Hungary,7941122.0
2004,GR_G14_XDC,Hungary,8809348.0
2005,GR_G14_XDC,Hungary,9295944.0
2006,GR_G14_XDC,Hungary,10163253.0
2007,GR_G14_XDC,Hungary,11426366.0
2008,GR_G14_XDC,Hungary,12153806.0
2009,GR_G14_XDC,Hungary,12044015.0
2010,GR_G14_XDC,Hungary,12092476.0
2011,GR_G14_XDC,Hungary,12397165.0
2012,GR_G14_XDC,Hungary,13458233.0
2013,GR_G14_XDC,Hungary,14272961.0
2014,GR_G14_XDC,Hungary,15370315.436
2015,GR_G14_XDC,Hungary,16735304.707
2016,GR_G14_XDC,Hungary,16154156.376
2017,GR_G14_XDC,Hungary,17213040.477
2018,GR_G14_XDC,Hungary,18906373.707
2019,GR_G14_XDC,Hungary,20747879.325
2020,GR_G14_XDC,Hungary,20850516.056
2021,GR_G14_XDC,Hungary,22434196.0
2000,GR_G14_XDC,Iceland,300068.5
2001,GR_G14_XDC,Iceland,323504.331990497
2002,GR_G14_XDC,Iceland,340491.832423226
2003,GR_G14_XDC,Iceland,360027.806848339
2004,GR_G14_XDC,Iceland,409478.109543239
2005,GR_G14_XDC,Iceland,530768.438138833
2006,GR_G14_XDC,Iceland,628646.301533962
2007,GR_G14_XDC,Iceland,698803.217999532
2008,GR_G14_XDC,Iceland,815604.651481577
2009,GR_G14_XDC,Iceland,733326.821100765
2010,GR_G14_XDC,Iceland,710044.419785265
2011,GR_G14_XDC,Iceland,778808.490518463
2012,GR_G14_XDC,Iceland,834496.727503054
2013,GR_G14_XDC,Iceland,883269.105982399
2014,GR_G14_XDC,Iceland,964563.932649246
2015,GR_G14_XDC,Iceland,997700.935511458
2016,GR_G14_XDC,Iceland,1483976.51963855
2017,GR_G14_XDC,Iceland,1200738.10121227
2018,GR_G14_XDC,Iceland,1275333.14184198
2019,GR_G14_XDC,Iceland,1276236.19391521
2020,GR_G14_XDC,Iceland,1231476.29623546
2021,GR_G14_XDC,Iceland,1342533.95649974
2000,GR_G14_XDC,India,2512540.0
2001,GR_G14_XDC,India,2573560.0
2002,GR_G14_XDC,India,2908650.0
2003,GR_G14_XDC,India,3331610.0
2004,GR_G14_XDC,India,3875640.0
2005,GR_G14_XDC,India,4510490.0
2006,GR_G14_XDC,India,5691100.0
2007,GR_G14_XDC,India,7100690.0
2008,GR_G14_XDC,India,7063850.0
2009,GR_G14_XDC,India,7302030.0
2010,GR_G14_XDC,India,10091700.0
2011,GR_G14_XDC,India,10072900.0
2012,GR_G14_XDC,India,12558200.0
2013,GR_G14_XDC,India,14178900.0
2014,GR_G14_XDC,India,14417266.8
2015,GR_G14_XDC,India,17116880.0
2016,GR_G14_XDC,India,19792850.0
2017,GR_G14_XDC,India,21786900.0
2018,GR_G14_XDC,India,24952560.0
2000,GR_G14_XDC,Ireland,38432.425
2001,GR_G14_XDC,Ireland,40450.975
2002,GR_G14_XDC,Ireland,44009.514
2003,GR_G14_XDC,Ireland,48055.998
2004,GR_G14_XDC,Ireland,53315.62
2005,GR_G14_XDC,Ireland,58912.818
2006,GR_G14_XDC,Ireland,67194.859
2007,GR_G14_XDC,Ireland,70764.065
2008,GR_G14_XDC,Ireland,64662.705
2009,GR_G14_XDC,Ireland,55943.377
2010,GR_G14_XDC,Ireland,54863.747
2011,GR_G14_XDC,Ireland,57793.252
2012,GR_G14_XDC,Ireland,59802.83
2013,GR_G14_XDC,Ireland,61394.238
2014,GR_G14_XDC,Ireland,66267.665
2015,GR_G14_XDC,Ireland,71059.15
2016,GR_G14_XDC,Ireland,73822.218
2017,GR_G14_XDC,Ireland,77034.157
2018,GR_G14_XDC,Ireland,83238.346
2019,GR_G14_XDC,Ireland,88204.639
2020,GR_G14_XDC,Ireland,83190.02
2021,GR_G14_XDC,Ireland,98734.874
2000,GR_G14_XDC,Israel,236341.373260908
2001,GR_G14_XDC,Israel,239542.587449606
2002,GR_G14_XDC,Israel,247664.386720195
2003,GR_G14_XDC,Israel,241376.278734278
2004,GR_G14_XDC,Israel,248261.18534441
2002,GR_G14_XDC,Albania,150520.006165
2003,GR_G14_XDC,Albania,166940.624
2004,GR_G14_XDC,Albania,183492.45075
2005,GR_G14_XDC,Albania,203445.447730339
2006,GR_G14_XDC,Albania,228972.036821088
2007,GR_G14_XDC,Albania,251316.92380685
2008,GR_G14_XDC,Albania,291190.618604419
2009,GR_G14_XDC,Albania,298938.0
2010,GR_G14_XDC,Albania,324721.0
2011,GR_G14_XDC,Albania,327736.4878
2012,GR_G14_XDC,Albania,325336.983
2013,GR_G14_XDC,Albania,318981.93
2014,GR_G14_XDC,Albania,366612.2378
2015,GR_G14_XDC,Albania,379381.03
2016,GR_G14_XDC,Albania,389534.161
2005,GR_G14_XDC,Israel,261841.797783109
2006,GR_G14_XDC,Israel,287676.837437883
2007,GR_G14_XDC,Israel,301298.776091799
2008,GR_G14_XDC,Israel,298946.305661797
2009,GR_G14_XDC,Israel,291867.50876896
2010,GR_G14_XDC,Israel,321910.621754113
2011,GR_G14_XDC,Israel,343747.22966669
2012,GR_G14_XDC,Israel,356244.101131259
2013,GR_G14_XDC,Israel,383575.903045861
2014,GR_G14_XDC,Israel,404923.801279752
2015,GR_G14_XDC,Israel,428087.169370761
2016,GR_G14_XDC,Israel,445640.271556638
2017,GR_G14_XDC,Israel,478770.16423298
2018,GR_G14_XDC,Israel,479950.145639229
2019,GR_G14_XDC,Israel,496369.443490363
2020,GR_G14_XDC,Israel,483384.228083287
2021,GR_G14_XDC,Israel,577097.268068098
2000,GR_G14_XDC,Italy,540685.0
2001,GR_G14_XDC,Italy,567701.0
2002,GR_G14_XDC,Italy,583482.0
2003,GR_G14_XDC,Italy,604576.0
2004,GR_G14_XDC,Italy,621751.0
2005,GR_G14_XDC,Italy,635326.0
2006,GR_G14_XDC,Italy,676111.0
2007,GR_G14_XDC,Italy,723683.0
2008,GR_G14_XDC,Italy,731074.0
2009,GR_G14_XDC,Italy,715078.0
2010,GR_G14_XDC,Italy,725883.0
