Year,SeriesCode,Страна ,Type of product,Value
2005,TM_TAX_WMPS,Albania,CLO,0.86978
2005,TM_TAX_WMPS,Albania,ARM,2.38047
2005,TM_TAX_WMPS,Albania,ALP,1.09684
2005,TM_TAX_WMPS,Albania,IND,0.59054
2005,TM_TAX_WMPS,Albania,AGR,3.26277
2005,TM_TAX_WMPS,Albania,TEX,1.34645
2010,TM_TAX_WMPS,Albania,AGR,3.10391
2010,TM_TAX_WMPS,Albania,CLO,2.54855
2010,TM_TAX_WMPS,Albania,ALP,1.30563
2010,TM_TAX_WMPS,Albania,IND,0.77966
2010,TM_TAX_WMPS,Albania,ARM,0.96774
2010,TM_TAX_WMPS,Albania,OIL,10.0
2010,TM_TAX_WMPS,Albania,TEX,1.31597
2015,TM_TAX_WMPS,Albania,IND,0.672
2015,TM_TAX_WMPS,Albania,CLO,0.0
2015,TM_TAX_WMPS,Albania,AGR,2.98534
2015,TM_TAX_WMPS,Albania,ALP,1.03383
2015,TM_TAX_WMPS,Albania,TEX,0.49201
2016,TM_TAX_WMPS,Albania,TEX,0.6257
2016,TM_TAX_WMPS,Albania,ALP,0.92986
2016,TM_TAX_WMPS,Albania,CLO,0.0
2016,TM_TAX_WMPS,Albania,AGR,2.46733
2016,TM_TAX_WMPS,Albania,IND,0.67755
2017,TM_TAX_WMPS,Albania,AGR,2.27356
2017,TM_TAX_WMPS,Albania,CLO,0.0
2017,TM_TAX_WMPS,Albania,ALP,0.7707
2017,TM_TAX_WMPS,Albania,TEX,0.4039
2017,TM_TAX_WMPS,Albania,IND,0.54746
2018,TM_TAX_WMPS,Albania,AGR,2.43468
2018,TM_TAX_WMPS,Albania,CLO,0.0
2018,TM_TAX_WMPS,Albania,IND,0.4753
2018,TM_TAX_WMPS,Albania,TEX,0.4028
2018,TM_TAX_WMPS,Albania,ALP,0.73194
2019,TM_TAX_WMPS,Albania,ALP,0.87979
2019,TM_TAX_WMPS,Albania,CLO,0.0
2019,TM_TAX_WMPS,Albania,IND,0.75068
2019,TM_TAX_WMPS,Albania,TEX,0.57909
2019,TM_TAX_WMPS,Albania,AGR,2.0438
2020,TM_TAX_WMPS,Albania,IND,0.68077
2020,TM_TAX_WMPS,Albania,CLO,0.0
2020,TM_TAX_WMPS,Albania,ALP,0.93859
2020,TM_TAX_WMPS,Albania,AGR,2.56756
2020,TM_TAX_WMPS,Albania,TEX,0.50851
2021,TM_TAX_WMPS,Albania,ALP,1.26127
2005,TM_TAX_WMPS,Belarus,OIL,0.0
2005,TM_TAX_WMPS,Belarus,AGR,12.44754
2005,TM_TAX_WMPS,Belarus,ALP,3.40362
2005,TM_TAX_WMPS,Belarus,CLO,15.80312
2005,TM_TAX_WMPS,Belarus,TEX,6.48268
2005,TM_TAX_WMPS,Belarus,IND,3.74363
2010,TM_TAX_WMPS,Belarus,OIL,0.84771
2010,TM_TAX_WMPS,Belarus,TEX,6.21955
2010,TM_TAX_WMPS,Belarus,IND,3.00272
2010,TM_TAX_WMPS,Belarus,ALP,3.19493
2010,TM_TAX_WMPS,Belarus,AGR,10.01541
2010,TM_TAX_WMPS,Belarus,CLO,8.05954
2015,TM_TAX_WMPS,Belarus,CLO,5.55382
2015,TM_TAX_WMPS,Belarus,ALP,3.25556
2015,TM_TAX_WMPS,Belarus,AGR,4.63248
2015,TM_TAX_WMPS,Belarus,TEX,4.27606
2015,TM_TAX_WMPS,Belarus,IND,3.17276
2015,TM_TAX_WMPS,Belarus,OIL,0.0
2016,TM_TAX_WMPS,Belarus,AGR,4.54714
2016,TM_TAX_WMPS,Belarus,ALP,2.15582
2016,TM_TAX_WMPS,Belarus,CLO,4.14616
2016,TM_TAX_WMPS,Belarus,IND,2.22824
2021,TM_TAX_WMPS,Albania,AGR,2.79772
2021,TM_TAX_WMPS,Albania,TEX,1.33766
2021,TM_TAX_WMPS,Albania,CLO,0.0
2021,TM_TAX_WMPS,Albania,IND,0.98774
2005,TM_TAX_WMPS,Azerbaijan,TEX,14.21423
