Year,SeriesCode,Страна ,Value
2000,GF_COM_PPPI_KD,India,2974.0294
2001,GF_COM_PPPI_KD,India,2820.1531
2002,GF_COM_PPPI_KD,India,3109.2801
2003,GF_COM_PPPI_KD,India,1941.6756
2004,GF_COM_PPPI_KD,India,8675.457
2005,GF_COM_PPPI_KD,India,3218.8441
2006,GF_COM_PPPI_KD,India,24887.2789
2007,GF_COM_PPPI_KD,India,23696.569
2008,GF_COM_PPPI_KD,India,21134.8528
2009,GF_COM_PPPI_KD,India,34401.2854
2010,GF_COM_PPPI_KD,India,53423.3015
2011,GF_COM_PPPI_KD,India,41028.5346
2012,GF_COM_PPPI_KD,India,34941.7651
2013,GF_COM_PPPI_KD,India,6736.0057
2014,GF_COM_PPPI_KD,India,5134.3626
2015,GF_COM_PPPI_KD,India,4504.1763
2016,GF_COM_PPPI_KD,India,4664.788
2017,GF_COM_PPPI_KD,India,5110.8728
2018,GF_COM_PPPI_KD,India,11040.0679
2019,GF_COM_PPPI_KD,India,7368.28
2020,GF_COM_PPPI_KD,India,5182.86
2000,GF_COM_PPPI_KD,Казахстан,445.3962
2001,GF_COM_PPPI_KD,Казахстан,0.0
2002,GF_COM_PPPI_KD,Казахстан,0.0
2003,GF_COM_PPPI_KD,Казахстан,0.0
2004,GF_COM_PPPI_KD,Казахстан,0.0
2005,GF_COM_PPPI_KD,Казахстан,302.4034
2006,GF_COM_PPPI_KD,Казахстан,0.0
2007,GF_COM_PPPI_KD,Казахстан,38.2236
2008,GF_COM_PPPI_KD,Казахстан,0.0
2009,GF_COM_PPPI_KD,Казахстан,0.0
2010,GF_COM_PPPI_KD,Казахстан,0.0
2011,GF_COM_PPPI_KD,Казахстан,0.0
2012,GF_COM_PPPI_KD,Казахстан,0.0
2013,GF_COM_PPPI_KD,Казахстан,0.0
2014,GF_COM_PPPI_KD,Казахстан,0.0
2015,GF_COM_PPPI_KD,Казахстан,0.0
2016,GF_COM_PPPI_KD,Казахстан,0.0
2017,GF_COM_PPPI_KD,Казахстан,93.0139
2018,GF_COM_PPPI_KD,Казахстан,806.7599
2019,GF_COM_PPPI_KD,Казахстан,553.6
2020,GF_COM_PPPI_KD,Казахстан,850.48
2000,GF_COM_PPPI_KD,Кыргызстан,0.0
2001,GF_COM_PPPI_KD,Кыргызстан,0.0
2002,GF_COM_PPPI_KD,Кыргызстан,0.0
2003,GF_COM_PPPI_KD,Кыргызстан,0.0
2004,GF_COM_PPPI_KD,Кыргызстан,0.0
2005,GF_COM_PPPI_KD,Кыргызстан,0.0
2006,GF_COM_PPPI_KD,Кыргызстан,0.0
2007,GF_COM_PPPI_KD,Кыргызстан,0.0
2008,GF_COM_PPPI_KD,Кыргызстан,0.0
2009,GF_COM_PPPI_KD,Кыргызстан,0.0
2010,GF_COM_PPPI_KD,Кыргызстан,0.0
2011,GF_COM_PPPI_KD,Кыргызстан,0.0
2012,GF_COM_PPPI_KD,Кыргызстан,0.0
2013,GF_COM_PPPI_KD,Кыргызстан,0.0
2014,GF_COM_PPPI_KD,Кыргызстан,43.197
2000,GF_COM_PPPI_KD,Albania,151.7316
2001,GF_COM_PPPI_KD,Albania,0.0
2002,GF_COM_PPPI_KD,Albania,22.7409
2003,GF_COM_PPPI_KD,Albania,0.0
2004,GF_COM_PPPI_KD,Albania,0.0
2005,GF_COM_PPPI_KD,Albania,403.2045
2006,GF_COM_PPPI_KD,Albania,0.0
2007,GF_COM_PPPI_KD,Albania,198.5163
2008,GF_COM_PPPI_KD,Albania,0.0
2009,GF_COM_PPPI_KD,Albania,841.6007
2010,GF_COM_PPPI_KD,Albania,0.0
2011,GF_COM_PPPI_KD,Albania,4.7281
2012,GF_COM_PPPI_KD,Albania,1675.1796
2013,GF_COM_PPPI_KD,Albania,77.5893
2014,GF_COM_PPPI_KD,Albania,191.4708
2015,GF_COM_PPPI_KD,Albania,0.0
2016,GF_COM_PPPI_KD,Albania,0.0
2017,GF_COM_PPPI_KD,Albania,296.8351
2018,GF_COM_PPPI_KD,Albania,186.591
2019,GF_COM_PPPI_KD,Albania,0.0
2000,GF_COM_PPPI_KD,Azerbaijan,0.0
2001,GF_COM_PPPI_KD,Azerbaijan,332.0851
2002,GF_COM_PPPI_KD,Azerbaijan,206.3736
2003,GF_COM_PPPI_KD,Azerbaijan,0.0
2004,GF_COM_PPPI_KD,Azerbaijan,0.0
2005,GF_COM_PPPI_KD,Azerbaijan,0.0
2006,GF_COM_PPPI_KD,Azerbaijan,0.0
2007,GF_COM_PPPI_KD,Azerbaijan,0.0
2008,GF_COM_PPPI_KD,Azerbaijan,0.0
2009,GF_COM_PPPI_KD,Azerbaijan,0.0
2010,GF_COM_PPPI_KD,Azerbaijan,0.0
2011,GF_COM_PPPI_KD,Azerbaijan,0.0
2012,GF_COM_PPPI_KD,Azerbaijan,0.0
2013,GF_COM_PPPI_KD,Azerbaijan,0.0
2014,GF_COM_PPPI_KD,Azerbaijan,0.0
2015,GF_COM_PPPI_KD,Azerbaijan,0.0
2016,GF_COM_PPPI_KD,Azerbaijan,0.0
2017,GF_COM_PPPI_KD,Azerbaijan,0.0
2018,GF_COM_PPPI_KD,Azerbaijan,0.0
2019,GF_COM_PPPI_KD,Azerbaijan,0.0
2000,GF_COM_PPPI_KD,Armenia,0.0
2001,GF_COM_PPPI_KD,Armenia,356.1707
2002,GF_COM_PPPI_KD,Armenia,442.2707
2003,GF_COM_PPPI_KD,Armenia,34.7439
2004,GF_COM_PPPI_KD,Armenia,0.0
2005,GF_COM_PPPI_KD,Armenia,0.0
2006,GF_COM_PPPI_KD,Armenia,253.6389
2007,GF_COM_PPPI_KD,Armenia,12.3302
2015,GF_COM_PPPI_KD,Кыргызстан,0.0
2016,GF_COM_PPPI_KD,Кыргызстан,0.0
2017,GF_COM_PPPI_KD,Кыргызстан,0.0
2018,GF_COM_PPPI_KD,Кыргызстан,0.0
2019,GF_COM_PPPI_KD,Кыргызстан,0.0
2000,GF_COM_PPPI_KD,Mexico,4473.9179
2001,GF_COM_PPPI_KD,Mexico,529.8924
2002,GF_COM_PPPI_KD,Mexico,3018.8539
2003,GF_COM_PPPI_KD,Mexico,1982.2903
2004,GF_COM_PPPI_KD,Mexico,2384.3231
2008,GF_COM_PPPI_KD,Armenia,1078.1896
2009,GF_COM_PPPI_KD,Armenia,0.0
2010,GF_COM_PPPI_KD,Armenia,0.0
2011,GF_COM_PPPI_KD,Armenia,0.0
2012,GF_COM_PPPI_KD,Armenia,0.0
2013,GF_COM_PPPI_KD,Armenia,0.0
2014,GF_COM_PPPI_KD,Armenia,0.0
