Year,SeriesCode,Страна ,Value
2019,SG_STT_NSDSFDGVT,India,1
2020,SG_STT_NSDSFDGVT,India,1
2021,SG_STT_NSDSFDGVT,India,1
2019,SG_STT_NSDSFDGVT,Ireland,1
2020,SG_STT_NSDSFDGVT,Ireland,1
2021,SG_STT_NSDSFDGVT,Ireland,1
2019,SG_STT_NSDSFDGVT,Israel,1
2020,SG_STT_NSDSFDGVT,Israel,1
2021,SG_STT_NSDSFDGVT,Israel,1
2022,SG_STT_NSDSFDGVT,Israel,1
2019,SG_STT_NSDSFDGVT,Italy,1
2020,SG_STT_NSDSFDGVT,Italy,1
2021,SG_STT_NSDSFDGVT,Italy,1
2019,SG_STT_NSDSFDGVT,Japan,1
2020,SG_STT_NSDSFDGVT,Japan,1
2021,SG_STT_NSDSFDGVT,Japan,1
2022,SG_STT_NSDSFDGVT,Japan,1
2019,SG_STT_NSDSFDGVT,Казахстан,1
2020,SG_STT_NSDSFDGVT,Казахстан,1
2021,SG_STT_NSDSFDGVT,Казахстан,1
2019,SG_STT_NSDSFDGVT,Republic of Korea,1
2020,SG_STT_NSDSFDGVT,Republic of Korea,1
2021,SG_STT_NSDSFDGVT,Republic of Korea,1
2019,SG_STT_NSDSFDGVT,Кыргызстан,1
2020,SG_STT_NSDSFDGVT,Кыргызстан,1
2021,SG_STT_NSDSFDGVT,Кыргызстан,1
2019,SG_STT_NSDSFDGVT,Latvia,1
2020,SG_STT_NSDSFDGVT,Latvia,1
2021,SG_STT_NSDSFDGVT,Latvia,1
2019,SG_STT_NSDSFDGVT,Liechtenstein,1
2020,SG_STT_NSDSFDGVT,Liechtenstein,1
2021,SG_STT_NSDSFDGVT,Liechtenstein,1
2019,SG_STT_NSDSFDGVT,Lithuania,1
2020,SG_STT_NSDSFDGVT,Lithuania,1
2021,SG_STT_NSDSFDGVT,Lithuania,1
2022,SG_STT_NSDSFDGVT,Lithuania,1
2019,SG_STT_NSDSFDGVT,Luxembourg,1
2020,SG_STT_NSDSFDGVT,Luxembourg,1
2021,SG_STT_NSDSFDGVT,Luxembourg,1
2022,SG_STT_NSDSFDGVT,Malta,1
2019,SG_STT_NSDSFDGVT,Mexico,1
2020,SG_STT_NSDSFDGVT,Mexico,1
2021,SG_STT_NSDSFDGVT,Mexico,1
2022,SG_STT_NSDSFDGVT,Mexico,1
2019,SG_STT_NSDSFDGVT,Republic of Moldova,1
2020,SG_STT_NSDSFDGVT,Republic of Moldova,1
