Year,SeriesCode,Страна ,Value
2019,SG_STT_NSDSFDOTHR,Chile,1
2020,SG_STT_NSDSFDOTHR,Chile,1
2021,SG_STT_NSDSFDOTHR,Chile,1
2019,SG_STT_NSDSFDOTHR,Czechia,1
2020,SG_STT_NSDSFDOTHR,Czechia,1
2021,SG_STT_NSDSFDOTHR,Czechia,1
2022,SG_STT_NSDSFDOTHR,Denmark,1
2019,SG_STT_NSDSFDOTHR,Estonia,1
2020,SG_STT_NSDSFDOTHR,Estonia,1
2021,SG_STT_NSDSFDOTHR,Estonia,1
2022,SG_STT_NSDSFDOTHR,Estonia,1
2019,SG_STT_NSDSFDOTHR,Finland,1
2020,SG_STT_NSDSFDOTHR,Finland,1
2021,SG_STT_NSDSFDOTHR,Finland,1
2019,SG_STT_NSDSFDOTHR,Hungary,1
2020,SG_STT_NSDSFDOTHR,Hungary,1
2021,SG_STT_NSDSFDOTHR,Hungary,1
2019,SG_STT_NSDSFDOTHR,Latvia,1
2020,SG_STT_NSDSFDOTHR,Latvia,1
2021,SG_STT_NSDSFDOTHR,Latvia,1
2022,SG_STT_NSDSFDOTHR,Malta,1
2019,SG_STT_NSDSFDOTHR,Mexico,1
2020,SG_STT_NSDSFDOTHR,Mexico,1
2021,SG_STT_NSDSFDOTHR,Mexico,1
2019,SG_STT_NSDSFDOTHR,Netherlands (Kingdom of the),1
2020,SG_STT_NSDSFDOTHR,Netherlands (Kingdom of the),1
2021,SG_STT_NSDSFDOTHR,Netherlands (Kingdom of the),1
2022,SG_STT_NSDSFDOTHR,Netherlands (Kingdom of the),1
2019,SG_STT_NSDSFDOTHR,New Zealand,1
2020,SG_STT_NSDSFDOTHR,New Zealand,1
2021,SG_STT_NSDSFDOTHR,New Zealand,1
2019,SG_STT_NSDSFDOTHR,Poland,1
2020,SG_STT_NSDSFDOTHR,Poland,1
2021,SG_STT_NSDSFDOTHR,Poland,1
2022,SG_STT_NSDSFDOTHR,Switzerland,1
2019,SG_STT_NSDSFDOTHR,Таджикистан,1
2022,SG_STT_NSDSFDOTHR,North Macedonia,1
2019,SG_STT_NSDSFDOTHR,Узбекистан,1
2020,SG_STT_NSDSFDOTHR,Узбекистан,1
2021,SG_STT_NSDSFDOTHR,Узбекистан,1
