Year,SeriesCode,Страна ,Value
2020,SG_STT_CAPTY,Estonia,16809.0
2011,SG_STT_CAPTY,Georgia,284173.0
2012,SG_STT_CAPTY,Georgia,845554.0
2013,SG_STT_CAPTY,Georgia,1869690.0
2014,SG_STT_CAPTY,Georgia,1119234.0
2015,SG_STT_CAPTY,Georgia,564756.0
2016,SG_STT_CAPTY,Georgia,523610.0
2017,SG_STT_CAPTY,Georgia,632582.0861
2018,SG_STT_CAPTY,Georgia,1026722.542
2011,SG_STT_CAPTY,Albania,5869765.0
2012,SG_STT_CAPTY,Albania,5517243.0
2013,SG_STT_CAPTY,Albania,2160378.0
2014,SG_STT_CAPTY,Albania,1609696.0
2015,SG_STT_CAPTY,Albania,1515681.0
2016,SG_STT_CAPTY,Albania,684726.0
2017,SG_STT_CAPTY,Albania,1290031.02834
2018,SG_STT_CAPTY,Albania,713664.58
2019,SG_STT_CAPTY,Albania,1330868.77204
2019,SG_STT_CAPTY,Georgia,1378391.306
2020,SG_STT_CAPTY,Georgia,1628371.0
2017,SG_STT_CAPTY,Greece,108474.8583
2018,SG_STT_CAPTY,Greece,42921.43753
2011,SG_STT_CAPTY,India,3133147.0
2012,SG_STT_CAPTY,India,503670.0
2013,SG_STT_CAPTY,India,1391645.77303
2014,SG_STT_CAPTY,India,10207216.95241
2015,SG_STT_CAPTY,India,12789173.0
2016,SG_STT_CAPTY,India,3924899.0
2020,SG_STT_CAPTY,Albania,2219974.0
2011,SG_STT_CAPTY,Azerbaijan,78574.0
2012,SG_STT_CAPTY,Azerbaijan,118493.0
2013,SG_STT_CAPTY,Azerbaijan,2696951.89015
2014,SG_STT_CAPTY,Azerbaijan,1069536.0
2015,SG_STT_CAPTY,Azerbaijan,2064403.0
2016,SG_STT_CAPTY,Azerbaijan,2448946.0
2017,SG_STT_CAPTY,Azerbaijan,803870.18116
2018,SG_STT_CAPTY,Azerbaijan,1113840.90768
2017,SG_STT_CAPTY,India,1653958.55865
2018,SG_STT_CAPTY,India,6837112.0
2019,SG_STT_CAPTY,India,9292377.12066
2020,SG_STT_CAPTY,India,4995897.0
2011,SG_STT_CAPTY,Казахстан,240791.0
2012,SG_STT_CAPTY,Казахстан,2207274.0
2013,SG_STT_CAPTY,Казахстан,3292811.0
2014,SG_STT_CAPTY,Казахстан,3288074.09959
2015,SG_STT_CAPTY,Казахстан,6365363.0
2019,SG_STT_CAPTY,Azerbaijan,2886690.62298
2020,SG_STT_CAPTY,Azerbaijan,1029637.0
2017,SG_STT_CAPTY,Austria,4692.22704
2011,SG_STT_CAPTY,Armenia,1982013.0
2012,SG_STT_CAPTY,Armenia,1148677.0
2013,SG_STT_CAPTY,Armenia,1522849.0
2014,SG_STT_CAPTY,Armenia,896332.0
2015,SG_STT_CAPTY,Armenia,999397.44184
2016,SG_STT_CAPTY,Armenia,1381175.0
2016,SG_STT_CAPTY,Казахстан,4827397.0
2017,SG_STT_CAPTY,Казахстан,1793454.48471
2018,SG_STT_CAPTY,Казахстан,291409.66067
2019,SG_STT_CAPTY,Казахстан,127374.90753
2020,SG_STT_CAPTY,Казахстан,120603.0
2011,SG_STT_CAPTY,Кыргызстан,1564446.0
2012,SG_STT_CAPTY,Кыргызстан,2747225.0
2013,SG_STT_CAPTY,Кыргызстан,7658749.1444
2017,SG_STT_CAPTY,Armenia,208406.04155
2018,SG_STT_CAPTY,Armenia,283480.81688
2019,SG_STT_CAPTY,Armenia,287595.94884
2020,SG_STT_CAPTY,Armenia,153716.0
2011,SG_STT_CAPTY,Bosnia and Herzegovina,6702484.0
2012,SG_STT_CAPTY,Bosnia and Herzegovina,4286790.0
2013,SG_STT_CAPTY,Bosnia and Herzegovina,10461863.0
2014,SG_STT_CAPTY,Bosnia and Herzegovina,5108710.0
2015,SG_STT_CAPTY,Bosnia and Herzegovina,1503906.0
2014,SG_STT_CAPTY,Кыргызстан,2380584.03379
2015,SG_STT_CAPTY,Кыргызстан,954809.0
2016,SG_STT_CAPTY,Кыргызстан,2347182.0
2017,SG_STT_CAPTY,Кыргызстан,2717976.49464
2018,SG_STT_CAPTY,Кыргызстан,505776.05738
2019,SG_STT_CAPTY,Кыргызстан,1449762.85541
2020,SG_STT_CAPTY,Кыргызстан,640679.0
2016,SG_STT_CAPTY,Bosnia and Herzegovina,1705836.0
2017,SG_STT_CAPTY,Bosnia and Herzegovina,2394915.12171
2018,SG_STT_CAPTY,Bosnia and Herzegovina,1090551.29419
2019,SG_STT_CAPTY,Bosnia and Herzegovina,2545062.71199
2020,SG_STT_CAPTY,Bosnia and Herzegovina,1109141.0
2011,SG_STT_CAPTY,Mexico,234639.0
2012,SG_STT_CAPTY,Mexico,699806.0
2013,SG_STT_CAPTY,Mexico,190735.41552
2014,SG_STT_CAPTY,Mexico,175384.49382
2015,SG_STT_CAPTY,Mexico,201248.0
2016,SG_STT_CAPTY,Mexico,406456.81842
2017,SG_STT_CAPTY,Mexico,180719.01911
2018,SG_STT_CAPTY,Mexico,264967.0
2019,SG_STT_CAPTY,Mexico,353722.0
2011,SG_STT_CAPTY,Belarus,26591.0
2012,SG_STT_CAPTY,Belarus,251624.0
2013,SG_STT_CAPTY,Belarus,89408.0
2020,SG_STT_CAPTY,Mexico,450965.0
2011,SG_STT_CAPTY,Republic of Moldova,1705887.0
2012,SG_STT_CAPTY,Republic of Moldova,4731054.38714
2013,SG_STT_CAPTY,Republic of Moldova,7374425.38853
2014,SG_STT_CAPTY,Republic of Moldova,2159684.0
2015,SG_STT_CAPTY,Republic of Moldova,2557900.0
2016,SG_STT_CAPTY,Republic of Moldova,2239810.0
2017,SG_STT_CAPTY,Republic of Moldova,1041696.55429
2018,SG_STT_CAPTY,Republic of Moldova,1253871.40009
2019,SG_STT_CAPTY,Republic of Moldova,325242.64498
2020,SG_STT_CAPTY,Republic of Moldova,1119639.0
