Year,SeriesCode,Страна ,Value
2000,DC_ODA_TOTL,Australia,2316.78094
2001,DC_ODA_TOTL,Australia,2219.4623
2002,DC_ODA_TOTL,Australia,2321.85874
2003,DC_ODA_TOTL,Australia,2328.36273
2004,DC_ODA_TOTL,Australia,2373.25624
2005,DC_ODA_TOTL,Australia,2521.24952
2006,DC_ODA_TOTL,Australia,3069.61815
2007,DC_ODA_TOTL,Australia,3324.55248
2008,DC_ODA_TOTL,Australia,3506.68731
2009,DC_ODA_TOTL,Australia,3451.75237
2010,DC_ODA_TOTL,Australia,3862.17125
2011,DC_ODA_TOTL,Australia,4270.08938
2012,DC_ODA_TOTL,Australia,4646.75638
2013,DC_ODA_TOTL,Australia,4413.43077
2014,DC_ODA_TOTL,Australia,4258.82854
2015,DC_ODA_TOTL,Australia,4102.00667
2016,DC_ODA_TOTL,Australia,3850.56515
2017,DC_ODA_TOTL,Australia,3340.83483
2018,DC_ODA_TOTL,Australia,3476.71916
2019,DC_ODA_TOTL,Australia,3319.70038
2020,DC_ODA_TOTL,Australia,3300.78382
2021,DC_ODA_TOTL,Australia,3546.44
2022,DC_ODA_TOTL,Australia,3081.38434
2000,DC_ODA_TOTL,Austria,821.07769
2001,DC_ODA_TOTL,Austria,1193.59132
2002,DC_ODA_TOTL,Austria,921.34171
2003,DC_ODA_TOTL,Austria,736.2241
2004,DC_ODA_TOTL,Austria,883.76102
2005,DC_ODA_TOTL,Austria,2000.50863
2006,DC_ODA_TOTL,Austria,1851.99458
2007,DC_ODA_TOTL,Austria,2005.75734
2008,DC_ODA_TOTL,Austria,1769.64904
2009,DC_ODA_TOTL,Austria,1198.78471
2010,DC_ODA_TOTL,Austria,1322.42479
2011,DC_ODA_TOTL,Austria,1137.76764
2012,DC_ODA_TOTL,Austria,1200.26587
2013,DC_ODA_TOTL,Austria,1211.58037
2014,DC_ODA_TOTL,Austria,1250.71221
2015,DC_ODA_TOTL,Austria,1568.19587
2016,DC_ODA_TOTL,Austria,1908.63015
2017,DC_ODA_TOTL,Austria,1418.50872
2018,DC_ODA_TOTL,Austria,1239.60926
2019,DC_ODA_TOTL,Austria,1355.16929
2020,DC_ODA_TOTL,Austria,1397.86924
2021,DC_ODA_TOTL,Austria,1492.15
2022,DC_ODA_TOTL,Austria,1985.71158
2000,DC_ODA_TOTL,Belgium,1515.32776
2001,DC_ODA_TOTL,Belgium,1617.93619
2002,DC_ODA_TOTL,Belgium,1868.93261
2003,DC_ODA_TOTL,Belgium,2647.34596
2004,DC_ODA_TOTL,Belgium,1865.0426
2005,DC_ODA_TOTL,Belgium,2450.40347
