Year,SeriesCode,Страна ,Value
2016,DC_ENVTECH_EXP,Poland,14025755159
2017,DC_ENVTECH_EXP,Poland,15522327528
2018,DC_ENVTECH_EXP,Poland,19471197554
2019,DC_ENVTECH_EXP,Poland,19162053799
2020,DC_ENVTECH_EXP,Poland,21663772871
2010,DC_ENVTECH_EXP,Portugal,2456473956
2011,DC_ENVTECH_EXP,Portugal,2777380070
2012,DC_ENVTECH_EXP,Portugal,2969218543
2013,DC_ENVTECH_EXP,Portugal,3346743009
2014,DC_ENVTECH_EXP,Portugal,3565401870
2015,DC_ENVTECH_EXP,Portugal,3153950276
2016,DC_ENVTECH_EXP,Portugal,3240042258
2017,DC_ENVTECH_EXP,Portugal,3675468708
2018,DC_ENVTECH_EXP,Portugal,4245609613
2019,DC_ENVTECH_EXP,Portugal,4064431361
2020,DC_ENVTECH_EXP,Portugal,3993927776
2010,DC_ENVTECH_EXP,Romania,2836618394
2011,DC_ENVTECH_EXP,Romania,3842187508
2012,DC_ENVTECH_EXP,Romania,3707827769
2013,DC_ENVTECH_EXP,Romania,3685684080
2014,DC_ENVTECH_EXP,Romania,4530973885
2015,DC_ENVTECH_EXP,Romania,4365490390
2016,DC_ENVTECH_EXP,Romania,4958856069
2017,DC_ENVTECH_EXP,Romania,5644580193
2018,DC_ENVTECH_EXP,Romania,6829158346
2019,DC_ENVTECH_EXP,Romania,7161552375
2020,DC_ENVTECH_EXP,Romania,6734344363
2010,DC_ENVTECH_EXP,Serbia,578753317
2011,DC_ENVTECH_EXP,Serbia,788781499
2012,DC_ENVTECH_EXP,Serbia,764712582
2013,DC_ENVTECH_EXP,Serbia,861336955
2014,DC_ENVTECH_EXP,Serbia,913556264
2015,DC_ENVTECH_EXP,Serbia,874753390
2016,DC_ENVTECH_EXP,Serbia,1102833861
2017,DC_ENVTECH_EXP,Serbia,1170642835
2018,DC_ENVTECH_EXP,Serbia,1298094222
2019,DC_ENVTECH_EXP,Serbia,1512985999
2020,DC_ENVTECH_EXP,Serbia,1588114042
2010,DC_ENVTECH_EXP,Slovakia,4152386411
2011,DC_ENVTECH_EXP,Slovakia,5003491589
2012,DC_ENVTECH_EXP,Slovakia,4853753154
2013,DC_ENVTECH_EXP,Slovakia,5261305982
2014,DC_ENVTECH_EXP,Slovakia,5209122193
2015,DC_ENVTECH_EXP,Slovakia,4823793289
2016,DC_ENVTECH_EXP,Slovakia,4927848072
2017,DC_ENVTECH_EXP,Slovakia,5428742641
2018,DC_ENVTECH_EXP,Slovakia,6153886362
2019,DC_ENVTECH_EXP,Slovakia,6393722605
2020,DC_ENVTECH_EXP,Slovakia,6080854064
2010,DC_ENVTECH_EXP,Viet Nam,1554612112
2011,DC_ENVTECH_EXP,Viet Nam,2262129026
2012,DC_ENVTECH_EXP,Viet Nam,3005077053
2013,DC_ENVTECH_EXP,Viet Nam,3288006331
2014,DC_ENVTECH_EXP,Viet Nam,3960305309
2015,DC_ENVTECH_EXP,Viet Nam,4594486587
2016,DC_ENVTECH_EXP,Viet Nam,6904453631
2017,DC_ENVTECH_EXP,Viet Nam,10918398254
2018,DC_ENVTECH_EXP,Viet Nam,11424028733
2019,DC_ENVTECH_EXP,Viet Nam,12418332746
2020,DC_ENVTECH_EXP,Viet Nam,12952955470
2010,DC_ENVTECH_EXP,Slovenia,2278819933
2011,DC_ENVTECH_EXP,Slovenia,2661763577
2012,DC_ENVTECH_EXP,Slovenia,2530212574
2013,DC_ENVTECH_EXP,Slovenia,2644660298
2014,DC_ENVTECH_EXP,Slovenia,2702849782
2015,DC_ENVTECH_EXP,Slovenia,2380386053
2016,DC_ENVTECH_EXP,Slovenia,2523720066
2017,DC_ENVTECH_EXP,Slovenia,2763163382
2018,DC_ENVTECH_EXP,Slovenia,3095672316
2019,DC_ENVTECH_EXP,Slovenia,3058313295
2020,DC_ENVTECH_EXP,Slovenia,3077073427
