Year,SeriesCode,Страна ,Age,Value
2000,SH_STA_MALR,China,,0.01518
2001,SH_STA_MALR,China,,0.0399
2002,SH_STA_MALR,China,,0.04764
2003,SH_STA_MALR,China,,0.05286
2004,SH_STA_MALR,China,,0.05015
2005,SH_STA_MALR,China,,0.0402
2006,SH_STA_MALR,China,,0.06443
2007,SH_STA_MALR,China,,0.05302
2008,SH_STA_MALR,China,,0.02993
2009,SH_STA_MALR,China,,0.01658
2010,SH_STA_MALR,China,,0.00885
2011,SH_STA_MALR,China,,0.0023
2012,SH_STA_MALR,China,,0.00043
2013,SH_STA_MALR,China,,0.00014
2014,SH_STA_MALR,China,,9e-05
2015,SH_STA_MALR,China,,7e-05
2016,SH_STA_MALR,China,,0.0
2017,SH_STA_MALR,China,,0.0
2018,SH_STA_MALR,China,,0.0
2019,SH_STA_MALR,China,,0.0
2020,SH_STA_MALR,China,,0.0
2021,SH_STA_MALR,China,,0.0
2000,SH_STA_MALR,Colombia,,24.27136
2001,SH_STA_MALR,Colombia,,37.75908
2002,SH_STA_MALR,Colombia,,32.53998
2003,SH_STA_MALR,Colombia,,27.96817
2004,SH_STA_MALR,Colombia,,21.41574
2005,SH_STA_MALR,Colombia,,17.85533
2006,SH_STA_MALR,Colombia,,17.46852
2007,SH_STA_MALR,Colombia,,18.06398
2008,SH_STA_MALR,Colombia,,11.33638
2009,SH_STA_MALR,Colombia,,11.26887
2010,SH_STA_MALR,Colombia,,16.58604
2011,SH_STA_MALR,Colombia,,8.9852
2012,SH_STA_MALR,Colombia,,8.30485
2013,SH_STA_MALR,Colombia,,7.06738
2014,SH_STA_MALR,Colombia,,5.51808
2015,SH_STA_MALR,Colombia,,8.13289
2016,SH_STA_MALR,Colombia,,10.95893
2017,SH_STA_MALR,Colombia,,7.5634
2018,SH_STA_MALR,Colombia,,8.60054
2019,SH_STA_MALR,Colombia,,10.77861
2020,SH_STA_MALR,Colombia,,9.40053
2021,SH_STA_MALR,Colombia,,8.9799
2000,SH_STA_MALR,Costa Rica,,1.34916
2001,SH_STA_MALR,Costa Rica,,0.96079
2002,SH_STA_MALR,Costa Rica,,0.70759
2003,SH_STA_MALR,Costa Rica,,0.48976
2004,SH_STA_MALR,Costa Rica,,0.86598
2005,SH_STA_MALR,Costa Rica,,2.34416
2006,SH_STA_MALR,Costa Rica,,1.89446
2007,SH_STA_MALR,Costa Rica,,0.787
2008,SH_STA_MALR,Costa Rica,,0.61307
2009,SH_STA_MALR,Costa Rica,,0.16405
2010,SH_STA_MALR,Costa Rica,,0.06799
2011,SH_STA_MALR,Costa Rica,,0.00611
2012,SH_STA_MALR,Costa Rica,,0.00362
2013,SH_STA_MALR,Costa Rica,,0.0
2014,SH_STA_MALR,Costa Rica,,0.0
2015,SH_STA_MALR,Costa Rica,,0.0
2016,SH_STA_MALR,Costa Rica,,0.00231
2017,SH_STA_MALR,Costa Rica,,0.00687
2018,SH_STA_MALR,Costa Rica,,0.03968
2019,SH_STA_MALR,Costa Rica,,0.05338
2020,SH_STA_MALR,Costa Rica,,0.05019
2021,SH_STA_MALR,Costa Rica,,0.10477
2000,SH_STA_MALR,Georgia,,5.7443
2001,SH_STA_MALR,Georgia,,10.56848
2002,SH_STA_MALR,Georgia,,11.67171
2003,SH_STA_MALR,Georgia,,7.865
2004,SH_STA_MALR,Georgia,,6.44304
2005,SH_STA_MALR,Georgia,,3.91305
2006,SH_STA_MALR,Georgia,,1.49982
2007,SH_STA_MALR,Georgia,,0.61438
2008,SH_STA_MALR,Georgia,,0.15466
2009,SH_STA_MALR,Georgia,,0.02594
2010,SH_STA_MALR,Georgia,,0.0
2011,SH_STA_MALR,Georgia,,0.0
2012,SH_STA_MALR,Georgia,,0.0
2013,SH_STA_MALR,Georgia,,0.0
2014,SH_STA_MALR,Georgia,,0.0
2015,SH_STA_MALR,Georgia,,0.0
2016,SH_STA_MALR,Georgia,,0.0
2000,SH_STA_MALR,Azerbaijan,,8.10078
2001,SH_STA_MALR,Azerbaijan,,5.53322
2002,SH_STA_MALR,Azerbaijan,,2.62259
2003,SH_STA_MALR,Azerbaijan,,2.46618
2004,SH_STA_MALR,Azerbaijan,,1.96147
2005,SH_STA_MALR,Azerbaijan,,1.21551
2006,SH_STA_MALR,Azerbaijan,,0.69955
2007,SH_STA_MALR,Azerbaijan,,0.52889
2008,SH_STA_MALR,Azerbaijan,,0.34784
2009,SH_STA_MALR,Azerbaijan,,0.37187
2010,SH_STA_MALR,Azerbaijan,,0.23534
2011,SH_STA_MALR,Azerbaijan,,0.01858
2012,SH_STA_MALR,Azerbaijan,,0.01375
2017,SH_STA_MALR,Georgia,,0.0
2018,SH_STA_MALR,Georgia,,0.0
2019,SH_STA_MALR,Georgia,,0.0
2020,SH_STA_MALR,Georgia,,0.0
2021,SH_STA_MALR,Georgia,,0.0
2000,SH_STA_MALR,India,,19.88879
2001,SH_STA_MALR,India,,19.91108
2002,SH_STA_MALR,India,,18.3901
2003,SH_STA_MALR,India,,19.35115
2004,SH_STA_MALR,India,,21.15391
2005,SH_STA_MALR,India,,22.45152
2006,SH_STA_MALR,India,,18.09306
2007,SH_STA_MALR,India,,17.23867
2008,SH_STA_MALR,India,,17.79331
2013,SH_STA_MALR,Azerbaijan,,0.0
2014,SH_STA_MALR,Azerbaijan,,0.0
2015,SH_STA_MALR,Azerbaijan,,0.0
2016,SH_STA_MALR,Azerbaijan,,0.0
2017,SH_STA_MALR,Azerbaijan,,0.0
2018,SH_STA_MALR,Azerbaijan,,0.0
2019,SH_STA_MALR,Azerbaijan,,0.0
2020,SH_STA_MALR,Azerbaijan,,0.0
2021,SH_STA_MALR,Azerbaijan,,0.0
2000,SH_STA_MALR,Armenia,,0.0445
2001,SH_STA_MALR,Armenia,,0.02521
2002,SH_STA_MALR,Armenia,,0.01675
2003,SH_STA_MALR,Armenia,,0.0094
2004,SH_STA_MALR,Armenia,,0.01533
2005,SH_STA_MALR,Armenia,,0.0023
2006,SH_STA_MALR,Armenia,,0.0
2007,SH_STA_MALR,Armenia,,0.0
2008,SH_STA_MALR,Armenia,,0.0
2009,SH_STA_MALR,Armenia,,0.0
2010,SH_STA_MALR,Armenia,,0.0
2011,SH_STA_MALR,Armenia,,0.0
2012,SH_STA_MALR,Armenia,,0.0
2013,SH_STA_MALR,Armenia,,0.0
2014,SH_STA_MALR,Armenia,,0.0
2015,SH_STA_MALR,Armenia,,0.0
2016,SH_STA_MALR,Armenia,,0.0
2017,SH_STA_MALR,Armenia,,0.0
2018,SH_STA_MALR,Armenia,,0.0
2009,SH_STA_MALR,India,,18.07238
2010,SH_STA_MALR,India,,17.46128
2011,SH_STA_MALR,India,,14.7205
2012,SH_STA_MALR,India,,11.80359
2013,SH_STA_MALR,India,,9.07122
2014,SH_STA_MALR,India,,9.11872
2015,SH_STA_MALR,India,,9.59236
2016,SH_STA_MALR,India,,9.92256
2017,SH_STA_MALR,India,,7.37602
2018,SH_STA_MALR,India,,5.27173
2019,SH_STA_MALR,India,,4.29432
2020,SH_STA_MALR,India,,3.16833
2021,SH_STA_MALR,India,,3.24281
2000,SH_STA_MALR,Казахстан,,0.0
2001,SH_STA_MALR,Казахстан,,0.0
2002,SH_STA_MALR,Казахстан,,0.0
2003,SH_STA_MALR,Казахстан,,0.0
2004,SH_STA_MALR,Казахстан,,0.0
2005,SH_STA_MALR,Казахстан,,0.0
2006,SH_STA_MALR,Казахстан,,0.0
2007,SH_STA_MALR,Казахстан,,0.0
2008,SH_STA_MALR,Казахстан,,0.0
2009,SH_STA_MALR,Казахстан,,0.0
2010,SH_STA_MALR,Казахстан,,0.0
2011,SH_STA_MALR,Казахстан,,0.0
2012,SH_STA_MALR,Казахстан,,0.0
2013,SH_STA_MALR,Казахстан,,0.0
2014,SH_STA_MALR,Казахстан,,0.0
2015,SH_STA_MALR,Казахстан,,0.0
2016,SH_STA_MALR,Казахстан,,0.0
2017,SH_STA_MALR,Казахстан,,0.0
2018,SH_STA_MALR,Казахстан,,0.0
2019,SH_STA_MALR,Казахстан,,0.0
2020,SH_STA_MALR,Казахстан,,0.0
2021,SH_STA_MALR,Казахстан,,0.0
2000,SH_STA_MALR,Republic of Korea,,1.27717
2001,SH_STA_MALR,Republic of Korea,,0.77583
2002,SH_STA_MALR,Republic of Korea,,0.5431
2003,SH_STA_MALR,Republic of Korea,,0.35189
2004,SH_STA_MALR,Republic of Korea,,0.25861
2005,SH_STA_MALR,Republic of Korea,,0.40838
2006,SH_STA_MALR,Republic of Korea,,0.60979
2007,SH_STA_MALR,Republic of Korea,,0.65977
2008,SH_STA_MALR,Republic of Korea,,0.31376
2009,SH_STA_MALR,Republic of Korea,,0.26403
2010,SH_STA_MALR,Republic of Korea,,0.3708
2011,SH_STA_MALR,Republic of Korea,,0.14672
2012,SH_STA_MALR,Republic of Korea,,0.1134
2013,SH_STA_MALR,Republic of Korea,,0.10921
2014,SH_STA_MALR,Republic of Korea,,0.15739
2015,SH_STA_MALR,Republic of Korea,,0.17565
2016,SH_STA_MALR,Republic of Korea,,0.16761
2017,SH_STA_MALR,Republic of Korea,,0.12092
2018,SH_STA_MALR,Republic of Korea,,0.1385
2019,SH_STA_MALR,Republic of Korea,,0.13375
2020,SH_STA_MALR,Republic of Korea,,0.0981
2021,SH_STA_MALR,Republic of Korea,,0.07552
2000,SH_STA_MALR,Кыргызстан,,0.00182
2001,SH_STA_MALR,Кыргызстан,,0.00386
2002,SH_STA_MALR,Кыргызстан,,0.69501
2003,SH_STA_MALR,Кыргызстан,,0.11638
2004,SH_STA_MALR,Кыргызстан,,0.02271
2005,SH_STA_MALR,Кыргызстан,,0.05555
2006,SH_STA_MALR,Кыргызстан,,0.0777
2007,SH_STA_MALR,Кыргызстан,,0.02325
2008,SH_STA_MALR,Кыргызстан,,0.00432
2009,SH_STA_MALR,Кыргызстан,,0.00024
2010,SH_STA_MALR,Кыргызстан,,0.0007
2011,SH_STA_MALR,Кыргызстан,,0.0
2012,SH_STA_MALR,Кыргызстан,,0.0
2013,SH_STA_MALR,Кыргызстан,,0.0
2014,SH_STA_MALR,Кыргызстан,,0.0
2015,SH_STA_MALR,Кыргызстан,,0.0
2016,SH_STA_MALR,Кыргызстан,,0.0
2017,SH_STA_MALR,Кыргызстан,,0.0
2018,SH_STA_MALR,Кыргызстан,,0.0
2019,SH_STA_MALR,Кыргызстан,,0.0
2020,SH_STA_MALR,Кыргызстан,,0.0
2021,SH_STA_MALR,Кыргызстан,,0.0
2000,SH_STA_MALR,Mexico,,3.56159
2001,SH_STA_MALR,Mexico,,2.37097
2002,SH_STA_MALR,Mexico,,2.16131
2003,SH_STA_MALR,Mexico,,1.75869
2004,SH_STA_MALR,Mexico,,1.54562
2005,SH_STA_MALR,Mexico,,1.32729
2006,SH_STA_MALR,Mexico,,1.10944
2007,SH_STA_MALR,Mexico,,1.0283
2008,SH_STA_MALR,Mexico,,1.01363
2009,SH_STA_MALR,Mexico,,1.14814
2010,SH_STA_MALR,Mexico,,0.5139
2011,SH_STA_MALR,Mexico,,0.46446
2012,SH_STA_MALR,Mexico,,0.33944
2013,SH_STA_MALR,Mexico,,0.19907
2014,SH_STA_MALR,Mexico,,0.26056
2015,SH_STA_MALR,Mexico,,0.20297
2016,SH_STA_MALR,Mexico,,0.21388
2017,SH_STA_MALR,Mexico,,0.28262
2018,SH_STA_MALR,Mexico,,0.30543
2019,SH_STA_MALR,Mexico,,0.23305
2020,SH_STA_MALR,Mexico,,0.13328
2021,SH_STA_MALR,Mexico,,0.09009
2000,SH_STA_MALR,Viet Nam,,3.45936
2001,SH_STA_MALR,Viet Nam,,3.1474
2002,SH_STA_MALR,Viet Nam,,2.21177
2003,SH_STA_MALR,Viet Nam,,1.60861
2004,SH_STA_MALR,Viet Nam,,0.93236
2005,SH_STA_MALR,Viet Nam,,0.66265
2006,SH_STA_MALR,Viet Nam,,0.70501
2007,SH_STA_MALR,Viet Nam,,0.44858
2008,SH_STA_MALR,Viet Nam,,0.28392
2009,SH_STA_MALR,Viet Nam,,0.35855
2010,SH_STA_MALR,Viet Nam,,0.35639
2011,SH_STA_MALR,Viet Nam,,0.31033
2012,SH_STA_MALR,Viet Nam,,0.3622
2013,SH_STA_MALR,Viet Nam,,0.31206
2014,SH_STA_MALR,Viet Nam,,0.28346
2015,SH_STA_MALR,Viet Nam,,0.16606
2016,SH_STA_MALR,Viet Nam,,0.0732
2017,SH_STA_MALR,Viet Nam,,0.07915
2018,SH_STA_MALR,Viet Nam,,0.054
2019,SH_STA_MALR,Viet Nam,,0.05463
2020,SH_STA_MALR,Viet Nam,,0.02326
2021,SH_STA_MALR,Viet Nam,,0.00631
2000,SH_STA_MALR,Таджикистан,,9.09898
2001,SH_STA_MALR,Таджикистан,,5.31968
2002,SH_STA_MALR,Таджикистан,,2.81929
2003,SH_STA_MALR,Таджикистан,,2.4356
2004,SH_STA_MALR,Таджикистан,,1.5795
2005,SH_STA_MALR,Таджикистан,,0.9977
2006,SH_STA_MALR,Таджикистан,,0.57017
2007,SH_STA_MALR,Таджикистан,,0.26448
2008,SH_STA_MALR,Таджикистан,,0.12999
2009,SH_STA_MALR,Таджикистан,,0.06574
2010,SH_STA_MALR,Таджикистан,,0.044
2011,SH_STA_MALR,Таджикистан,,0.03
2012,SH_STA_MALR,Таджикистан,,0.01054
2013,SH_STA_MALR,Таджикистан,,0.00147
2014,SH_STA_MALR,Таджикистан,,0.00072
2015,SH_STA_MALR,Таджикистан,,0.0
2016,SH_STA_MALR,Таджикистан,,0.0
2017,SH_STA_MALR,Таджикистан,,0.0
2018,SH_STA_MALR,Таджикистан,,0.0
2019,SH_STA_MALR,Таджикистан,,0.0
2020,SH_STA_MALR,Таджикистан,,0.0
2021,SH_STA_MALR,Таджикистан,,0.0
2000,SH_STA_MALR,United Arab Emirates,,0.0
2001,SH_STA_MALR,United Arab Emirates,,0.0
2002,SH_STA_MALR,United Arab Emirates,,0.0
2003,SH_STA_MALR,United Arab Emirates,,0.0
2004,SH_STA_MALR,United Arab Emirates,,0.0
2005,SH_STA_MALR,United Arab Emirates,,0.0
2006,SH_STA_MALR,United Arab Emirates,,0.0
2007,SH_STA_MALR,United Arab Emirates,,0.0
2008,SH_STA_MALR,United Arab Emirates,,0.0
2009,SH_STA_MALR,United Arab Emirates,,0.0
2010,SH_STA_MALR,United Arab Emirates,,0.0
2011,SH_STA_MALR,United Arab Emirates,,0.0
2012,SH_STA_MALR,United Arab Emirates,,0.0
2013,SH_STA_MALR,United Arab Emirates,,0.0
2014,SH_STA_MALR,United Arab Emirates,,0.0
2015,SH_STA_MALR,United Arab Emirates,,0.0
2016,SH_STA_MALR,United Arab Emirates,,0.0
2017,SH_STA_MALR,United Arab Emirates,,0.0
2018,SH_STA_MALR,United Arab Emirates,,0.0
2019,SH_STA_MALR,United Arab Emirates,,0.0
2020,SH_STA_MALR,United Arab Emirates,,0.0
2021,SH_STA_MALR,United Arab Emirates,,0.0
2000,SH_STA_MALR,Türkiye,,2.74321
2001,SH_STA_MALR,Türkiye,,2.55622
2002,SH_STA_MALR,Türkiye,,2.38363
2003,SH_STA_MALR,Türkiye,,2.12177
2004,SH_STA_MALR,Türkiye,,1.20335
2005,SH_STA_MALR,Türkiye,,0.46666
2006,SH_STA_MALR,Türkiye,,0.17595
2007,SH_STA_MALR,Türkiye,,0.06833
2008,SH_STA_MALR,Türkiye,,0.03581
2009,SH_STA_MALR,Türkiye,,0.00809
2010,SH_STA_MALR,Türkiye,,0.0
2011,SH_STA_MALR,Türkiye,,0.0
2012,SH_STA_MALR,Türkiye,,0.0
2013,SH_STA_MALR,Türkiye,,0.0
2014,SH_STA_MALR,Türkiye,,0.0
2015,SH_STA_MALR,Türkiye,,0.0
2016,SH_STA_MALR,Türkiye,,0.0
2017,SH_STA_MALR,Türkiye,,0.0
2018,SH_STA_MALR,Türkiye,,0.0
2019,SH_STA_MALR,Türkiye,,0.0
2020,SH_STA_MALR,Türkiye,,0.0
2021,SH_STA_MALR,Türkiye,,0.0
2000,SH_STA_MALR,Туркменистан,,0.08081
2001,SH_STA_MALR,Туркменистан,,0.02655
2002,SH_STA_MALR,Туркменистан,,0.05893
2003,SH_STA_MALR,Туркменистан,,0.02263
2004,SH_STA_MALR,Туркменистан,,0.00958
2005,SH_STA_MALR,Туркменистан,,0.00315
2006,SH_STA_MALR,Туркменистан,,0.00311
2007,SH_STA_MALR,Туркменистан,,0.0
2008,SH_STA_MALR,Туркменистан,,0.0
2009,SH_STA_MALR,Туркменистан,,0.0
2010,SH_STA_MALR,Туркменистан,,0.0
