Year,SeriesCode,Страна ,Sex,Value
2000,SH_STA_SCIDE,Czechia,BOTHSEX,16.3
2000,SH_STA_SCIDE,Czechia,FEMALE,6.8
2000,SH_STA_SCIDE,Czechia,MALE,26.3
2005,SH_STA_SCIDE,Czechia,BOTHSEX,15.8
2005,SH_STA_SCIDE,Czechia,FEMALE,5.8
2005,SH_STA_SCIDE,Czechia,MALE,26.3
2010,SH_STA_SCIDE,Czechia,MALE,25.4
2010,SH_STA_SCIDE,Czechia,BOTHSEX,15.0
2010,SH_STA_SCIDE,Czechia,FEMALE,5.1
2015,SH_STA_SCIDE,Czechia,BOTHSEX,13.6
2015,SH_STA_SCIDE,Czechia,FEMALE,5.0
2015,SH_STA_SCIDE,Czechia,MALE,22.5
2019,SH_STA_SCIDE,Czechia,BOTHSEX,12.2
2019,SH_STA_SCIDE,Czechia,FEMALE,4.8
2019,SH_STA_SCIDE,Czechia,MALE,19.8
2000,SH_STA_SCIDE,Denmark,BOTHSEX,15.6
2000,SH_STA_SCIDE,Denmark,FEMALE,8.8
2000,SH_STA_SCIDE,Denmark,MALE,22.6
2005,SH_STA_SCIDE,Denmark,BOTHSEX,14.8
2005,SH_STA_SCIDE,Denmark,FEMALE,9.5
2000,SH_STA_SCIDE,Albania,BOTHSEX,4.9
2000,SH_STA_SCIDE,Albania,MALE,7.0
2000,SH_STA_SCIDE,Albania,FEMALE,2.8
2005,SH_STA_SCIDE,Albania,BOTHSEX,7.5
2005,SH_STA_SCIDE,Albania,FEMALE,5.2
2005,SH_STA_SCIDE,Albania,MALE,9.7
2010,SH_STA_SCIDE,Albania,BOTHSEX,7.8
2010,SH_STA_SCIDE,Albania,FEMALE,6.1
2010,SH_STA_SCIDE,Albania,MALE,9.5
2015,SH_STA_SCIDE,Albania,BOTHSEX,4.8
2005,SH_STA_SCIDE,Denmark,MALE,20.3
2010,SH_STA_SCIDE,Denmark,BOTHSEX,11.8
2010,SH_STA_SCIDE,Denmark,MALE,16.5
2010,SH_STA_SCIDE,Denmark,FEMALE,7.2
2015,SH_STA_SCIDE,Denmark,FEMALE,7.2
2015,SH_STA_SCIDE,Denmark,MALE,14.7
2015,SH_STA_SCIDE,Denmark,BOTHSEX,10.9
2019,SH_STA_SCIDE,Denmark,BOTHSEX,10.7
2019,SH_STA_SCIDE,Denmark,FEMALE,6.5
2019,SH_STA_SCIDE,Denmark,MALE,14.9
2015,SH_STA_SCIDE,Albania,FEMALE,3.2
2015,SH_STA_SCIDE,Albania,MALE,6.3
2019,SH_STA_SCIDE,Albania,BOTHSEX,4.3
2019,SH_STA_SCIDE,Albania,FEMALE,2.7
2019,SH_STA_SCIDE,Albania,MALE,5.9
2000,SH_STA_SCIDE,Azerbaijan,BOTHSEX,3.1
2000,SH_STA_SCIDE,Azerbaijan,FEMALE,1.2
2000,SH_STA_SCIDE,Azerbaijan,MALE,5.1
2005,SH_STA_SCIDE,Azerbaijan,BOTHSEX,4.5
2005,SH_STA_SCIDE,Azerbaijan,FEMALE,1.9
2000,SH_STA_SCIDE,Estonia,BOTHSEX,29.1
2000,SH_STA_SCIDE,Estonia,FEMALE,12.6
2000,SH_STA_SCIDE,Estonia,MALE,48.0
2005,SH_STA_SCIDE,Estonia,BOTHSEX,22.6
2005,SH_STA_SCIDE,Estonia,FEMALE,8.2
2005,SH_STA_SCIDE,Estonia,MALE,39.2
2010,SH_STA_SCIDE,Estonia,BOTHSEX,18.8
2010,SH_STA_SCIDE,Estonia,FEMALE,6.6
2010,SH_STA_SCIDE,Estonia,MALE,32.7
2015,SH_STA_SCIDE,Estonia,BOTHSEX,15.9
2005,SH_STA_SCIDE,Azerbaijan,MALE,7.2
2010,SH_STA_SCIDE,Azerbaijan,FEMALE,1.9
2010,SH_STA_SCIDE,Azerbaijan,BOTHSEX,4.6
2010,SH_STA_SCIDE,Azerbaijan,MALE,7.3
2015,SH_STA_SCIDE,Azerbaijan,MALE,6.6
2015,SH_STA_SCIDE,Azerbaijan,FEMALE,1.6
2015,SH_STA_SCIDE,Azerbaijan,BOTHSEX,4.1
2019,SH_STA_SCIDE,Azerbaijan,BOTHSEX,4.1
2019,SH_STA_SCIDE,Azerbaijan,FEMALE,1.6
2019,SH_STA_SCIDE,Azerbaijan,MALE,6.6
2000,SH_STA_SCIDE,Australia,BOTHSEX,12.7
2000,SH_STA_SCIDE,Australia,FEMALE,5.6
2000,SH_STA_SCIDE,Australia,MALE,19.9
2005,SH_STA_SCIDE,Australia,MALE,17.3
2005,SH_STA_SCIDE,Australia,BOTHSEX,11.2
2005,SH_STA_SCIDE,Australia,FEMALE,5.1
2010,SH_STA_SCIDE,Australia,BOTHSEX,11.7
2010,SH_STA_SCIDE,Australia,FEMALE,5.7
2010,SH_STA_SCIDE,Australia,MALE,17.7
2015,SH_STA_SCIDE,Australia,BOTHSEX,13.2
2015,SH_STA_SCIDE,Australia,FEMALE,6.8
2015,SH_STA_SCIDE,Australia,MALE,19.7
2019,SH_STA_SCIDE,Australia,MALE,18.6
2019,SH_STA_SCIDE,Australia,FEMALE,6.4
2019,SH_STA_SCIDE,Australia,BOTHSEX,12.5
2000,SH_STA_SCIDE,Austria,BOTHSEX,19.9
2000,SH_STA_SCIDE,Austria,FEMALE,10.6
2000,SH_STA_SCIDE,Austria,MALE,29.8
2005,SH_STA_SCIDE,Austria,BOTHSEX,17.2
2005,SH_STA_SCIDE,Austria,FEMALE,8.6
2005,SH_STA_SCIDE,Austria,MALE,26.4
2010,SH_STA_SCIDE,Austria,BOTHSEX,16.1
2010,SH_STA_SCIDE,Austria,FEMALE,7.6
2010,SH_STA_SCIDE,Austria,MALE,25.1
2015,SH_STA_SCIDE,Austria,MALE,24.8
2015,SH_STA_SCIDE,Austria,BOTHSEX,16.0
2015,SH_STA_SCIDE,Austria,FEMALE,7.6
2019,SH_STA_SCIDE,Austria,BOTHSEX,14.6
2019,SH_STA_SCIDE,Austria,MALE,22.8
2019,SH_STA_SCIDE,Austria,FEMALE,6.7
2000,SH_STA_SCIDE,Armenia,MALE,5.1
2000,SH_STA_SCIDE,Armenia,FEMALE,1.9
2000,SH_STA_SCIDE,Armenia,BOTHSEX,3.4
2005,SH_STA_SCIDE,Armenia,BOTHSEX,4.2
2005,SH_STA_SCIDE,Armenia,FEMALE,2.1
2005,SH_STA_SCIDE,Armenia,MALE,6.6
2010,SH_STA_SCIDE,Armenia,MALE,10.5
2010,SH_STA_SCIDE,Armenia,BOTHSEX,6.7
2010,SH_STA_SCIDE,Armenia,FEMALE,3.5
2015,SH_STA_SCIDE,Armenia,BOTHSEX,6.2
2015,SH_STA_SCIDE,Armenia,FEMALE,3.7
2015,SH_STA_SCIDE,Armenia,MALE,8.9
2019,SH_STA_SCIDE,Armenia,BOTHSEX,3.3
2019,SH_STA_SCIDE,Armenia,FEMALE,1.3
2019,SH_STA_SCIDE,Armenia,MALE,5.6
2000,SH_STA_SCIDE,Belgium,BOTHSEX,22.0
2000,SH_STA_SCIDE,Belgium,FEMALE,12.9
2000,SH_STA_SCIDE,Belgium,MALE,31.5
2005,SH_STA_SCIDE,Belgium,BOTHSEX,20.7
2005,SH_STA_SCIDE,Belgium,MALE,30.3
2005,SH_STA_SCIDE,Belgium,FEMALE,11.4
2010,SH_STA_SCIDE,Belgium,BOTHSEX,20.5
2010,SH_STA_SCIDE,Belgium,FEMALE,12.2
2010,SH_STA_SCIDE,Belgium,MALE,29.1
2015,SH_STA_SCIDE,Belgium,BOTHSEX,18.6
2015,SH_STA_SCIDE,Belgium,FEMALE,11.7
2015,SH_STA_SCIDE,Belgium,MALE,25.8
2019,SH_STA_SCIDE,Belgium,BOTHSEX,18.3
2019,SH_STA_SCIDE,Belgium,FEMALE,11.8
2019,SH_STA_SCIDE,Belgium,MALE,24.9
2000,SH_STA_SCIDE,Bosnia and Herzegovina,BOTHSEX,9.0
2000,SH_STA_SCIDE,Bosnia and Herzegovina,FEMALE,4.0
2000,SH_STA_SCIDE,Bosnia and Herzegovina,MALE,14.3
2005,SH_STA_SCIDE,Bosnia and Herzegovina,BOTHSEX,10.8
2005,SH_STA_SCIDE,Bosnia and Herzegovina,FEMALE,4.4
2005,SH_STA_SCIDE,Bosnia and Herzegovina,MALE,17.3
2010,SH_STA_SCIDE,Bosnia and Herzegovina,BOTHSEX,10.5
2010,SH_STA_SCIDE,Bosnia and Herzegovina,FEMALE,4.5
2010,SH_STA_SCIDE,Bosnia and Herzegovina,MALE,16.8
2015,SH_STA_SCIDE,Bosnia and Herzegovina,BOTHSEX,10.7
2015,SH_STA_SCIDE,Bosnia and Herzegovina,FEMALE,4.6
2015,SH_STA_SCIDE,Bosnia and Herzegovina,MALE,17.0
2019,SH_STA_SCIDE,Bosnia and Herzegovina,BOTHSEX,10.9
2019,SH_STA_SCIDE,Bosnia and Herzegovina,FEMALE,4.5
2019,SH_STA_SCIDE,Bosnia and Herzegovina,MALE,17.6
2000,SH_STA_SCIDE,Bulgaria,BOTHSEX,18.2
2000,SH_STA_SCIDE,Bulgaria,FEMALE,10.1
2000,SH_STA_SCIDE,Bulgaria,MALE,26.8
2005,SH_STA_SCIDE,Bulgaria,FEMALE,6.7
2005,SH_STA_SCIDE,Bulgaria,MALE,20.2
2005,SH_STA_SCIDE,Bulgaria,BOTHSEX,13.2
2010,SH_STA_SCIDE,Bulgaria,BOTHSEX,12.4
2010,SH_STA_SCIDE,Bulgaria,FEMALE,5.9
2010,SH_STA_SCIDE,Bulgaria,MALE,19.2
2015,SH_STA_SCIDE,Bulgaria,BOTHSEX,9.8
2015,SH_STA_SCIDE,Bulgaria,FEMALE,4.5
2015,SH_STA_SCIDE,Bulgaria,MALE,15.5
2019,SH_STA_SCIDE,Bulgaria,BOTHSEX,9.7
2019,SH_STA_SCIDE,Bulgaria,MALE,15.3
2019,SH_STA_SCIDE,Bulgaria,FEMALE,4.4
2000,SH_STA_SCIDE,Belarus,FEMALE,11.9
2000,SH_STA_SCIDE,Belarus,MALE,75.6
2000,SH_STA_SCIDE,Belarus,BOTHSEX,41.8
2005,SH_STA_SCIDE,Belarus,BOTHSEX,43.5
2005,SH_STA_SCIDE,Belarus,FEMALE,12.9
2005,SH_STA_SCIDE,Belarus,MALE,78.5
2010,SH_STA_SCIDE,Belarus,BOTHSEX,35.9
2010,SH_STA_SCIDE,Belarus,FEMALE,11.2
2010,SH_STA_SCIDE,Belarus,MALE,64.3
2015,SH_STA_SCIDE,Belarus,BOTHSEX,24.3
2015,SH_STA_SCIDE,Belarus,FEMALE,8.3
2015,SH_STA_SCIDE,Belarus,MALE,42.7
2019,SH_STA_SCIDE,Belarus,BOTHSEX,21.2
2019,SH_STA_SCIDE,Belarus,FEMALE,7.7
2019,SH_STA_SCIDE,Belarus,MALE,36.7
2000,SH_STA_SCIDE,Canada,BOTHSEX,11.9
2000,SH_STA_SCIDE,Canada,FEMALE,5.7
2000,SH_STA_SCIDE,Canada,MALE,18.3
2005,SH_STA_SCIDE,Canada,FEMALE,6.2
2005,SH_STA_SCIDE,Canada,BOTHSEX,12.2
2005,SH_STA_SCIDE,Canada,MALE,18.2
2010,SH_STA_SCIDE,Canada,BOTHSEX,12.1
2010,SH_STA_SCIDE,Canada,FEMALE,6.4
2010,SH_STA_SCIDE,Canada,MALE,17.8
2015,SH_STA_SCIDE,Canada,FEMALE,6.8
2015,SH_STA_SCIDE,Canada,MALE,19.2
2015,SH_STA_SCIDE,Canada,BOTHSEX,13.0
2019,SH_STA_SCIDE,Canada,BOTHSEX,11.8
2019,SH_STA_SCIDE,Canada,FEMALE,6.1
2019,SH_STA_SCIDE,Canada,MALE,17.6
2000,SH_STA_SCIDE,Chile,BOTHSEX,10.3
2000,SH_STA_SCIDE,Chile,FEMALE,2.9
2000,SH_STA_SCIDE,Chile,MALE,17.9
2005,SH_STA_SCIDE,Chile,BOTHSEX,9.7
2005,SH_STA_SCIDE,Chile,FEMALE,3.2
2005,SH_STA_SCIDE,Chile,MALE,16.3
2010,SH_STA_SCIDE,Chile,BOTHSEX,11.6
2010,SH_STA_SCIDE,Chile,FEMALE,4.4
2010,SH_STA_SCIDE,Chile,MALE,19.1
2015,SH_STA_SCIDE,Chile,BOTHSEX,10.0
2015,SH_STA_SCIDE,Chile,FEMALE,4.1
2015,SH_STA_SCIDE,Chile,MALE,16.0
2019,SH_STA_SCIDE,Chile,BOTHSEX,9.0
2019,SH_STA_SCIDE,Chile,FEMALE,3.2
2019,SH_STA_SCIDE,Chile,MALE,14.9
2000,SH_STA_SCIDE,China,BOTHSEX,14.3
2000,SH_STA_SCIDE,China,FEMALE,14.7
2000,SH_STA_SCIDE,China,MALE,13.9
2005,SH_STA_SCIDE,China,BOTHSEX,12.9
2005,SH_STA_SCIDE,China,FEMALE,11.9
2005,SH_STA_SCIDE,China,MALE,13.8
2010,SH_STA_SCIDE,China,FEMALE,8.7
2010,SH_STA_SCIDE,China,MALE,11.7
2010,SH_STA_SCIDE,China,BOTHSEX,10.2
2015,SH_STA_SCIDE,China,BOTHSEX,8.1
2015,SH_STA_SCIDE,China,FEMALE,6.4
2015,SH_STA_SCIDE,China,MALE,9.8
2019,SH_STA_SCIDE,China,BOTHSEX,8.1
2019,SH_STA_SCIDE,China,FEMALE,6.2
2019,SH_STA_SCIDE,China,MALE,9.8
2000,SH_STA_SCIDE,Colombia,BOTHSEX,5.0
2000,SH_STA_SCIDE,Colombia,FEMALE,2.6
2000,SH_STA_SCIDE,Colombia,MALE,7.5
2005,SH_STA_SCIDE,Colombia,MALE,6.4
2005,SH_STA_SCIDE,Colombia,BOTHSEX,4.1
2005,SH_STA_SCIDE,Colombia,FEMALE,2.0
2010,SH_STA_SCIDE,Colombia,BOTHSEX,3.8
2010,SH_STA_SCIDE,Colombia,FEMALE,1.5
2010,SH_STA_SCIDE,Colombia,MALE,6.2
2015,SH_STA_SCIDE,Colombia,BOTHSEX,4.1
2015,SH_STA_SCIDE,Colombia,FEMALE,1.9
2015,SH_STA_SCIDE,Colombia,MALE,6.5
2019,SH_STA_SCIDE,Colombia,BOTHSEX,3.9
2019,SH_STA_SCIDE,Colombia,MALE,6.1
2019,SH_STA_SCIDE,Colombia,FEMALE,1.8
2000,SH_STA_SCIDE,Costa Rica,BOTHSEX,6.4
2000,SH_STA_SCIDE,Costa Rica,FEMALE,1.5
2000,SH_STA_SCIDE,Costa Rica,MALE,11.3
2005,SH_STA_SCIDE,Costa Rica,BOTHSEX,6.5
2005,SH_STA_SCIDE,Costa Rica,FEMALE,2.0
2005,SH_STA_SCIDE,Costa Rica,MALE,11.1
2010,SH_STA_SCIDE,Costa Rica,BOTHSEX,6.9
2010,SH_STA_SCIDE,Costa Rica,FEMALE,2.0
2010,SH_STA_SCIDE,Costa Rica,MALE,11.8
2015,SH_STA_SCIDE,Costa Rica,BOTHSEX,6.7
2015,SH_STA_SCIDE,Costa Rica,FEMALE,2.3
2015,SH_STA_SCIDE,Costa Rica,MALE,11.2
2019,SH_STA_SCIDE,Costa Rica,BOTHSEX,8.1
2019,SH_STA_SCIDE,Costa Rica,FEMALE,2.0
2019,SH_STA_SCIDE,Costa Rica,MALE,14.1
2000,SH_STA_SCIDE,Croatia,FEMALE,10.3
2000,SH_STA_SCIDE,Croatia,BOTHSEX,20.8
2000,SH_STA_SCIDE,Croatia,MALE,32.1
2005,SH_STA_SCIDE,Croatia,BOTHSEX,20.1
2005,SH_STA_SCIDE,Croatia,FEMALE,9.9
2005,SH_STA_SCIDE,Croatia,MALE,31.0
2010,SH_STA_SCIDE,Croatia,BOTHSEX,18.3
2010,SH_STA_SCIDE,Croatia,FEMALE,9.0
2010,SH_STA_SCIDE,Croatia,MALE,28.4
2015,SH_STA_SCIDE,Croatia,BOTHSEX,17.6
2015,SH_STA_SCIDE,Croatia,FEMALE,9.2
2015,SH_STA_SCIDE,Croatia,MALE,26.7
2019,SH_STA_SCIDE,Croatia,BOTHSEX,16.4
2019,SH_STA_SCIDE,Croatia,FEMALE,8.1
2019,SH_STA_SCIDE,Croatia,MALE,25.3
2000,SH_STA_SCIDE,Cyprus,FEMALE,1.3
2000,SH_STA_SCIDE,Cyprus,BOTHSEX,2.0
2000,SH_STA_SCIDE,Cyprus,MALE,2.8
2005,SH_STA_SCIDE,Cyprus,FEMALE,1.3
2005,SH_STA_SCIDE,Cyprus,MALE,3.9
2005,SH_STA_SCIDE,Cyprus,BOTHSEX,2.6
2010,SH_STA_SCIDE,Cyprus,BOTHSEX,5.3
2010,SH_STA_SCIDE,Cyprus,FEMALE,2.1
2010,SH_STA_SCIDE,Cyprus,MALE,8.4
2015,SH_STA_SCIDE,Cyprus,MALE,7.3
2015,SH_STA_SCIDE,Estonia,FEMALE,5.4
2015,SH_STA_SCIDE,Estonia,MALE,27.9
2019,SH_STA_SCIDE,Estonia,BOTHSEX,14.9
2019,SH_STA_SCIDE,Estonia,FEMALE,6.5
2019,SH_STA_SCIDE,Estonia,MALE,24.3
2000,SH_STA_SCIDE,Finland,FEMALE,12.2
2000,SH_STA_SCIDE,Finland,MALE,37.0
2000,SH_STA_SCIDE,Finland,BOTHSEX,24.3
2005,SH_STA_SCIDE,Finland,BOTHSEX,19.9
2005,SH_STA_SCIDE,Finland,FEMALE,10.7
2005,SH_STA_SCIDE,Finland,MALE,29.5
2010,SH_STA_SCIDE,Finland,BOTHSEX,18.6
2010,SH_STA_SCIDE,Finland,FEMALE,9.3
2010,SH_STA_SCIDE,Finland,MALE,28.2
2015,SH_STA_SCIDE,Finland,BOTHSEX,14.0
2015,SH_STA_SCIDE,Finland,FEMALE,6.6
2015,SH_STA_SCIDE,Finland,MALE,21.7
2019,SH_STA_SCIDE,Finland,FEMALE,7.6
2019,SH_STA_SCIDE,Finland,MALE,23.2
2019,SH_STA_SCIDE,Finland,BOTHSEX,15.3
2000,SH_STA_SCIDE,France,MALE,29.2
2000,SH_STA_SCIDE,France,FEMALE,11.7
2000,SH_STA_SCIDE,France,BOTHSEX,20.2
2005,SH_STA_SCIDE,France,BOTHSEX,19.1
2005,SH_STA_SCIDE,France,FEMALE,11.1
2005,SH_STA_SCIDE,France,MALE,27.7
2010,SH_STA_SCIDE,France,BOTHSEX,18.2
2010,SH_STA_SCIDE,France,FEMALE,10.4
2010,SH_STA_SCIDE,France,MALE,26.5
2015,SH_STA_SCIDE,France,MALE,23.7
2015,SH_STA_SCIDE,France,BOTHSEX,15.8
2015,SH_STA_SCIDE,France,FEMALE,8.4
2019,SH_STA_SCIDE,France,BOTHSEX,13.8
2019,SH_STA_SCIDE,France,FEMALE,7.6
2019,SH_STA_SCIDE,France,MALE,20.4
