Year,SeriesCode,Страна ,Value
2002,SH_XPD_EARN25,Albania,5.64
2005,SH_XPD_EARN25,Albania,4.5
2008,SH_XPD_EARN25,Albania,4.08
2012,SH_XPD_EARN25,Albania,4.95
2017,SH_XPD_EARN25,Albania,1.41
2002,SH_XPD_EARN25,Azerbaijan,1.19
2003,SH_XPD_EARN25,Azerbaijan,1.2
2004,SH_XPD_EARN25,Azerbaijan,1.15
2005,SH_XPD_EARN25,Azerbaijan,1.1
2009,SH_XPD_EARN25,Australia,0.33
2015,SH_XPD_EARN25,Australia,0.4
2001,SH_XPD_EARN25,Armenia,5.92
2002,SH_XPD_EARN25,Armenia,5.96
2003,SH_XPD_EARN25,Armenia,5.57
2004,SH_XPD_EARN25,Armenia,7.5
2005,SH_XPD_EARN25,Armenia,6.18
2006,SH_XPD_EARN25,Armenia,5.91
2007,SH_XPD_EARN25,Armenia,4.06
2008,SH_XPD_EARN25,Armenia,3.53
2009,SH_XPD_EARN25,Armenia,3.68
2010,SH_XPD_EARN25,Armenia,5.35
2011,SH_XPD_EARN25,Armenia,3.32
2012,SH_XPD_EARN25,Armenia,4.48
2013,SH_XPD_EARN25,Armenia,4.87
2014,SH_XPD_EARN25,Armenia,6.03
2015,SH_XPD_EARN25,Armenia,7.58
2016,SH_XPD_EARN25,Armenia,5.75
2017,SH_XPD_EARN25,Armenia,6.0
2019,SH_XPD_EARN25,Armenia,8.94
2020,SH_XPD_EARN25,Armenia,5.49
2021,SH_XPD_EARN25,Armenia,5.93
2009,SH_XPD_EARN25,Belgium,1.39
2001,SH_XPD_EARN25,Bosnia and Herzegovina,3.45
2007,SH_XPD_EARN25,Bosnia and Herzegovina,1.9
2011,SH_XPD_EARN25,Bosnia and Herzegovina,1.27
2015,SH_XPD_EARN25,Bosnia and Herzegovina,1.39
2001,SH_XPD_EARN25,Bulgaria,0.96
2005,SH_XPD_EARN25,Bulgaria,0.44
2010,SH_XPD_EARN25,Bulgaria,0.76
2015,SH_XPD_EARN25,Bulgaria,1.27
2016,SH_XPD_EARN25,Bulgaria,2.96
2017,SH_XPD_EARN25,Bulgaria,2.87
2018,SH_XPD_EARN25,Bulgaria,3.07
2000,SH_XPD_EARN25,Belarus,0.26
2001,SH_XPD_EARN25,Belarus,0.22
2002,SH_XPD_EARN25,Belarus,0.22
2003,SH_XPD_EARN25,Belarus,0.24
2004,SH_XPD_EARN25,Belarus,0.14
2005,SH_XPD_EARN25,Belarus,0.08
2000,SH_XPD_EARN10,Republic of Moldova,6.89
2001,SH_XPD_EARN10,Republic of Moldova,8.76
2002,SH_XPD_EARN10,Republic of Moldova,9.58
2003,SH_XPD_EARN10,Republic of Moldova,10.61
2004,SH_XPD_EARN10,Republic of Moldova,9.44
2005,SH_XPD_EARN10,Republic of Moldova,10.75
2006,SH_XPD_EARN10,Republic of Moldova,15.06
2007,SH_XPD_EARN10,Republic of Moldova,14.45
2006,SH_XPD_EARN25,Belarus,0.06
2007,SH_XPD_EARN25,Belarus,0.22
2008,SH_XPD_EARN25,Belarus,0.15
2009,SH_XPD_EARN25,Belarus,0.25
2010,SH_XPD_EARN25,Belarus,0.16
2011,SH_XPD_EARN25,Belarus,0.35
2012,SH_XPD_EARN25,Belarus,0.23
2013,SH_XPD_EARN25,Belarus,0.52
2014,SH_XPD_EARN25,Belarus,0.36
2015,SH_XPD_EARN25,Belarus,0.55
2016,SH_XPD_EARN25,Belarus,0.61
2017,SH_XPD_EARN25,Belarus,0.66
2018,SH_XPD_EARN25,Belarus,0.46
2019,SH_XPD_EARN25,Belarus,0.58
2020,SH_XPD_EARN25,Belarus,0.59
2021,SH_XPD_EARN25,Belarus,1.16
2000,SH_XPD_EARN25,Canada,0.4
2001,SH_XPD_EARN25,Canada,0.4
2002,SH_XPD_EARN25,Canada,0.5
2003,SH_XPD_EARN25,Canada,0.6
2004,SH_XPD_EARN25,Canada,0.5
2005,SH_XPD_EARN25,Canada,0.4
2006,SH_XPD_EARN25,Canada,0.7
2007,SH_XPD_EARN25,Canada,0.6
2008,SH_XPD_EARN25,Canada,0.6
2009,SH_XPD_EARN25,Canada,0.5
2014,SH_XPD_EARN25,Canada,0.8
2015,SH_XPD_EARN25,Canada,0.5
2016,SH_XPD_EARN25,Canada,0.7
2017,SH_XPD_EARN25,Canada,0.9
2019,SH_XPD_EARN25,Canada,0.8
