Year,SeriesCode,Страна ,Value
2000,DC_TOF_HLTHL,Chile,0.12077
2001,DC_TOF_HLTHL,Chile,0.09706
2002,DC_TOF_HLTHL,Chile,0.35696
2003,DC_TOF_HLTHL,Chile,0.23256
2004,DC_TOF_HLTHL,Chile,2.13136
2005,DC_TOF_HLTHL,Chile,2.46825
2006,DC_TOF_HLTHL,Chile,0.59131
2007,DC_TOF_HLTHL,Chile,0.30316
2008,DC_TOF_HLTHL,Chile,0.30916
2009,DC_TOF_HLTHL,Chile,0.66911
2010,DC_TOF_HLTHL,Chile,1.175
2011,DC_TOF_HLTHL,Chile,0.82219
2012,DC_TOF_HLTHL,Chile,0.7313
2013,DC_TOF_HLTHL,Chile,0.38725
2014,DC_TOF_HLTHL,Chile,0.44968
2015,DC_TOF_HLTHL,Chile,0.38192
2000,DC_TOF_HLTHL,Albania,10.12307
2001,DC_TOF_HLTHL,Albania,4.84053
2002,DC_TOF_HLTHL,Albania,6.38912
2003,DC_TOF_HLTHL,Albania,11.12788
2004,DC_TOF_HLTHL,Albania,7.67291
2005,DC_TOF_HLTHL,Albania,16.1307
2006,DC_TOF_HLTHL,Albania,10.39921
2007,DC_TOF_HLTHL,Albania,9.99607
2016,DC_TOF_HLTHL,Chile,0.22159
2017,DC_TOF_HLTHL,Chile,0.71223
2000,DC_TOF_HLTHL,China,44.69672
2001,DC_TOF_HLTHL,China,38.88234
2002,DC_TOF_HLTHL,China,51.97921
2003,DC_TOF_HLTHL,China,65.58133
2004,DC_TOF_HLTHL,China,62.93758
2005,DC_TOF_HLTHL,China,57.72917
2008,DC_TOF_HLTHL,Albania,6.63976
2009,DC_TOF_HLTHL,Albania,3.27431
2010,DC_TOF_HLTHL,Albania,5.24349
2011,DC_TOF_HLTHL,Albania,5.48409
2012,DC_TOF_HLTHL,Albania,3.32267
2013,DC_TOF_HLTHL,Albania,1.89612
2014,DC_TOF_HLTHL,Albania,2.29721
2015,DC_TOF_HLTHL,Albania,2.31568
2006,DC_TOF_HLTHL,China,63.09875
2007,DC_TOF_HLTHL,China,114.33466
2008,DC_TOF_HLTHL,China,66.21634
2009,DC_TOF_HLTHL,China,119.25994
2010,DC_TOF_HLTHL,China,132.88379
2011,DC_TOF_HLTHL,China,82.45307
2012,DC_TOF_HLTHL,China,132.58084
2013,DC_TOF_HLTHL,China,104.56086
2000,DC_TOF_HLTHL,Serbia,17.00964
2001,DC_TOF_HLTHL,Serbia,12.96473
2002,DC_TOF_HLTHL,Serbia,5.37496
2003,DC_TOF_HLTHL,Serbia,4.7238
2004,DC_TOF_HLTHL,Serbia,2.66343
