Year,SeriesCode,Страна ,Value
2010,DC_TOF_HLTHNT,Albania,4.65892
2011,DC_TOF_HLTHNT,Albania,4.79228
2012,DC_TOF_HLTHNT,Albania,2.65776
2013,DC_TOF_HLTHNT,Albania,0.98946
2014,DC_TOF_HLTHNT,Albania,1.22892
2015,DC_TOF_HLTHNT,Albania,0.60612
2016,DC_TOF_HLTHNT,Albania,0.34313
2017,DC_TOF_HLTHNT,Albania,0.44823
2010,DC_TOF_HLTHNT,Кыргызстан,11.57125
2011,DC_TOF_HLTHNT,Кыргызстан,21.24729
2012,DC_TOF_HLTHNT,Кыргызстан,20.982
2013,DC_TOF_HLTHNT,Кыргызстан,17.4686
2014,DC_TOF_HLTHNT,Кыргызстан,26.30396
2015,DC_TOF_HLTHNT,Кыргызстан,23.70144
2016,DC_TOF_HLTHNT,Кыргызстан,19.11692
2017,DC_TOF_HLTHNT,Кыргызстан,26.89852
2018,DC_TOF_HLTHNT,Albania,7.04831
2019,DC_TOF_HLTHNT,Albania,4.54554
2020,DC_TOF_HLTHNT,Albania,3.88198
2021,DC_TOF_HLTHNT,Albania,25.03412
2010,DC_TOF_HLTHNT,Azerbaijan,9.74871
2011,DC_TOF_HLTHNT,Azerbaijan,14.40278
2012,DC_TOF_HLTHNT,Azerbaijan,4.51287
2013,DC_TOF_HLTHNT,Azerbaijan,10.75242
2014,DC_TOF_HLTHNT,Azerbaijan,8.5237
2015,DC_TOF_HLTHNT,Azerbaijan,5.93637
2016,DC_TOF_HLTHNT,Azerbaijan,4.0163
2017,DC_TOF_HLTHNT,Azerbaijan,9.13974
2018,DC_TOF_HLTHNT,Azerbaijan,3.30554
2019,DC_TOF_HLTHNT,Azerbaijan,4.24966
2020,DC_TOF_HLTHNT,Azerbaijan,6.28392
2021,DC_TOF_HLTHNT,Azerbaijan,3.84146
2018,DC_TOF_HLTHNT,Кыргызстан,25.69876
2019,DC_TOF_HLTHNT,Кыргызстан,21.31435
2020,DC_TOF_HLTHNT,Кыргызстан,25.42039
2021,DC_TOF_HLTHNT,Кыргызстан,33.95461
2010,DC_TOF_HLTHNT,Mexico,3.91188
2011,DC_TOF_HLTHNT,Mexico,3.53881
2012,DC_TOF_HLTHNT,Mexico,4.37321
2013,DC_TOF_HLTHNT,Mexico,2.76112
2010,DC_TOF_HLTHNT,Armenia,15.8891
2011,DC_TOF_HLTHNT,Armenia,11.56243
2012,DC_TOF_HLTHNT,Armenia,9.74072
2013,DC_TOF_HLTHNT,Armenia,10.39014
2014,DC_TOF_HLTHNT,Armenia,6.22034
2015,DC_TOF_HLTHNT,Armenia,6.02245
2016,DC_TOF_HLTHNT,Armenia,16.60318
2017,DC_TOF_HLTHNT,Armenia,4.35719
2014,DC_TOF_HLTHNT,Mexico,1.49484
2015,DC_TOF_HLTHNT,Mexico,0.67832
2016,DC_TOF_HLTHNT,Mexico,1.5762
2017,DC_TOF_HLTHNT,Mexico,4.46427
2018,DC_TOF_HLTHNT,Mexico,1.9973
2019,DC_TOF_HLTHNT,Mexico,3.37978
2020,DC_TOF_HLTHNT,Mexico,8.81908
2021,DC_TOF_HLTHNT,Mexico,5.05515
2018,DC_TOF_HLTHNT,Armenia,6.38629
2019,DC_TOF_HLTHNT,Armenia,1.66508
2020,DC_TOF_HLTHNT,Armenia,6.54432
2021,DC_TOF_HLTHNT,Armenia,7.68818
2010,DC_TOF_HLTHNT,Bosnia and Herzegovina,8.30572
2011,DC_TOF_HLTHNT,Bosnia and Herzegovina,6.43442
2012,DC_TOF_HLTHNT,Bosnia and Herzegovina,7.04437
2013,DC_TOF_HLTHNT,Bosnia and Herzegovina,5.60972
2014,DC_TOF_HLTHNT,Bosnia and Herzegovina,11.02618
2015,DC_TOF_HLTHNT,Bosnia and Herzegovina,4.62219
2016,DC_TOF_HLTHNT,Bosnia and Herzegovina,38.57925
2017,DC_TOF_HLTHNT,Bosnia and Herzegovina,35.97761
2018,DC_TOF_HLTHNT,Bosnia and Herzegovina,10.74307
2019,DC_TOF_HLTHNT,Bosnia and Herzegovina,5.82954
2020,DC_TOF_HLTHNT,Bosnia and Herzegovina,11.72761
2021,DC_TOF_HLTHNT,Bosnia and Herzegovina,49.94123
2010,DC_TOF_HLTHNT,Republic of Moldova,18.74775
2011,DC_TOF_HLTHNT,Republic of Moldova,27.36656
2012,DC_TOF_HLTHNT,Republic of Moldova,27.95185
2013,DC_TOF_HLTHNT,Republic of Moldova,26.16948
2014,DC_TOF_HLTHNT,Republic of Moldova,13.09844
2015,DC_TOF_HLTHNT,Republic of Moldova,12.1831
2016,DC_TOF_HLTHNT,Republic of Moldova,15.41675
2017,DC_TOF_HLTHNT,Republic of Moldova,13.04992
2018,DC_TOF_HLTHNT,Republic of Moldova,8.90036
2019,DC_TOF_HLTHNT,Republic of Moldova,9.4997
2020,DC_TOF_HLTHNT,Republic of Moldova,8.7322
2021,DC_TOF_HLTHNT,Republic of Moldova,18.16523
2010,DC_TOF_HLTHNT,Montenegro,0.85567
2011,DC_TOF_HLTHNT,Montenegro,0.18679
2012,DC_TOF_HLTHNT,Montenegro,0.30239
2013,DC_TOF_HLTHNT,Montenegro,0.22616
2014,DC_TOF_HLTHNT,Montenegro,-0.03512
2015,DC_TOF_HLTHNT,Montenegro,-0.4088
2016,DC_TOF_HLTHNT,Montenegro,0.838
2017,DC_TOF_HLTHNT,Montenegro,-0.4467
2018,DC_TOF_HLTHNT,Montenegro,-0.2989
2019,DC_TOF_HLTHNT,Montenegro,-0.29382
2020,DC_TOF_HLTHNT,Montenegro,1.71832
2021,DC_TOF_HLTHNT,Montenegro,13.68947
2010,DC_TOF_HLTHNT,Serbia,2.83504
2011,DC_TOF_HLTHNT,Serbia,2.08171
2012,DC_TOF_HLTHNT,Serbia,1.55048
2013,DC_TOF_HLTHNT,Serbia,1.88264
2014,DC_TOF_HLTHNT,Serbia,2.19548
2015,DC_TOF_HLTHNT,Serbia,1.10018
2016,DC_TOF_HLTHNT,Serbia,0.91035
2017,DC_TOF_HLTHNT,Serbia,28.33515
2010,DC_TOF_HLTHNT,Belarus,10.81096
2011,DC_TOF_HLTHNT,Belarus,5.72306
2012,DC_TOF_HLTHNT,Belarus,6.87121
2013,DC_TOF_HLTHNT,Belarus,6.04477
2014,DC_TOF_HLTHNT,Belarus,6.13823
2015,DC_TOF_HLTHNT,Belarus,1.41772
2016,DC_TOF_HLTHNT,Belarus,6.5452
2017,DC_TOF_HLTHNT,Belarus,3.27065
2018,DC_TOF_HLTHNT,Serbia,0.03907
2019,DC_TOF_HLTHNT,Serbia,28.11507
2020,DC_TOF_HLTHNT,Serbia,12.43961
2021,DC_TOF_HLTHNT,Serbia,42.44529
2010,DC_TOF_HLTHNT,Viet Nam,114.52119
2011,DC_TOF_HLTHNT,Viet Nam,98.86917
2012,DC_TOF_HLTHNT,Viet Nam,140.87158
2013,DC_TOF_HLTHNT,Viet Nam,135.1231
2018,DC_TOF_HLTHNT,Belarus,4.12369
2019,DC_TOF_HLTHNT,Belarus,6.62149
2020,DC_TOF_HLTHNT,Belarus,3.78348
2021,DC_TOF_HLTHNT,Belarus,21.67711
2010,DC_TOF_HLTHNT,Chile,1.17499
2011,DC_TOF_HLTHNT,Chile,0.82219
2012,DC_TOF_HLTHNT,Chile,0.7313
2013,DC_TOF_HLTHNT,Chile,0.38725
2014,DC_TOF_HLTHNT,Chile,0.44968
2015,DC_TOF_HLTHNT,Chile,0.38192
2016,DC_TOF_HLTHNT,Chile,0.22159
2017,DC_TOF_HLTHNT,Chile,0.40735
2010,DC_TOF_HLTHNT,China,118.8179
2011,DC_TOF_HLTHNT,China,11.1285
2012,DC_TOF_HLTHNT,China,106.67524
2013,DC_TOF_HLTHNT,China,74.41721
2014,DC_TOF_HLTHNT,Viet Nam,95.46423
2015,DC_TOF_HLTHNT,Viet Nam,78.25793
2016,DC_TOF_HLTHNT,Viet Nam,80.51856
2017,DC_TOF_HLTHNT,Viet Nam,90.07476
2018,DC_TOF_HLTHNT,Viet Nam,82.67862
2019,DC_TOF_HLTHNT,Viet Nam,69.35715
2020,DC_TOF_HLTHNT,Viet Nam,109.58562
2021,DC_TOF_HLTHNT,Viet Nam,188.86071
2010,DC_TOF_HLTHNT,Таджикистан,30.70407
2011,DC_TOF_HLTHNT,Таджикистан,26.59814
2012,DC_TOF_HLTHNT,Таджикистан,29.76368
2013,DC_TOF_HLTHNT,Таджикистан,25.83281
2014,DC_TOF_HLTHNT,Таджикистан,33.32209
2015,DC_TOF_HLTHNT,Таджикистан,26.51791
2016,DC_TOF_HLTHNT,Таджикистан,27.8205
2017,DC_TOF_HLTHNT,Таджикистан,41.71613
2014,DC_TOF_HLTHNT,China,51.62465
2015,DC_TOF_HLTHNT,China,61.29291
2016,DC_TOF_HLTHNT,China,143.24585
2017,DC_TOF_HLTHNT,China,114.81527
2018,DC_TOF_HLTHNT,China,36.42882
2019,DC_TOF_HLTHNT,China,12.7181
2020,DC_TOF_HLTHNT,China,0.26097
2021,DC_TOF_HLTHNT,China,19.99101
2010,DC_TOF_HLTHNT,Colombia,16.47605
2011,DC_TOF_HLTHNT,Colombia,13.47278
2012,DC_TOF_HLTHNT,Colombia,6.14288
2013,DC_TOF_HLTHNT,Colombia,10.22052
2014,DC_TOF_HLTHNT,Colombia,9.35064
2015,DC_TOF_HLTHNT,Colombia,1.84481
2016,DC_TOF_HLTHNT,Colombia,1.72099
2017,DC_TOF_HLTHNT,Colombia,10.82977
2018,DC_TOF_HLTHNT,Таджикистан,30.63751
2019,DC_TOF_HLTHNT,Таджикистан,28.87447
2020,DC_TOF_HLTHNT,Таджикистан,44.9945
2021,DC_TOF_HLTHNT,Таджикистан,83.53375
2010,DC_TOF_HLTHNT,Türkiye,0.68748
2011,DC_TOF_HLTHNT,Türkiye,0.73371
2012,DC_TOF_HLTHNT,Türkiye,2.44287
2013,DC_TOF_HLTHNT,Türkiye,3.03556
2018,DC_TOF_HLTHNT,Colombia,3.03974
2019,DC_TOF_HLTHNT,Colombia,0.99382
2020,DC_TOF_HLTHNT,Colombia,19.92689
2021,DC_TOF_HLTHNT,Colombia,170.51029
2010,DC_TOF_HLTHNT,Costa Rica,0.22089
2011,DC_TOF_HLTHNT,Costa Rica,-0.41273
2012,DC_TOF_HLTHNT,Costa Rica,0.43673
2013,DC_TOF_HLTHNT,Costa Rica,-0.80425
2014,DC_TOF_HLTHNT,Türkiye,1.94487
2015,DC_TOF_HLTHNT,Türkiye,1.94592
2016,DC_TOF_HLTHNT,Türkiye,32.57709
2017,DC_TOF_HLTHNT,Türkiye,186.54376
2018,DC_TOF_HLTHNT,Türkiye,70.75472
2019,DC_TOF_HLTHNT,Türkiye,80.45843
2020,DC_TOF_HLTHNT,Türkiye,16.3603
2021,DC_TOF_HLTHNT,Türkiye,14.68769
2014,DC_TOF_HLTHNT,Costa Rica,0.41088
2015,DC_TOF_HLTHNT,Costa Rica,-1.0627
2016,DC_TOF_HLTHNT,Costa Rica,-1.3875
2017,DC_TOF_HLTHNT,Costa Rica,-1.08861
2018,DC_TOF_HLTHNT,Costa Rica,1.98579
2019,DC_TOF_HLTHNT,Costa Rica,-0.56319
2020,DC_TOF_HLTHNT,Costa Rica,4.37301
2021,DC_TOF_HLTHNT,Costa Rica,13.72996
2010,DC_TOF_HLTHNT,Туркменистан,5.82391
2011,DC_TOF_HLTHNT,Туркменистан,5.85112
2012,DC_TOF_HLTHNT,Туркменистан,1.79061
2013,DC_TOF_HLTHNT,Туркменистан,6.02537
2014,DC_TOF_HLTHNT,Туркменистан,4.49841
2015,DC_TOF_HLTHNT,Туркменистан,2.75615
2016,DC_TOF_HLTHNT,Туркменистан,10.9926
2017,DC_TOF_HLTHNT,Туркменистан,3.04196
2018,DC_TOF_HLTHNT,Туркменистан,1.85057
2019,DC_TOF_HLTHNT,Туркменистан,2.84117
