Year,SeriesCode,Страна ,Education level,Sex,Value
2018,SE_TRA_GRDL,Albania,LOWSEC,FEMALE,59.39298
2018,SE_TRA_GRDL,Albania,PREPRI,MALE,0.0
2018,SE_TRA_GRDL,Albania,PREPRI,FEMALE,85.82278
2018,SE_TRA_GRDL,Albania,PRIMAR,FEMALE,90.90579
2018,SE_TRA_GRDL,Albania,PRIMAR,BOTHSEX,89.92081
2018,SE_TRA_GRDL,Albania,PREPRI,BOTHSEX,85.82278
2018,SE_TRA_GRDL,Albania,PRIMAR,MALE,84.3686
2018,SE_TRA_GRDL,Albania,LOWSEC,MALE,49.04714
2018,SE_TRA_GRDL,Albania,LOWSEC,BOTHSEX,55.97
2020,SE_TRA_GRDL,Albania,UPPSEC,FEMALE,57.00304
2020,SE_TRA_GRDL,Albania,LOWSEC,BOTHSEX,51.32635
2020,SE_TRA_GRDL,Albania,LOWSEC,FEMALE,47.1803
2020,SE_TRA_GRDL,Albania,LOWSEC,MALE,60.34557
2020,SE_TRA_GRDL,Albania,SECOND,BOTHSEX,52.39228
2020,SE_TRA_GRDL,Albania,SECOND,MALE,55.73248
2020,SE_TRA_GRDL,Albania,UPPSEC,BOTHSEX,54.16667
2020,SE_TRA_GRDL,Albania,SECOND,FEMALE,50.81885
2020,SE_TRA_GRDL,Albania,UPPSEC,MALE,48.38266
2021,SE_TRA_GRDL,Albania,UPPSEC,MALE,59.14454
2021,SE_TRA_GRDL,Albania,SECOND,FEMALE,65.10046
2021,SE_TRA_GRDL,Albania,UPPSEC,BOTHSEX,60.92731
2021,SE_TRA_GRDL,Albania,SECOND,MALE,71.21024
2021,SE_TRA_GRDL,Albania,SECOND,BOTHSEX,67.00588
2021,SE_TRA_GRDL,Albania,LOWSEC,MALE,78.40035
2021,SE_TRA_GRDL,Albania,PREPRI,MALE,0.0
2021,SE_TRA_GRDL,Albania,PRIMAR,MALE,72.2099
2021,SE_TRA_GRDL,Albania,LOWSEC,FEMALE,67.03762
2021,SE_TRA_GRDL,Albania,LOWSEC,BOTHSEX,70.55423
2021,SE_TRA_GRDL,Albania,UPPSEC,FEMALE,61.75068
2021,SE_TRA_GRDL,Albania,PRIMAR,BOTHSEX,61.76833
2001,SE_TRA_GRDL,Costa Rica,LOWSEC,BOTHSEX,84.65016
2001,SE_TRA_GRDL,Costa Rica,PREPRI,BOTHSEX,84.65943
2001,SE_TRA_GRDL,Costa Rica,PRIMAR,BOTHSEX,89.54435
2001,SE_TRA_GRDL,Costa Rica,UPPSEC,BOTHSEX,84.59695
2001,SE_TRA_GRDL,Costa Rica,SECOND,BOTHSEX,84.63311
2002,SE_TRA_GRDL,Costa Rica,SECOND,BOTHSEX,84.47761
2002,SE_TRA_GRDL,Costa Rica,UPPSEC,BOTHSEX,86.19881
2002,SE_TRA_GRDL,Costa Rica,PRIMAR,BOTHSEX,88.20727
2002,SE_TRA_GRDL,Costa Rica,PREPRI,BOTHSEX,79.23478
2002,SE_TRA_GRDL,Costa Rica,LOWSEC,BOTHSEX,83.72505
2004,SE_TRA_GRDL,Costa Rica,PREPRI,BOTHSEX,91.4948
2004,SE_TRA_GRDL,Costa Rica,PRIMAR,BOTHSEX,97.42543
2005,SE_TRA_GRDL,Costa Rica,PREPRI,FEMALE,88.79975
2005,SE_TRA_GRDL,Costa Rica,PREPRI,MALE,77.08333
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,MALE,96.70165
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,FEMALE,96.81005
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,BOTHSEX,96.78728
2005,SE_TRA_GRDL,Costa Rica,PREPRI,BOTHSEX,88.13232
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,FEMALE,87.96288
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,MALE,88.35726
2006,SE_TRA_GRDL,Costa Rica,LOWSEC,BOTHSEX,80.16826
2006,SE_TRA_GRDL,Costa Rica,LOWSEC,FEMALE,79.37961
2006,SE_TRA_GRDL,Costa Rica,PREPRI,BOTHSEX,81.83956
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,BOTHSEX,88.04313
