Year,SeriesCode,Страна ,Age,Sex,Value
2018,VC_VAW_MARR,Albania,15+,FEMALE,5.1
2018,VC_VAW_MARR,Albania,15-49,FEMALE,6.2
2018,VC_VAW_MARR,Azerbaijan,15-49,FEMALE,5.2
2018,VC_VAW_MARR,Azerbaijan,15+,FEMALE,4.0
2018,VC_VAW_MARR,Australia,15-49,FEMALE,2.9
2018,VC_VAW_MARR,Australia,15+,FEMALE,2.0
2018,VC_VAW_MARR,Austria,15+,FEMALE,2.8
2018,VC_VAW_MARR,Austria,15-49,FEMALE,3.6
2018,VC_VAW_MARR,Armenia,15-49,FEMALE,4.6
2018,VC_VAW_MARR,Armenia,15+,FEMALE,4.5
2018,VC_VAW_MARR,Belgium,15-49,FEMALE,4.8
2018,VC_VAW_MARR,Belgium,15+,FEMALE,3.3
2018,VC_VAW_MARR,Bosnia and Herzegovina,15-49,FEMALE,3.4
2018,VC_VAW_MARR,Bosnia and Herzegovina,15+,FEMALE,2.7
2018,VC_VAW_MARR,Bulgaria,15+,FEMALE,4.1
2018,VC_VAW_MARR,Bulgaria,15-49,FEMALE,5.9
2018,VC_VAW_MARR,Belarus,15-49,FEMALE,6.3
2018,VC_VAW_MARR,Belarus,15+,FEMALE,5.2
2018,VC_VAW_MARR,Canada,15-49,FEMALE,2.6
2018,VC_VAW_MARR,Canada,15+,FEMALE,1.7
2018,VC_VAW_MARR,Chile,15-49,FEMALE,5.8
2018,VC_VAW_MARR,Chile,15+,FEMALE,4.8
2018,VC_VAW_MARR,China,15+,FEMALE,5.9
2018,VC_VAW_MARR,China,15-49,FEMALE,7.6
2018,VC_VAW_MARR,Colombia,15-49,FEMALE,11.9
2018,VC_VAW_MARR,Colombia,15+,FEMALE,10.0
2018,VC_VAW_MARR,Costa Rica,15+,FEMALE,5.8
2018,VC_VAW_MARR,Costa Rica,15-49,FEMALE,7.2
2018,VC_VAW_MARR,Croatia,15+,FEMALE,2.8
2018,VC_VAW_MARR,Croatia,15-49,FEMALE,4.0
2018,VC_VAW_MARR,Cyprus,15-49,FEMALE,3.1
2018,VC_VAW_MARR,Cyprus,15+,FEMALE,3.0
2018,VC_VAW_MARR,Czechia,15-49,FEMALE,4.1
2018,VC_VAW_MARR,Czechia,15+,FEMALE,2.9
2018,VC_VAW_MARR,Denmark,15-49,FEMALE,3.3
2018,VC_VAW_MARR,Denmark,15+,FEMALE,2.0
2018,VC_VAW_MARR,Estonia,15+,FEMALE,2.7
2018,VC_VAW_MARR,Estonia,15-49,FEMALE,4.2
2018,VC_VAW_MARR,Finland,15+,FEMALE,5.6
2018,VC_VAW_MARR,Finland,15-49,FEMALE,8.1
2018,VC_VAW_MARR,France,15+,FEMALE,3.5
2018,VC_VAW_MARR,France,15-49,FEMALE,5.0
2018,VC_VAW_MARR,Georgia,15+,FEMALE,2.2
2018,VC_VAW_MARR,Georgia,15-49,FEMALE,2.9
2018,VC_VAW_MARR,Greece,15+,FEMALE,3.7
2018,VC_VAW_MARR,Greece,15-49,FEMALE,5.1
2018,VC_VAW_MARR,Hungary,15+,FEMALE,4.2
2018,VC_VAW_MARR,Hungary,15-49,FEMALE,5.7
2018,VC_VAW_MARR,Iceland,15+,FEMALE,1.8
2018,VC_VAW_MARR,Iceland,15-49,FEMALE,2.8
2018,VC_VAW_MARR,India,15+,FEMALE,15.9
2018,VC_VAW_MARR,India,15-49,FEMALE,18.4
2018,VC_VAW_MARR,Ireland,15+,FEMALE,2.7
2018,VC_VAW_MARR,Ireland,15-49,FEMALE,3.3
2018,VC_VAW_MARR,Israel,15-49,FEMALE,5.6
2018,VC_VAW_MARR,Israel,15+,FEMALE,4.4
2018,VC_VAW_MARR,Italy,15+,FEMALE,2.2
2018,VC_VAW_MARR,Italy,15-49,FEMALE,3.5
2018,VC_VAW_MARR,Japan,15+,FEMALE,3.0
2018,VC_VAW_MARR,Japan,15-49,FEMALE,3.9
2018,VC_VAW_MARR,Казахстан,15+,FEMALE,4.9
2018,VC_VAW_MARR,Казахстан,15-49,FEMALE,6.0
2018,VC_VAW_MARR,Republic of Korea,15+,FEMALE,8.8
2018,VC_VAW_MARR,Republic of Korea,15-49,FEMALE,8.0
2018,VC_VAW_MARR,Кыргызстан,15-49,FEMALE,13.3
2018,VC_VAW_MARR,Кыргызстан,15+,FEMALE,11.6
2018,VC_VAW_MARR,Latvia,15+,FEMALE,4.4
2018,VC_VAW_MARR,Latvia,15-49,FEMALE,6.3
2018,VC_VAW_MARR,Lithuania,15-49,FEMALE,5.2
2018,VC_VAW_MARR,Lithuania,15+,FEMALE,4.1
2018,VC_VAW_MARR,Luxembourg,15-49,FEMALE,3.5
2018,VC_VAW_MARR,Luxembourg,15+,FEMALE,2.7
2018,VC_VAW_MARR,Malta,15-49,FEMALE,4.0
2018,VC_VAW_MARR,Malta,15+,FEMALE,3.1
2018,VC_VAW_MARR,Mexico,15-49,FEMALE,9.9
2018,VC_VAW_MARR,Mexico,15+,FEMALE,8.9
2018,VC_VAW_MARR,Republic of Moldova,15+,FEMALE,8.2
2018,VC_VAW_MARR,Republic of Moldova,15-49,FEMALE,9.1
2018,VC_VAW_MARR,Montenegro,15-49,FEMALE,4.4
2018,VC_VAW_MARR,Montenegro,15+,FEMALE,3.5
2018,VC_VAW_MARR,Netherlands (Kingdom of the),15+,FEMALE,3.5
2018,VC_VAW_MARR,Netherlands (Kingdom of the),15-49,FEMALE,5.1
2018,VC_VAW_MARR,New Zealand,15+,FEMALE,3.2
2018,VC_VAW_MARR,New Zealand,15-49,FEMALE,4.2
2018,VC_VAW_MARR,Norway,15+,FEMALE,3.4
