Year,SeriesCode,Страна ,Age,Location,Sex,Value
2011,SL_DOM_TSPDDC,Albania,65+,ALLAREA,MALE,6.18056
2011,SL_DOM_TSPDDC,Albania,10+,ALLAREA,MALE,3.125
2011,SL_DOM_TSPDDC,Albania,65+,ALLAREA,FEMALE,17.08333
2011,SL_DOM_TSPDDC,Albania,10+,RURAL,MALE,3.54167
2011,SL_DOM_TSPDDC,Albania,10+,RURAL,FEMALE,21.31944
2011,SL_DOM_TSPDDC,Albania,65+,RURAL,FEMALE,18.54167
2011,SL_DOM_TSPDDC,Albania,10+,ALLAREA,FEMALE,18.75
2011,SL_DOM_TSPDDC,Albania,65+,RURAL,MALE,6.25
2011,SL_DOM_TSPDDC,Albania,10+,URBAN,MALE,2.56944
2011,SL_DOM_TSPDDC,Albania,65+,URBAN,MALE,5.97222
2011,SL_DOM_TSPDDC,Albania,10+,URBAN,FEMALE,16.38889
2011,SL_DOM_TSPDDC,Albania,65+,URBAN,FEMALE,15.83333
2006,SL_DOM_TSPDDC,Australia,15+,ALLAREA,MALE,9.375
2006,SL_DOM_TSPDDC,Australia,15+,ALLAREA,FEMALE,15.97222
2021,SL_DOM_TSPDDC,Australia,15+,ALLAREA,MALE,9.02778
2021,SL_DOM_TSPDDC,Australia,15+,ALLAREA,FEMALE,12.98611
2009,SL_DOM_TSPDDC,Austria,65+,RURAL,FEMALE,20.71649
2009,SL_DOM_TSPDDC,Austria,55-64,RURAL,FEMALE,21.65204
2009,SL_DOM_TSPDDC,Austria,10+,ALLAREA,FEMALE,15.43485
2009,SL_DOM_TSPDDC,Austria,10+,RURAL,MALE,8.55986
2009,SL_DOM_TSPDDC,Austria,15+,RURAL,MALE,8.95086
2009,SL_DOM_TSPDDC,Austria,15-24,ALLAREA,FEMALE,6.63837
2009,SL_DOM_TSPDDC,Austria,45-54,ALLAREA,FEMALE,17.17911
2009,SL_DOM_TSPDDC,Austria,15+,ALLAREA,FEMALE,16.03486
2009,SL_DOM_TSPDDC,Austria,25-44,ALLAREA,FEMALE,14.60996
2009,SL_DOM_TSPDDC,Austria,10+,ALLAREA,MALE,8.18852
2009,SL_DOM_TSPDDC,Austria,65+,ALLAREA,MALE,14.23369
