Year,SeriesCode,Страна ,Value
2022,SH_LGR_ACSRHES2,Albania,100
2022,SH_LGR_ACSRHES2,Australia,83
2019,SH_LGR_ACSRHES2,Armenia,93
2019,SH_LGR_ACSRHES2,Belgium,100
2022,SH_LGR_ACSRHES2,Bosnia and Herzegovina,33
2022,SH_LGR_ACSRHES2,Bulgaria,37
2022,SH_LGR_ACSRHES2,Belarus,85
2022,SH_LGR_ACSRHES2,Canada,33
2022,SH_LGR_ACSRHES2,Chile,100
2022,SH_LGR_ACSRHES2,China,100
2022,SH_LGR_ACSRHES2,Colombia,100
2022,SH_LGR_ACSRHES2,Costa Rica,92
2022,SH_LGR_ACSRHES2,Croatia,100
2022,SH_LGR_ACSRHES2,Cyprus,33
2022,SH_LGR_ACSRHES2,Czechia,78
2022,SH_LGR_ACSRHES2,Denmark,85
2022,SH_LGR_ACSRHES2,Estonia,100
2022,SH_LGR_ACSRHES2,Finland,100
2022,SH_LGR_ACSRHES2,Georgia,100
2022,SH_LGR_ACSRHES2,Germany,85
2022,SH_LGR_ACSRHES2,Greece,33
2022,SH_LGR_ACSRHES2,Hungary,100
2022,SH_LGR_ACSRHES2,India,100
2022,SH_LGR_ACSRHES2,Japan,100
2022,SH_LGR_ACSRHES2,Казахстан,85
2019,SH_LGR_ACSRHES2,Кыргызстан,70
2019,SH_LGR_ACSRHES2,Latvia,33
2022,SH_LGR_ACSRHES2,Lithuania,85
2019,SH_LGR_ACSRHES2,Malta,100
2022,SH_LGR_ACSRHES2,Mexico,100
2019,SH_LGR_ACSRHES2,Republic of Moldova,67
2019,SH_LGR_ACSRHES2,Montenegro,37
2022,SH_LGR_ACSRHES2,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHES2,New Zealand,100
2022,SH_LGR_ACSRHES2,Norway,100
2022,SH_LGR_ACSRHES2,Poland,85
2022,SH_LGR_ACSRHES2,Portugal,100
2022,SH_LGR_ACSRHES2,Romania,100
2022,SH_LGR_ACSRHES2,Serbia,100
2022,SH_LGR_ACSRHES2,Slovakia,78
2019,SH_LGR_ACSRHES2,Viet Nam,52
2022,SH_LGR_ACSRHES2,Slovenia,92
2019,SH_LGR_ACSRHES2,Sweden,100
2019,SH_LGR_ACSRHES2,Switzerland,100
2022,SH_LGR_ACSRHES2,United Arab Emirates,100
2022,SH_LGR_ACSRHES2,Türkiye,100
2022,SH_LGR_ACSRHES2,Туркменистан,100
2022,SH_LGR_ACSRHES2,Ukraine,100
2022,SH_LGR_ACSRHES2,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHES2,Узбекистан,100
2022,SH_LGR_ACSRHES2,Узбекистан,100
