Year,SeriesCode,Страна ,Deviation Level,Value
2017,EN_LKW_QLTRST,Czechia,MEDIUM,21.98488
2017,EN_LKW_QLTRST,Czechia,LOW,65.73582
2017,EN_LKW_QLTRST,Czechia,EXTREME,2.42179
2017,EN_LKW_QLTRST,Czechia,HIGH,9.85751
2018,EN_LKW_QLTRST,Czechia,LOW,66.23291
2018,EN_LKW_QLTRST,Czechia,HIGH,10.51347
2018,EN_LKW_QLTRST,Czechia,EXTREME,1.5653
2018,EN_LKW_QLTRST,Czechia,MEDIUM,21.68832
2019,EN_LKW_QLTRST,Czechia,HIGH,6.54101
2019,EN_LKW_QLTRST,Czechia,LOW,78.37523
2019,EN_LKW_QLTRST,Czechia,EXTREME,1.42023
2019,EN_LKW_QLTRST,Czechia,MEDIUM,13.66353
2020,EN_LKW_QLTRST,Czechia,LOW,79.80368
2020,EN_LKW_QLTRST,Czechia,MEDIUM,13.22456
2020,EN_LKW_QLTRST,Czechia,HIGH,5.59593
2020,EN_LKW_QLTRST,Czechia,EXTREME,1.37583
2021,EN_LKW_QLTRST,Czechia,HIGH,4.40643
2021,EN_LKW_QLTRST,Czechia,EXTREME,1.03074
2021,EN_LKW_QLTRST,Czechia,LOW,82.67311
2021,EN_LKW_QLTRST,Czechia,MEDIUM,11.88972
2017,EN_LKW_QLTRST,Denmark,MEDIUM,12.15851
2017,EN_LKW_QLTRST,Denmark,LOW,84.76083
2017,EN_LKW_QLTRST,Denmark,EXTREME,0.50081
2017,EN_LKW_QLTRST,Denmark,HIGH,2.57985
2018,EN_LKW_QLTRST,Denmark,LOW,85.60143
2018,EN_LKW_QLTRST,Denmark,EXTREME,0.28004
2018,EN_LKW_QLTRST,Denmark,HIGH,1.62403
2018,EN_LKW_QLTRST,Denmark,MEDIUM,12.4945
2019,EN_LKW_QLTRST,Denmark,MEDIUM,8.7694
2019,EN_LKW_QLTRST,Denmark,LOW,89.38386
2019,EN_LKW_QLTRST,Denmark,HIGH,1.50434
2019,EN_LKW_QLTRST,Denmark,EXTREME,0.3424
2020,EN_LKW_QLTRST,Denmark,HIGH,1.46975
2020,EN_LKW_QLTRST,Denmark,LOW,91.39674
2020,EN_LKW_QLTRST,Denmark,MEDIUM,6.72236
2020,EN_LKW_QLTRST,Denmark,EXTREME,0.41114
2021,EN_LKW_QLTRST,Denmark,HIGH,1.37402
2021,EN_LKW_QLTRST,Denmark,EXTREME,0.40094
2021,EN_LKW_QLTRST,Denmark,LOW,93.28131
2021,EN_LKW_QLTRST,Denmark,MEDIUM,4.94373
2017,EN_LKW_QLTRST,Estonia,EXTREME,0.00742
2017,EN_LKW_QLTRST,Estonia,LOW,85.88477
2017,EN_LKW_QLTRST,Estonia,HIGH,0.93415
2017,EN_LKW_QLTRST,Estonia,MEDIUM,4.84033
2018,EN_LKW_QLTRST,Estonia,MEDIUM,1.02566
2018,EN_LKW_QLTRST,Estonia,LOW,73.93835
2018,EN_LKW_QLTRST,Estonia,EXTREME,0.00649
2018,EN_LKW_QLTRST,Estonia,HIGH,0.0295
2019,EN_LKW_QLTRST,Estonia,LOW,89.43177
2019,EN_LKW_QLTRST,Estonia,MEDIUM,2.19429
2019,EN_LKW_QLTRST,Estonia,HIGH,0.03664
2019,EN_LKW_QLTRST,Estonia,EXTREME,0.00397
2020,EN_LKW_QLTRST,Estonia,EXTREME,0.14433
2020,EN_LKW_QLTRST,Estonia,HIGH,0.35246
2020,EN_LKW_QLTRST,Estonia,MEDIUM,2.90749
2020,EN_LKW_QLTRST,Estonia,LOW,88.26239
2021,EN_LKW_QLTRST,Estonia,EXTREME,0.01207
2021,EN_LKW_QLTRST,Estonia,HIGH,0.07702
2021,EN_LKW_QLTRST,Estonia,LOW,91.11439
2021,EN_LKW_QLTRST,Estonia,MEDIUM,0.4632
2017,EN_LKW_QLTRST,Finland,MEDIUM,15.92155
2017,EN_LKW_QLTRST,Finland,HIGH,11.27694
2017,EN_LKW_QLTRST,Finland,EXTREME,2.39584
2017,EN_LKW_QLTRST,Finland,LOW,53.73901
2018,EN_LKW_QLTRST,Finland,MEDIUM,16.46186
2018,EN_LKW_QLTRST,Finland,EXTREME,1.59158
2018,EN_LKW_QLTRST,Finland,LOW,56.03452
2018,EN_LKW_QLTRST,Finland,HIGH,9.24537
2019,EN_LKW_QLTRST,Finland,LOW,61.72529
2019,EN_LKW_QLTRST,Finland,HIGH,3.58859
2019,EN_LKW_QLTRST,Finland,MEDIUM,9.00698
2019,EN_LKW_QLTRST,Finland,EXTREME,0.67913
2017,EN_LKW_QLTRST,Albania,EXTREME,0.24085
2017,EN_LKW_QLTRST,Albania,HIGH,1.83638
2017,EN_LKW_QLTRST,Albania,MEDIUM,6.69264
2017,EN_LKW_QLTRST,Albania,LOW,91.23014
2018,EN_LKW_QLTRST,Albania,HIGH,3.54366
2018,EN_LKW_QLTRST,Albania,LOW,88.56531
2018,EN_LKW_QLTRST,Albania,MEDIUM,7.79387
2018,EN_LKW_QLTRST,Albania,EXTREME,0.09715
2019,EN_LKW_QLTRST,Albania,EXTREME,0.02649
2019,EN_LKW_QLTRST,Albania,MEDIUM,4.84949
2019,EN_LKW_QLTRST,Albania,LOW,94.51049
2019,EN_LKW_QLTRST,Albania,HIGH,0.61353
2020,EN_LKW_QLTRST,Finland,MEDIUM,11.0081
2020,EN_LKW_QLTRST,Finland,EXTREME,1.35052
2020,EN_LKW_QLTRST,Finland,LOW,66.07196
2020,EN_LKW_QLTRST,Finland,HIGH,4.90276
2021,EN_LKW_QLTRST,Finland,MEDIUM,12.41972
2021,EN_LKW_QLTRST,Finland,EXTREME,1.09327
2021,EN_LKW_QLTRST,Finland,HIGH,4.55695
2021,EN_LKW_QLTRST,Finland,LOW,65.2634
2017,EN_LKW_QLTRST,France,LOW,91.78737
2017,EN_LKW_QLTRST,France,HIGH,1.60711
2017,EN_LKW_QLTRST,France,MEDIUM,6.59064
2017,EN_LKW_QLTRST,France,EXTREME,0.01488
2018,EN_LKW_QLTRST,France,MEDIUM,10.31384
2018,EN_LKW_QLTRST,France,LOW,88.8925
2018,EN_LKW_QLTRST,France,EXTREME,0.04714
2018,EN_LKW_QLTRST,France,HIGH,0.74652
2019,EN_LKW_QLTRST,France,EXTREME,0.07753
2019,EN_LKW_QLTRST,France,HIGH,0.73671
2019,EN_LKW_QLTRST,France,MEDIUM,2.97294
2019,EN_LKW_QLTRST,France,LOW,96.21281
2020,EN_LKW_QLTRST,France,MEDIUM,2.60045
2020,EN_LKW_QLTRST,France,EXTREME,0.03572
2020,EN_LKW_QLTRST,France,LOW,96.71978
2020,EN_LKW_QLTRST,France,HIGH,0.64405
2021,EN_LKW_QLTRST,France,HIGH,2.85386
2021,EN_LKW_QLTRST,France,LOW,89.06531
2021,EN_LKW_QLTRST,France,EXTREME,0.24271
2021,EN_LKW_QLTRST,France,MEDIUM,7.83812
2017,EN_LKW_QLTRST,Germany,EXTREME,0.05838
2017,EN_LKW_QLTRST,Germany,HIGH,2.65144
2017,EN_LKW_QLTRST,Germany,LOW,86.33252
2017,EN_LKW_QLTRST,Germany,MEDIUM,10.95766
2018,EN_LKW_QLTRST,Germany,EXTREME,0.07395
2018,EN_LKW_QLTRST,Germany,MEDIUM,9.62477
2018,EN_LKW_QLTRST,Germany,HIGH,1.66256
2018,EN_LKW_QLTRST,Germany,LOW,88.63872
2019,EN_LKW_QLTRST,Germany,EXTREME,0.02241
2019,EN_LKW_QLTRST,Germany,HIGH,0.61291
2019,EN_LKW_QLTRST,Germany,LOW,94.16334
2019,EN_LKW_QLTRST,Germany,MEDIUM,5.20134
2020,EN_LKW_QLTRST,Germany,EXTREME,0.05835
2020,EN_LKW_QLTRST,Germany,LOW,95.22443
2020,EN_LKW_QLTRST,Germany,MEDIUM,4.19383
2020,EN_LKW_QLTRST,Germany,HIGH,0.52338
2021,EN_LKW_QLTRST,Germany,MEDIUM,4.37472
2021,EN_LKW_QLTRST,Germany,EXTREME,0.03748
2021,EN_LKW_QLTRST,Germany,LOW,95.009
2021,EN_LKW_QLTRST,Germany,HIGH,0.5788
2017,EN_LKW_QLTRST,Greece,EXTREME,0.00589
2017,EN_LKW_QLTRST,Greece,LOW,94.89454
2017,EN_LKW_QLTRST,Greece,MEDIUM,4.90952
2017,EN_LKW_QLTRST,Greece,HIGH,0.19006
2018,EN_LKW_QLTRST,Greece,EXTREME,0.00261
2018,EN_LKW_QLTRST,Greece,HIGH,1.77207
2018,EN_LKW_QLTRST,Greece,MEDIUM,16.16464
2018,EN_LKW_QLTRST,Greece,LOW,82.06068
2019,EN_LKW_QLTRST,Greece,HIGH,3.02415
2019,EN_LKW_QLTRST,Greece,EXTREME,0.0
2019,EN_LKW_QLTRST,Greece,LOW,90.01581
2019,EN_LKW_QLTRST,Greece,MEDIUM,6.96003
2020,EN_LKW_QLTRST,Albania,MEDIUM,6.75361
2020,EN_LKW_QLTRST,Albania,EXTREME,0.01383
2020,EN_LKW_QLTRST,Albania,HIGH,0.4307
2020,EN_LKW_QLTRST,Albania,LOW,92.80185
2021,EN_LKW_QLTRST,Albania,HIGH,2.46875
2021,EN_LKW_QLTRST,Albania,LOW,90.75018
2021,EN_LKW_QLTRST,Albania,MEDIUM,6.74656
2021,EN_LKW_QLTRST,Albania,EXTREME,0.0345
2017,EN_LKW_QLTRST,Azerbaijan,MEDIUM,1.48417
2017,EN_LKW_QLTRST,Azerbaijan,EXTREME,0.16181
2017,EN_LKW_QLTRST,Azerbaijan,LOW,98.1328
2017,EN_LKW_QLTRST,Azerbaijan,HIGH,0.22121
2018,EN_LKW_QLTRST,Azerbaijan,EXTREME,0.15992
2018,EN_LKW_QLTRST,Azerbaijan,LOW,97.6812
2018,EN_LKW_QLTRST,Azerbaijan,MEDIUM,1.91806
2018,EN_LKW_QLTRST,Azerbaijan,HIGH,0.24082
2019,EN_LKW_QLTRST,Azerbaijan,EXTREME,0.19848
2019,EN_LKW_QLTRST,Azerbaijan,HIGH,0.23096
2019,EN_LKW_QLTRST,Azerbaijan,MEDIUM,4.29338
2019,EN_LKW_QLTRST,Azerbaijan,LOW,95.27718
2020,EN_LKW_QLTRST,Azerbaijan,LOW,96.42469
2020,EN_LKW_QLTRST,Azerbaijan,HIGH,0.27943
2020,EN_LKW_QLTRST,Azerbaijan,EXTREME,0.23828
2020,EN_LKW_QLTRST,Azerbaijan,MEDIUM,3.0576
2020,EN_LKW_QLTRST,Greece,HIGH,0.15341
2020,EN_LKW_QLTRST,Greece,LOW,98.72559
2020,EN_LKW_QLTRST,Greece,MEDIUM,1.08344
2020,EN_LKW_QLTRST,Greece,EXTREME,0.03757
2021,EN_LKW_QLTRST,Greece,MEDIUM,1.87694
2021,EN_LKW_QLTRST,Greece,LOW,97.93807
2021,EN_LKW_QLTRST,Greece,HIGH,0.153
2021,EN_LKW_QLTRST,Greece,EXTREME,0.03199
2017,EN_LKW_QLTRST,Hungary,HIGH,0.08173
2017,EN_LKW_QLTRST,Hungary,EXTREME,0.01177
2017,EN_LKW_QLTRST,Hungary,LOW,99.32106
2017,EN_LKW_QLTRST,Hungary,MEDIUM,0.58544
2018,EN_LKW_QLTRST,Hungary,HIGH,0.07065
2018,EN_LKW_QLTRST,Hungary,EXTREME,0.01239
2018,EN_LKW_QLTRST,Hungary,MEDIUM,0.28062
2018,EN_LKW_QLTRST,Hungary,LOW,99.63633
2019,EN_LKW_QLTRST,Hungary,HIGH,0.04142
