Year,SeriesCode,Страна ,Location,Value
2000,EG_EGY_CLEAN,Albania,ALLAREA,39
2000,EG_EGY_CLEAN,Albania,RURAL,19
2000,EG_EGY_CLEAN,Albania,URBAN,67
2001,EG_EGY_CLEAN,Albania,ALLAREA,41
2001,EG_EGY_CLEAN,Albania,RURAL,20
2001,EG_EGY_CLEAN,Albania,URBAN,69
2002,EG_EGY_CLEAN,Albania,ALLAREA,44
2002,EG_EGY_CLEAN,Albania,RURAL,23
2002,EG_EGY_CLEAN,Albania,URBAN,71
2003,EG_EGY_CLEAN,Albania,ALLAREA,46
2003,EG_EGY_CLEAN,Albania,RURAL,25
2003,EG_EGY_CLEAN,Albania,URBAN,74
2004,EG_EGY_CLEAN,Albania,ALLAREA,49
2004,EG_EGY_CLEAN,Albania,RURAL,27
2004,EG_EGY_CLEAN,Albania,URBAN,76
2005,EG_EGY_CLEAN,Albania,ALLAREA,52
2005,EG_EGY_CLEAN,Albania,RURAL,30
2005,EG_EGY_CLEAN,Albania,URBAN,78
2006,EG_EGY_CLEAN,Albania,ALLAREA,55
2006,EG_EGY_CLEAN,Albania,RURAL,32
2006,EG_EGY_CLEAN,Albania,URBAN,80
2007,EG_EGY_CLEAN,Albania,RURAL,36
2007,EG_EGY_CLEAN,Albania,ALLAREA,58
2007,EG_EGY_CLEAN,Albania,URBAN,82
2008,EG_EGY_CLEAN,Albania,ALLAREA,61
2008,EG_EGY_CLEAN,Albania,RURAL,38
2008,EG_EGY_CLEAN,Albania,URBAN,83
2009,EG_EGY_CLEAN,Albania,ALLAREA,63
2009,EG_EGY_CLEAN,Albania,RURAL,41
2009,EG_EGY_CLEAN,Albania,URBAN,85
2010,EG_EGY_CLEAN,Albania,RURAL,44
2010,EG_EGY_CLEAN,Albania,ALLAREA,66
2010,EG_EGY_CLEAN,Albania,URBAN,86
2011,EG_EGY_CLEAN,Albania,ALLAREA,68
2011,EG_EGY_CLEAN,Albania,RURAL,47
2011,EG_EGY_CLEAN,Albania,URBAN,87
2012,EG_EGY_CLEAN,Albania,ALLAREA,70
2012,EG_EGY_CLEAN,Albania,RURAL,50
2012,EG_EGY_CLEAN,Albania,URBAN,88
2013,EG_EGY_CLEAN,Albania,RURAL,52
2013,EG_EGY_CLEAN,Albania,ALLAREA,72
2013,EG_EGY_CLEAN,Albania,URBAN,89
2014,EG_EGY_CLEAN,Albania,ALLAREA,74
2014,EG_EGY_CLEAN,Albania,RURAL,55
2014,EG_EGY_CLEAN,Albania,URBAN,90
2015,EG_EGY_CLEAN,Albania,ALLAREA,76
2015,EG_EGY_CLEAN,Albania,RURAL,57
2015,EG_EGY_CLEAN,Albania,URBAN,91
2016,EG_EGY_CLEAN,Albania,ALLAREA,78
2016,EG_EGY_CLEAN,Albania,RURAL,59
2016,EG_EGY_CLEAN,Albania,URBAN,91
2017,EG_EGY_CLEAN,Albania,ALLAREA,79
2017,EG_EGY_CLEAN,Albania,RURAL,61
2017,EG_EGY_CLEAN,Albania,URBAN,92
2018,EG_EGY_CLEAN,Albania,ALLAREA,80
2018,EG_EGY_CLEAN,Albania,RURAL,63
2018,EG_EGY_CLEAN,Albania,URBAN,92
2019,EG_EGY_CLEAN,Albania,ALLAREA,82
2019,EG_EGY_CLEAN,Albania,RURAL,65
2019,EG_EGY_CLEAN,Albania,URBAN,93
2020,EG_EGY_CLEAN,Albania,ALLAREA,83
2020,EG_EGY_CLEAN,Albania,RURAL,66
2020,EG_EGY_CLEAN,Albania,URBAN,94
2021,EG_EGY_CLEAN,Albania,RURAL,68
2021,EG_EGY_CLEAN,Albania,URBAN,94
2021,EG_EGY_CLEAN,Albania,ALLAREA,84
2014,EG_EGY_CLEAN,Estonia,ALLAREA,95
2014,EG_EGY_CLEAN,Estonia,RURAL,95
2014,EG_EGY_CLEAN,Estonia,URBAN,95
2015,EG_EGY_CLEAN,Estonia,RURAL,95
2015,EG_EGY_CLEAN,Estonia,URBAN,95
2015,EG_EGY_CLEAN,Estonia,ALLAREA,95
2016,EG_EGY_CLEAN,Estonia,RURAL,95
2016,EG_EGY_CLEAN,Estonia,ALLAREA,95
2016,EG_EGY_CLEAN,Estonia,URBAN,95
2017,EG_EGY_CLEAN,Estonia,ALLAREA,95
2017,EG_EGY_CLEAN,Estonia,RURAL,95
2012,EG_EGY_CLEAN,Latvia,ALLAREA,95
2012,EG_EGY_CLEAN,Latvia,URBAN,95
2012,EG_EGY_CLEAN,Latvia,RURAL,95
2013,EG_EGY_CLEAN,Latvia,ALLAREA,95
2013,EG_EGY_CLEAN,Latvia,URBAN,95
2013,EG_EGY_CLEAN,Latvia,RURAL,95
2014,EG_EGY_CLEAN,Latvia,ALLAREA,95
2014,EG_EGY_CLEAN,Latvia,URBAN,95
2014,EG_EGY_CLEAN,Latvia,RURAL,95
