Year,SeriesCode,Страна ,Migratory status,Sex,Value
2000,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,14.0
2001,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,9.0
2001,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,1.0
2001,SL_EMP_INJUR,Azerbaijan,_T,MALE,15.0
2002,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,4.0
2002,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,12.0
2002,SL_EMP_INJUR,Azerbaijan,_T,MALE,17.0
2003,SL_EMP_INJUR,Azerbaijan,_T,MALE,29.0
2003,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,16.0
2003,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,0.8
2004,SL_EMP_INJUR,Azerbaijan,_T,MALE,34.0
2004,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,19.0
2004,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,4.0
2005,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,2.0
2005,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,15.0
2005,SL_EMP_INJUR,Azerbaijan,_T,MALE,27.0
2006,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,20.0
2006,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,2.0
2006,SL_EMP_INJUR,Azerbaijan,_T,MALE,36.0
2007,SL_EMP_INJUR,Azerbaijan,_T,MALE,37.0
2007,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,20.0
2007,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,2.0
2008,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,21.0
2008,SL_EMP_INJUR,Azerbaijan,_T,MALE,39.0
2008,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,3.0
2016,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,12.0
2016,SL_EMP_INJUR,Azerbaijan,_T,MALE,19.0
2016,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,2.0
2017,SL_EMP_INJUR,Azerbaijan,_T,MALE,11.0
2017,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,8.0
2017,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,3.0
2018,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,9.0
2018,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,1.0
2018,SL_EMP_INJUR,Azerbaijan,_T,MALE,15.0
2019,SL_EMP_INJUR,Azerbaijan,_T,MALE,21.0
2019,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,5.0
2019,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,15.0
2020,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,12.0
2021,SL_EMP_INJUR,Azerbaijan,_T,FEMALE,10.0
2021,SL_EMP_INJUR,Azerbaijan,_T,BOTHSEX,16.0
2021,SL_EMP_INJUR,Azerbaijan,_T,MALE,20.0
