Year,SeriesCode,GeoAreaName,Sex,Value
2019,SI_COV_MATNL,Albania,FEMALE,47.9
2016,SI_COV_MATNL,Azerbaijan,FEMALE,14.0
2020,SI_COV_MATNL,Azerbaijan,FEMALE,16.0
2020,SI_COV_MATNL,Australia,FEMALE,100.0
2016,SI_COV_MATNL,Austria,FEMALE,100.0
2020,SI_COV_MATNL,Austria,FEMALE,100.0
2016,SI_COV_MATNL,Armenia,FEMALE,61.0
2020,SI_COV_MATNL,Armenia,FEMALE,61.6
2016,SI_COV_MATNL,Belgium,FEMALE,100.0
2020,SI_COV_MATNL,Belgium,FEMALE,100.0
2020,SI_COV_MATNL,Bosnia and Herzegovina,FEMALE,100.0
2016,SI_COV_MATNL,Bulgaria,FEMALE,100.0
2020,SI_COV_MATNL,Bulgaria,FEMALE,100.0
2020,SI_COV_MATNL,Belarus,FEMALE,100.0
2016,SI_COV_MATNL,Canada,FEMALE,100.0
2020,SI_COV_MATNL,Canada,FEMALE,100.0
2016,SI_COV_MATNL,Chile,FEMALE,44.0
2020,SI_COV_MATNL,Chile,FEMALE,46.6
2017,SI_COV_MATNL,China,FEMALE,64.9
2020,SI_COV_MATNL,China,FEMALE,69.0
2020,SI_COV_MATNL,Costa Rica,FEMALE,23.4
2021,SI_COV_MATNL,Costa Rica,FEMALE,27.1
2016,SI_COV_MATNL,Croatia,FEMALE,100.0
2020,SI_COV_MATNL,Croatia,FEMALE,100.0
2016,SI_COV_MATNL,Cyprus,FEMALE,100.0
2020,SI_COV_MATNL,Cyprus,FEMALE,100.0
2016,SI_COV_MATNL,Czechia,FEMALE,100.0
2020,SI_COV_MATNL,Czechia,FEMALE,100.0
2016,SI_COV_MATNL,Denmark,FEMALE,100.0
2020,SI_COV_MATNL,Denmark,FEMALE,100.0
2016,SI_COV_MATNL,Estonia,FEMALE,100.0
2020,SI_COV_MATNL,Estonia,FEMALE,100.0
2016,SI_COV_MATNL,Finland,FEMALE,100.0
2020,SI_COV_MATNL,Finland,FEMALE,100.0
2016,SI_COV_MATNL,France,FEMALE,100.0
2020,SI_COV_MATNL,France,FEMALE,100.0
2016,SI_COV_MATNL,Georgia,FEMALE,24.0
2020,SI_COV_MATNL,Georgia,FEMALE,26.0
2016,SI_COV_MATNL,Germany,FEMALE,100.0
2020,SI_COV_MATNL,Germany,FEMALE,100.0
2016,SI_COV_MATNL,Greece,FEMALE,100.0
2020,SI_COV_MATNL,Greece,FEMALE,100.0
2016,SI_COV_MATNL,Hungary,FEMALE,100.0
2020,SI_COV_MATNL,Hungary,FEMALE,100.0
2016,SI_COV_MATNL,Iceland,FEMALE,100.0
2020,SI_COV_MATNL,Iceland,FEMALE,100.0
2016,SI_COV_MATNL,India,FEMALE,41.5
2020,SI_COV_MATNL,India,FEMALE,41.6
2016,SI_COV_MATNL,Ireland,FEMALE,100.0
2020,SI_COV_MATNL,Ireland,FEMALE,100.0
2020,SI_COV_MATNL,Israel,FEMALE,100.0
2016,SI_COV_MATNL,Italy,FEMALE,100.0
2020,SI_COV_MATNL,Italy,FEMALE,100.0
2016,SI_COV_MATNL,Kazakhstan,FEMALE,44.6
2020,SI_COV_MATNL,Kazakhstan,FEMALE,44.2
2016,SI_COV_MATNL,Kyrgyzstan,FEMALE,23.8
2020,SI_COV_MATNL,Kyrgyzstan,FEMALE,23.8
