Year,SeriesCode,GeoAreaName,Sex,Value
2018,SP_LGL_LNDDOC,Albania,BOTHSEX,36.4
2018,SP_LGL_LNDDOC,Albania,FEMALE,21.9
2016,SP_LGL_LNDDOC,Armenia,BOTHSEX,41.9
2016,SP_LGL_LNDDOC,Armenia,FEMALE,29.7
2011,SP_LGL_LNDDOC,Belgium,FEMALE,54.3
2011,SP_LGL_LNDDOC,Belgium,BOTHSEX,94.8
2011,SP_LGL_LNDDOC,Costa Rica,BOTHSEX,100.0
2016,SP_LGL_LNDDOC,Republic of Korea,BOTHSEX,100.0
2011,SP_LGL_LNDDOC,Netherlands (Kingdom of the),BOTHSEX,100.0
2011,SP_LGL_LNDDOC,Netherlands (Kingdom of the),FEMALE,64.0
2013,SP_LGL_LNDDOC,New Zealand,BOTHSEX,99.0
2011,SP_LGL_LNDDOC,Sweden,BOTHSEX,99.3
2011,SP_LGL_LNDDOC,Sweden,FEMALE,30.2
2011,SP_LGL_LNDDOC,Sweden,FEMALE,30.2
