Year,SeriesCode,GeoAreaName,Value
2015,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,5.41326403099182
2016,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,5.95284838728074
2017,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,6.20368589638196
2018,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,5.92885052355864
2019,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,5.48814089310638
2020,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,4.94684559412517
2021,FI_FSI_FSKA,United Kingdom of Great Britain and Northern Ireland,5.53490378693197
2010,FI_FSI_FSKA,Uzbekistan,12.3854799314985
2011,FI_FSI_FSKA,Uzbekistan,10.8959316437067
2012,FI_FSI_FSKA,Uzbekistan,10.0320057605494
2013,FI_FSI_FSKA,Uzbekistan,9.76841031506305
2014,FI_FSI_FSKA,Uzbekistan,10.0371981908106
2015,FI_FSI_FSKA,Uzbekistan,9.0321877054387
2016,FI_FSI_FSKA,Uzbekistan,8.53922465882503
2010,FI_FSI_FSKA,Albania,8.65738703548396
2011,FI_FSI_FSKA,Albania,8.13171240346954
2012,FI_FSI_FSKA,Albania,7.92991262699532
2013,FI_FSI_FSKA,Albania,7.73182739633685
2014,FI_FSI_FSKA,Albania,7.42400985630468
2015,FI_FSI_FSKA,Albania,8.43098711693538
2016,FI_FSI_FSKA,Albania,8.74722800678583
2017,FI_FSI_FSKA,Albania,9.01864922404764
2018,FI_FSI_FSKA,Albania,9.15081252889815
2019,FI_FSI_FSKA,Albania,9.07841434175283
2020,FI_FSI_FSKA,Albania,9.06900760368607
2021,FI_FSI_FSKA,Albania,8.84649373877203
2022,FI_FSI_FSKA,Albania,8.59552115400606
2005,FI_FSI_FSKA,Australia,4.9390008943253
2006,FI_FSI_FSKA,Australia,4.75092644765004
2007,FI_FSI_FSKA,Australia,4.50428076628894
2008,FI_FSI_FSKA,Australia,4.19912384001137
2009,FI_FSI_FSKA,Australia,4.70300396072203
2010,FI_FSI_FSKA,Australia,4.62021662059414
2011,FI_FSI_FSKA,Australia,4.69684531050885
2012,FI_FSI_FSKA,Australia,4.75557889210946
2013,FI_FSI_FSKA,Australia,4.67249759967552
2014,FI_FSI_FSKA,Australia,4.69700335511658
2015,FI_FSI_FSKA,Australia,5.31731759650771
2016,FI_FSI_FSKA,Australia,5.44397257111967
2017,FI_FSI_FSKA,Australia,5.91271906081673
2018,FI_FSI_FSKA,Australia,5.91854176977054
2019,FI_FSI_FSKA,Australia,6.19862631822147
2020,FI_FSI_FSKA,Australia,6.37432250408069
2021,FI_FSI_FSKA,Australia,6.16933763669525
2006,FI_FSI_FSKA,Austria,3.79492045431925
2007,FI_FSI_FSKA,Austria,3.81390595309035
2008,FI_FSI_FSKA,Austria,3.61200383000282
2009,FI_FSI_FSKA,Austria,4.58153542349424
2010,FI_FSI_FSKA,Austria,5.09505050694966
2011,FI_FSI_FSKA,Austria,4.98718024999289
2012,FI_FSI_FSKA,Austria,5.12553014876497
2013,FI_FSI_FSKA,Austria,5.36846249339605
2014,FI_FSI_FSKA,Austria,5.21248631883844
2015,FI_FSI_FSKA,Austria,5.37707549029426
2016,FI_FSI_FSKA,Austria,6.19177596311036
2017,FI_FSI_FSKA,Austria,6.89234780812498
2018,FI_FSI_FSKA,Austria,6.87103074202291
2019,FI_FSI_FSKA,Austria,7.50821379217828
2020,FI_FSI_FSKA,Austria,7.26713946592396
