Year,SeriesCode,GeoAreaName,Value
2019,SG_SCP_TOTLN,Albania,1
2022,SG_SCP_TOTLN,Australia,7
2021,SG_SCP_TOTLN,Belgium,34
2021,SG_SCP_TOTLN,Bulgaria,15
2021,SG_SCP_TOTLN,Chile,3
2019,SG_SCP_TOTLN,China,3
2019,SG_SCP_TOTLN,Colombia,1
2021,SG_SCP_TOTLN,Costa Rica,12
2021,SG_SCP_TOTLN,Croatia,5
2019,SG_SCP_TOTLN,Czechia,1
2020,SG_SCP_TOTLN,Finland,4
2022,SG_SCP_TOTLN,France,4
2021,SG_SCP_TOTLN,Germany,33
2022,SG_SCP_TOTLN,Hungary,50
2019,SG_SCP_TOTLN,India,1
2019,SG_SCP_TOTLN,Republic of Korea,1
2020,SG_SCP_TOTLN,Latvia,4
2019,SG_SCP_TOTLN,Lithuania,2
2020,SG_SCP_TOTLN,Mexico,26
2020,SG_SCP_TOTLN,Netherlands (Kingdom of the),1
2022,SG_SCP_TOTLN,Norway,13
2020,SG_SCP_TOTLN,Poland,1
2020,SG_SCP_TOTLN,Romania,1
2022,SG_SCP_TOTLN,Serbia,7
2021,SG_SCP_TOTLN,Slovakia,13
2021,SG_SCP_TOTLN,Slovenia,1
2022,SG_SCP_TOTLN,Sweden,35
2022,SG_SCP_TOTLN,Switzerland,15
2020,SG_SCP_TOTLN,United Arab Emirates,1
2022,SG_SCP_TOTLN,Türkiye,2
2021,SG_SCP_TOTLN,Ukraine,1
2021,SG_SCP_TOTLN,United Kingdom of Great Britain and Northern Ireland,13
2021,SG_SCP_TOTLN,United Kingdom of Great Britain and Northern Ireland,13
