Year,SeriesCode,GeoAreaName,Value
2005,EN_EWT_COLLV,Austria,19296.0
2006,EN_EWT_COLLV,Austria,62629.0
2007,EN_EWT_COLLV,Austria,64525.0
2008,EN_EWT_COLLV,Austria,74754.0
2009,EN_EWT_COLLV,Austria,75562.0
2010,EN_EWT_COLLV,Austria,74256.0
2011,EN_EWT_COLLV,Austria,75464.0
2012,EN_EWT_COLLV,Austria,77402.0
2013,EN_EWT_COLLV,Austria,76835.0
2014,EN_EWT_COLLV,Austria,77726.0
2015,EN_EWT_COLLV,Austria,80246.0
2016,EN_EWT_COLLV,Austria,84776.0
2017,EN_EWT_COLLV,Austria,116475.0
2018,EN_EWT_COLLV,Austria,116414.0
2005,EN_EWT_COLLV,Belgium,68150.0
2006,EN_EWT_COLLV,Belgium,76187.0
2007,EN_EWT_COLLV,Belgium,81829.0
2008,EN_EWT_COLLV,Belgium,89109.0
2009,EN_EWT_COLLV,Belgium,102977.0
2010,EN_EWT_COLLV,Belgium,105556.0
2011,EN_EWT_COLLV,Belgium,114981.0
2012,EN_EWT_COLLV,Belgium,116458.0
2013,EN_EWT_COLLV,Belgium,120365.0
2014,EN_EWT_COLLV,Belgium,116345.0
2015,EN_EWT_COLLV,Belgium,118545.0
2016,EN_EWT_COLLV,Belgium,127680.0
2017,EN_EWT_COLLV,Belgium,124011.0
2018,EN_EWT_COLLV,Belgium,138218.0
2007,EN_EWT_COLLV,Bulgaria,22166.0
2008,EN_EWT_COLLV,Bulgaria,40374.0
2009,EN_EWT_COLLV,Bulgaria,33423.0
2010,EN_EWT_COLLV,Bulgaria,45056.0
2011,EN_EWT_COLLV,Bulgaria,40442.0
2012,EN_EWT_COLLV,Bulgaria,38431.0
2013,EN_EWT_COLLV,Bulgaria,35162.0
2014,EN_EWT_COLLV,Bulgaria,42310.0
2015,EN_EWT_COLLV,Bulgaria,61987.0
2016,EN_EWT_COLLV,Bulgaria,61481.0
2017,EN_EWT_COLLV,Bulgaria,54493.0
2018,EN_EWT_COLLV,Bulgaria,52616.0
2020,EN_EWT_COLLV,Belarus,29.1
2021,EN_EWT_COLLV,Belarus,23.9
2011,EN_EWT_COLLV,Croatia,17518.0
2012,EN_EWT_COLLV,Croatia,16187.0
2013,EN_EWT_COLLV,Croatia,15025.0
2014,EN_EWT_COLLV,Croatia,15488.0
2015,EN_EWT_COLLV,Croatia,23758.0
2016,EN_EWT_COLLV,Croatia,38815.0
2017,EN_EWT_COLLV,Croatia,36434.0
2018,EN_EWT_COLLV,Croatia,41523.0
2005,EN_EWT_COLLV,Cyprus,3487.0
2006,EN_EWT_COLLV,Cyprus,4510.0
2007,EN_EWT_COLLV,Cyprus,2513.0
2008,EN_EWT_COLLV,Cyprus,2397.0
2009,EN_EWT_COLLV,Cyprus,2297.0
2010,EN_EWT_COLLV,Cyprus,2609.0
2011,EN_EWT_COLLV,Cyprus,2725.0
2012,EN_EWT_COLLV,Cyprus,2514.0
2013,EN_EWT_COLLV,Cyprus,2283.0
2014,EN_EWT_COLLV,Cyprus,2292.0
2015,EN_EWT_COLLV,Cyprus,2963.0
2016,EN_EWT_COLLV,Cyprus,2692.0
2017,EN_EWT_COLLV,Cyprus,4696.0
2018,EN_EWT_COLLV,Cyprus,3318.0
2007,EN_EWT_COLLV,Czechia,33396.0
2008,EN_EWT_COLLV,Czechia,45290.0
2009,EN_EWT_COLLV,Czechia,58206.0
2010,EN_EWT_COLLV,Czechia,52989.0
2011,EN_EWT_COLLV,Czechia,55438.0
2012,EN_EWT_COLLV,Czechia,53685.0
2013,EN_EWT_COLLV,Czechia,54215.0
2014,EN_EWT_COLLV,Czechia,58585.0
2015,EN_EWT_COLLV,Czechia,74288.0
2016,EN_EWT_COLLV,Czechia,107081.0
2017,EN_EWT_COLLV,Czechia,106656.0
2018,EN_EWT_COLLV,Czechia,93083.0
2006,EN_EWT_COLLV,Denmark,60245.0
2007,EN_EWT_COLLV,Denmark,98308.0
2008,EN_EWT_COLLV,Denmark,77627.0
2009,EN_EWT_COLLV,Denmark,84399.0
2010,EN_EWT_COLLV,Denmark,82931.0
2011,EN_EWT_COLLV,Denmark,84319.0
2012,EN_EWT_COLLV,Denmark,76200.0
2013,EN_EWT_COLLV,Denmark,72080.0
2014,EN_EWT_COLLV,Denmark,71557.0
2015,EN_EWT_COLLV,Denmark,72482.0
2016,EN_EWT_COLLV,Denmark,71209.0
2017,EN_EWT_COLLV,Denmark,69770.0
2018,EN_EWT_COLLV,Denmark,71198.0
2006,EN_EWT_COLLV,Estonia,5855.0
2007,EN_EWT_COLLV,Estonia,6200.0
2008,EN_EWT_COLLV,Estonia,6163.0
2009,EN_EWT_COLLV,Estonia,4810.0
2010,EN_EWT_COLLV,Estonia,5630.0
2011,EN_EWT_COLLV,Estonia,6615.0
2012,EN_EWT_COLLV,Estonia,5465.0
2013,EN_EWT_COLLV,Estonia,4658.0
2014,EN_EWT_COLLV,Estonia,6057.0
2015,EN_EWT_COLLV,Estonia,7434.0
2016,EN_EWT_COLLV,Estonia,8891.0
2017,EN_EWT_COLLV,Estonia,9172.0
2018,EN_EWT_COLLV,Estonia,10007.0
2005,EN_EWT_COLLV,Finland,16142.0
2006,EN_EWT_COLLV,Finland,39678.0
2007,EN_EWT_COLLV,Finland,48634.0
2008,EN_EWT_COLLV,Finland,54627.0
2009,EN_EWT_COLLV,Finland,53235.0
2010,EN_EWT_COLLV,Finland,50867.0
2011,EN_EWT_COLLV,Finland,52509.0
2012,EN_EWT_COLLV,Finland,52972.0
2013,EN_EWT_COLLV,Finland,57919.0
2014,EN_EWT_COLLV,Finland,66014.0
2015,EN_EWT_COLLV,Finland,62544.0
2016,EN_EWT_COLLV,Finland,60216.0
2017,EN_EWT_COLLV,Finland,65405.0
2018,EN_EWT_COLLV,Finland,66683.0
2006,EN_EWT_COLLV,France,15160.0
2007,EN_EWT_COLLV,France,174777.0
2008,EN_EWT_COLLV,France,300988.0
2009,EN_EWT_COLLV,France,393273.0
2010,EN_EWT_COLLV,France,433959.0
2011,EN_EWT_COLLV,France,470192.0
2012,EN_EWT_COLLV,France,470556.0
