Year,SeriesCode,GeoAreaName,Value
2005,EN_EWT_RCYR,Austria,73.1
2006,EN_EWT_RCYR,Austria,79.5
2007,EN_EWT_RCYR,Austria,78.7
2008,EN_EWT_RCYR,Austria,79.7
2009,EN_EWT_RCYR,Austria,79.0
2010,EN_EWT_RCYR,Austria,79.9
2011,EN_EWT_RCYR,Austria,81.5
2012,EN_EWT_RCYR,Austria,80.0
2013,EN_EWT_RCYR,Austria,79.0
2014,EN_EWT_RCYR,Austria,79.6
2015,EN_EWT_RCYR,Austria,81.1
2016,EN_EWT_RCYR,Austria,81.8
2017,EN_EWT_RCYR,Austria,80.2
2018,EN_EWT_RCYR,Austria,79.8
2005,EN_EWT_RCYR,Belgium,73.8
2006,EN_EWT_RCYR,Belgium,76.7
2007,EN_EWT_RCYR,Belgium,79.9
2008,EN_EWT_RCYR,Belgium,77.0
2009,EN_EWT_RCYR,Belgium,78.0
2010,EN_EWT_RCYR,Belgium,80.2
2011,EN_EWT_RCYR,Belgium,77.7
2012,EN_EWT_RCYR,Belgium,78.4
2013,EN_EWT_RCYR,Belgium,79.1
2014,EN_EWT_RCYR,Belgium,76.7
2015,EN_EWT_RCYR,Belgium,77.4
2016,EN_EWT_RCYR,Belgium,72.5
2017,EN_EWT_RCYR,Belgium,75.1
2018,EN_EWT_RCYR,Belgium,72.5
2007,EN_EWT_RCYR,Bulgaria,63.8
2008,EN_EWT_RCYR,Bulgaria,65.1
2009,EN_EWT_RCYR,Bulgaria,76.3
2010,EN_EWT_RCYR,Bulgaria,78.4
2011,EN_EWT_RCYR,Bulgaria,82.3
2012,EN_EWT_RCYR,Bulgaria,84.0
2013,EN_EWT_RCYR,Bulgaria,83.5
2014,EN_EWT_RCYR,Bulgaria,84.9
2015,EN_EWT_RCYR,Bulgaria,85.6
2016,EN_EWT_RCYR,Bulgaria,81.5
2017,EN_EWT_RCYR,Bulgaria,83.7
2018,EN_EWT_RCYR,Bulgaria,81.0
2012,EN_EWT_RCYR,Croatia,92.3
2013,EN_EWT_RCYR,Croatia,97.4
2014,EN_EWT_RCYR,Croatia,95.7
2015,EN_EWT_RCYR,Croatia,92.5
2016,EN_EWT_RCYR,Croatia,96.3
2017,EN_EWT_RCYR,Croatia,95.2
2018,EN_EWT_RCYR,Croatia,91.2
2009,EN_EWT_RCYR,Cyprus,79.2
2010,EN_EWT_RCYR,Cyprus,71.6
2011,EN_EWT_RCYR,Cyprus,78.9
2012,EN_EWT_RCYR,Cyprus,86.6
2013,EN_EWT_RCYR,Cyprus,80.3
2014,EN_EWT_RCYR,Cyprus,89.4
2015,EN_EWT_RCYR,Cyprus,91.0
2016,EN_EWT_RCYR,Cyprus,87.8
2017,EN_EWT_RCYR,Cyprus,78.3
2007,EN_EWT_RCYR,Czechia,75.4
2008,EN_EWT_RCYR,Czechia,75.7
2009,EN_EWT_RCYR,Czechia,74.8
2010,EN_EWT_RCYR,Czechia,86.7
2011,EN_EWT_RCYR,Czechia,86.8
2012,EN_EWT_RCYR,Czechia,80.6
2013,EN_EWT_RCYR,Czechia,91.1
2014,EN_EWT_RCYR,Czechia,85.5
2015,EN_EWT_RCYR,Czechia,82.5
2016,EN_EWT_RCYR,Czechia,90.0
2017,EN_EWT_RCYR,Czechia,86.9
2018,EN_EWT_RCYR,Czechia,84.7
2006,EN_EWT_RCYR,Denmark,79.9
2007,EN_EWT_RCYR,Denmark,81.5
2008,EN_EWT_RCYR,Denmark,90.4
2009,EN_EWT_RCYR,Denmark,82.6
2010,EN_EWT_RCYR,Denmark,83.5
2011,EN_EWT_RCYR,Denmark,92.0
2012,EN_EWT_RCYR,Denmark,84.4
2013,EN_EWT_RCYR,Denmark,82.6
2014,EN_EWT_RCYR,Denmark,83.0
2015,EN_EWT_RCYR,Denmark,84.2
2016,EN_EWT_RCYR,Denmark,86.4
2017,EN_EWT_RCYR,Denmark,85.8
2018,EN_EWT_RCYR,Denmark,80.7
2007,EN_EWT_RCYR,Estonia,83.2
2008,EN_EWT_RCYR,Estonia,81.4
2009,EN_EWT_RCYR,Estonia,82.7
2010,EN_EWT_RCYR,Estonia,82.7
2011,EN_EWT_RCYR,Estonia,69.5
2012,EN_EWT_RCYR,Estonia,80.4
2013,EN_EWT_RCYR,Estonia,66.0
2014,EN_EWT_RCYR,Estonia,85.1
2015,EN_EWT_RCYR,Estonia,86.7
2016,EN_EWT_RCYR,Estonia,86.7
2017,EN_EWT_RCYR,Estonia,85.7
2018,EN_EWT_RCYR,Estonia,85.7
2005,EN_EWT_RCYR,Finland,81.8
2006,EN_EWT_RCYR,Finland,78.8
2007,EN_EWT_RCYR,Finland,79.1
2008,EN_EWT_RCYR,Finland,82.4
2009,EN_EWT_RCYR,Finland,86.9
2010,EN_EWT_RCYR,Finland,88.5
2011,EN_EWT_RCYR,Finland,89.1
2012,EN_EWT_RCYR,Finland,89.4
2013,EN_EWT_RCYR,Finland,87.9
2014,EN_EWT_RCYR,Finland,87.8
2015,EN_EWT_RCYR,Finland,92.5
2016,EN_EWT_RCYR,Finland,88.9
2017,EN_EWT_RCYR,Finland,90.0
2018,EN_EWT_RCYR,Finland,89.7
2006,EN_EWT_RCYR,France,26.9
2007,EN_EWT_RCYR,France,71.6
2008,EN_EWT_RCYR,France,75.9
2009,EN_EWT_RCYR,France,73.9
2010,EN_EWT_RCYR,France,77.4
2011,EN_EWT_RCYR,France,77.9
2012,EN_EWT_RCYR,France,76.7
2013,EN_EWT_RCYR,France,78.7
2014,EN_EWT_RCYR,France,80.8
2015,EN_EWT_RCYR,France,81.9
2016,EN_EWT_RCYR,France,81.9
2017,EN_EWT_RCYR,France,81.9
2018,EN_EWT_RCYR,France,74.2
2006,EN_EWT_RCYR,Germany,79.6
2007,EN_EWT_RCYR,Germany,80.8
2008,EN_EWT_RCYR,Germany,80.6
2009,EN_EWT_RCYR,Germany,80.3
2010,EN_EWT_RCYR,Germany,82.8
2011,EN_EWT_RCYR,Germany,83.9
2012,EN_EWT_RCYR,Germany,83.5
2013,EN_EWT_RCYR,Germany,82.8
2014,EN_EWT_RCYR,Germany,84.2
2015,EN_EWT_RCYR,Germany,79.3
2016,EN_EWT_RCYR,Germany,86.7
2017,EN_EWT_RCYR,Germany,85.8
2018,EN_EWT_RCYR,Germany,85.6
2005,EN_EWT_RCYR,Greece,31.4
2006,EN_EWT_RCYR,Greece,82.6
2007,EN_EWT_RCYR,Greece,77.2
2008,EN_EWT_RCYR,Greece,82.8
2009,EN_EWT_RCYR,Greece,84.5
2010,EN_EWT_RCYR,Greece,98.0
2011,EN_EWT_RCYR,Greece,90.9
2012,EN_EWT_RCYR,Greece,90.2
2013,EN_EWT_RCYR,Greece,90.6
2014,EN_EWT_RCYR,Greece,84.0
2015,EN_EWT_RCYR,Greece,89.6
2016,EN_EWT_RCYR,Greece,85.4
2017,EN_EWT_RCYR,Greece,78.8
2018,EN_EWT_RCYR,Greece,80.7
