Year,SeriesCode,GeoAreaName,Level/Status,Value
2022,SG_SCP_PROCN,Austria,MHIGIMP,1
2020,SG_SCP_PROCN,Belgium,MHIGIMP,1
2022,SG_SCP_PROCN,Belgium,MHIGIMP,1
2020,SG_SCP_PROCN,Bulgaria,MHIGIMP,1
2022,SG_SCP_PROCN,Bulgaria,MHIGIMP,1
2020,SG_SCP_PROCN,Canada,LOWIMP,1
2022,SG_SCP_PROCN,Canada,MLOWIMP,1
2022,SG_SCP_PROCN,Chile,MLOWIMP,1
2020,SG_SCP_PROCN,China,MLOWIMP,1
2022,SG_SCP_PROCN,China,MHIGIMP,1
2020,SG_SCP_PROCN,Colombia,MLOWIMP,1
2022,SG_SCP_PROCN,Colombia,MLOWIMP,1
2020,SG_SCP_PROCN,Costa Rica,MLOWIMP,1
2022,SG_SCP_PROCN,Costa Rica,MHIGIMP,1
2020,SG_SCP_PROCN,Croatia,MLOWIMP,1
2022,SG_SCP_PROCN,Croatia,MHIGIMP,1
2020,SG_SCP_PROCN,Cyprus,LOWIMP,1
2022,SG_SCP_PROCN,Cyprus,MLOWIMP,1
2020,SG_SCP_PROCN,Czechia,LOWIMP,1
2022,SG_SCP_PROCN,Czechia,LOWIMP,1
2020,SG_SCP_PROCN,Denmark,MLOWIMP,1
2022,SG_SCP_PROCN,Estonia,MLOWIMP,1
2020,SG_SCP_PROCN,Finland,LOWIMP,1
2022,SG_SCP_PROCN,Finland,MHIGIMP,1
2020,SG_SCP_PROCN,France,MHIGIMP,1
2022,SG_SCP_PROCN,France,MHIGIMP,1
2020,SG_SCP_PROCN,Germany,MLOWIMP,1
2022,SG_SCP_PROCN,Germany,MLOWIMP,1
2022,SG_SCP_PROCN,Greece,MLOWIMP,1
2020,SG_SCP_PROCN,Ireland,LOWIMP,1
2022,SG_SCP_PROCN,Ireland,MHIGIMP,1
2022,SG_SCP_PROCN,Israel,MLOWIMP,1
2020,SG_SCP_PROCN,Italy,MHIGIMP,1
2022,SG_SCP_PROCN,Italy,MHIGIMP,1
2020,SG_SCP_PROCN,Japan,MLOWIMP,1
2022,SG_SCP_PROCN,Japan,MLOWIMP,1
2020,SG_SCP_PROCN,Republic of Korea,MLOWIMP,1
2022,SG_SCP_PROCN,Republic of Korea,MHIGIMP,1
2020,SG_SCP_PROCN,Latvia,MHIGIMP,1
2022,SG_SCP_PROCN,Latvia,MHIGIMP,1
2020,SG_SCP_PROCN,Lithuania,MHIGIMP,1
2022,SG_SCP_PROCN,Lithuania,MHIGIMP,1
2022,SG_SCP_PROCN,Malta,MHIGIMP,1
2020,SG_SCP_PROCN,Netherlands (Kingdom of the),MHIGIMP,1
2022,SG_SCP_PROCN,Netherlands (Kingdom of the),MHIGIMP,1
2020,SG_SCP_PROCN,New Zealand,LOWIMP,1
2022,SG_SCP_PROCN,New Zealand,MLOWIMP,1
2020,SG_SCP_PROCN,Norway,MLOWIMP,1
2022,SG_SCP_PROCN,Norway,MLOWIMP,1
2020,SG_SCP_PROCN,Poland,MLOWIMP,1
2022,SG_SCP_PROCN,Poland,MHIGIMP,1
2020,SG_SCP_PROCN,Portugal,MHIGIMP,1
2022,SG_SCP_PROCN,Portugal,MHIGIMP,1
2022,SG_SCP_PROCN,Serbia,MLOWIMP,1
2020,SG_SCP_PROCN,Slovenia,MLOWIMP,1
2022,SG_SCP_PROCN,Slovenia,MHIGIMP,1
2022,SG_SCP_PROCN,Spain,LOWIMP,1
2020,SG_SCP_PROCN,Sweden,MLOWIMP,1
2022,SG_SCP_PROCN,Switzerland,MHIGIMP,1
2022,SG_SCP_PROCN,United Kingdom of Great Britain and Northern Ireland,MLOWIMP,1
2022,SG_SCP_PROCN,United Kingdom of Great Britain and Northern Ireland,MLOWIMP,1
