Year,SeriesCode,GeoAreaName,Value
2008,ST_EEV_ACCTSA,Georgia,0
2009,ST_EEV_ACCTSA,Georgia,0
2010,ST_EEV_ACCTSA,Georgia,0
2011,ST_EEV_ACCTSA,Georgia,0
2012,ST_EEV_ACCTSA,Georgia,0
2013,ST_EEV_ACCTSA,Georgia,0
2014,ST_EEV_ACCTSA,Georgia,0
2015,ST_EEV_ACCTSA,Georgia,0
2016,ST_EEV_ACCTSA,Georgia,0
2017,ST_EEV_ACCTSA,Georgia,0
2018,ST_EEV_ACCTSA,Georgia,0
2019,ST_EEV_ACCTSA,Georgia,4
2020,ST_EEV_ACCTSA,Georgia,0
2008,ST_EEV_ACCTSA,Germany,0
2009,ST_EEV_ACCTSA,Germany,0
2010,ST_EEV_ACCTSA,Germany,7
2011,ST_EEV_ACCTSA,Germany,0
2012,ST_EEV_ACCTSA,Germany,0
2013,ST_EEV_ACCTSA,Germany,0
2014,ST_EEV_ACCTSA,Germany,0
2015,ST_EEV_ACCTSA,Germany,7
2016,ST_EEV_ACCTSA,Germany,7
2017,ST_EEV_ACCTSA,Germany,7
2018,ST_EEV_ACCTSA,Germany,7
2019,ST_EEV_ACCTSA,Germany,7
2020,ST_EEV_ACCTSA,Germany,0
2008,ST_EEV_ACCTSA,Greece,0
2009,ST_EEV_ACCTSA,Greece,0
2010,ST_EEV_ACCTSA,Greece,0
2011,ST_EEV_ACCTSA,Greece,0
2012,ST_EEV_ACCTSA,Greece,0
2013,ST_EEV_ACCTSA,Greece,0
2014,ST_EEV_ACCTSA,Greece,0
2008,ST_EEV_ACCTSA,Uzbekistan,2
2009,ST_EEV_ACCTSA,Uzbekistan,0
2010,ST_EEV_ACCTSA,Uzbekistan,0
2011,ST_EEV_ACCTSA,Uzbekistan,0
2012,ST_EEV_ACCTSA,Uzbekistan,0
2013,ST_EEV_ACCTSA,Uzbekistan,0
2014,ST_EEV_ACCTSA,Uzbekistan,3
2015,ST_EEV_ACCTSA,Uzbekistan,3
2016,ST_EEV_ACCTSA,Uzbekistan,3
2017,ST_EEV_ACCTSA,Uzbekistan,3
2008,ST_EEV_ACCTSA,Albania,0
2009,ST_EEV_ACCTSA,Albania,0
2010,ST_EEV_ACCTSA,Albania,0
2011,ST_EEV_ACCTSA,Albania,0
