Year,SeriesCode,GeoAreaName,Value
2005,VC_DSR_DAFF,Estonia,137.55595
2006,VC_DSR_DAFF,Estonia,0.0
2007,VC_DSR_DAFF,Estonia,0.0
2008,VC_DSR_DAFF,Estonia,0.0
2009,VC_DSR_DAFF,Estonia,0.0
2010,VC_DSR_DAFF,Estonia,45.06078
2011,VC_DSR_DAFF,Estonia,0.0
2012,VC_DSR_DAFF,Estonia,0.0
2013,VC_DSR_DAFF,Estonia,0.0
2014,VC_DSR_DAFF,Estonia,0.0
2015,VC_DSR_DAFF,Estonia,0.0
2016,VC_DSR_DAFF,Estonia,0.0
2017,VC_DSR_DAFF,Estonia,0.0
2018,VC_DSR_DAFF,Estonia,0.0
2005,VC_DSR_DAFF,Finland,11.64111
2006,VC_DSR_DAFF,Finland,8.61953
2007,VC_DSR_DAFF,Finland,6.15625
2008,VC_DSR_DAFF,Finland,8.49777
2009,VC_DSR_DAFF,Finland,6.34767
2010,VC_DSR_DAFF,Finland,6.06903
2011,VC_DSR_DAFF,Finland,4.28983
2012,VC_DSR_DAFF,Finland,7.41053
2013,VC_DSR_DAFF,Finland,4.52603
2014,VC_DSR_DAFF,Finland,5.06325
2015,VC_DSR_DAFF,Finland,3.79781
2016,VC_DSR_DAFF,Finland,4.8818
2017,VC_DSR_DAFF,Finland,4.98563
2018,VC_DSR_DAFF,Finland,5.54762
2019,VC_DSR_DAFF,Finland,1.23154
2016,VC_DSR_DAFF,France,6.82458
2017,VC_DSR_DAFF,France,18.10143
2018,VC_DSR_DAFF,France,13.2643
2005,VC_DSR_DAFF,Georgia,1.69141
2006,VC_DSR_DAFF,Georgia,2.74539
2007,VC_DSR_DAFF,Georgia,1.7407
2008,VC_DSR_DAFF,Georgia,2.75795
2005,VC_DSR_DAFF,Albania,292.38609
2006,VC_DSR_DAFF,Albania,32.46335
2007,VC_DSR_DAFF,Albania,7.59387
2008,VC_DSR_DAFF,Albania,8.23257
2009,VC_DSR_DAFF,Albania,265.03639
2010,VC_DSR_DAFF,Albania,1449.20074
2009,VC_DSR_DAFF,Georgia,2.87923
2010,VC_DSR_DAFF,Georgia,2.05899
2011,VC_DSR_DAFF,Georgia,2.22416
2012,VC_DSR_DAFF,Georgia,2.81257
2013,VC_DSR_DAFF,Georgia,3.96194
2014,VC_DSR_DAFF,Georgia,4.61021
2011,VC_DSR_DAFF,Albania,23.85669
2012,VC_DSR_DAFF,Albania,57.11929
2013,VC_DSR_DAFF,Albania,166.29639
2014,VC_DSR_DAFF,Albania,140.56368
2015,VC_DSR_DAFF,Albania,37.84934
2016,VC_DSR_DAFF,Albania,24.26188
2015,VC_DSR_DAFF,Georgia,112.72477
2016,VC_DSR_DAFF,Georgia,18.93594
2017,VC_DSR_DAFF,Georgia,2.73072
2018,VC_DSR_DAFF,Georgia,5.24875
2019,VC_DSR_DAFF,Georgia,126.20627
2020,VC_DSR_DAFF,Georgia,6040.82092
2017,VC_DSR_DAFF,Albania,0.17365
2018,VC_DSR_DAFF,Albania,162.77299
2019,VC_DSR_DAFF,Albania,50.55877
2020,VC_DSR_DAFF,Albania,5.19734
2009,VC_DSR_DAFF,Australia,1.91128
2010,VC_DSR_DAFF,Australia,1.13951
2021,VC_DSR_DAFF,Georgia,18953.95931
2020,VC_DSR_DAFF,Hungary,0.0
2021,VC_DSR_DAFF,Hungary,0.0
2015,VC_DSR_DAFF,India,14201.98722
2016,VC_DSR_DAFF,India,13210.16804
2017,VC_DSR_DAFF,India,12889.32653
2011,VC_DSR_DAFF,Australia,62.59702
2012,VC_DSR_DAFF,Australia,3.8697
2013,VC_DSR_DAFF,Australia,32.99415
2014,VC_DSR_DAFF,Australia,1.23329
2015,VC_DSR_DAFF,Australia,28.3616
2016,VC_DSR_DAFF,Australia,16.98897
2017,VC_DSR_DAFF,Australia,47.97901
2018,VC_DSR_DAFF,Australia,100.17042
2019,VC_DSR_DAFF,Australia,29.44729
2020,VC_DSR_DAFF,Australia,54.43308
2021,VC_DSR_DAFF,Australia,57.36642
2005,VC_DSR_DAFF,Austria,1.34921
2018,VC_DSR_DAFF,India,10343.85376
2019,VC_DSR_DAFF,India,3855.41265
2021,VC_DSR_DAFF,India,1002.99337
2015,VC_DSR_DAFF,Ireland,0.0
2016,VC_DSR_DAFF,Ireland,44.51006
2017,VC_DSR_DAFF,Ireland,0.0
2006,VC_DSR_DAFF,Austria,0.73781
2007,VC_DSR_DAFF,Austria,1.31409
2008,VC_DSR_DAFF,Austria,1.82667
2009,VC_DSR_DAFF,Austria,1.42636
2010,VC_DSR_DAFF,Austria,0.77725
2011,VC_DSR_DAFF,Austria,0.67928
2012,VC_DSR_DAFF,Austria,0.68805
2013,VC_DSR_DAFF,Austria,6.87537
2014,VC_DSR_DAFF,Austria,0.35104
2015,VC_DSR_DAFF,Austria,2.26788
2016,VC_DSR_DAFF,Austria,0.68677
2017,VC_DSR_DAFF,Austria,3.08042
2018,VC_DSR_DAFF,Italy,0.13361
