Year,SeriesCode,GeoAreaName,Value
2005,EN_MAR_CHLDEV,Iceland,11.38058
2006,EN_MAR_CHLDEV,Iceland,4.80901
2007,EN_MAR_CHLDEV,Iceland,6.47039
2008,EN_MAR_CHLDEV,Iceland,10.61246
2009,EN_MAR_CHLDEV,Iceland,9.4695
2010,EN_MAR_CHLDEV,Iceland,11.93486
2011,EN_MAR_CHLDEV,Iceland,16.0508
2012,EN_MAR_CHLDEV,Iceland,10.94311
2013,EN_MAR_CHLDEV,Iceland,11.81647
2014,EN_MAR_CHLDEV,Iceland,14.18514
2015,EN_MAR_CHLDEV,Iceland,11.22996
2016,EN_MAR_CHLDEV,Iceland,9.92261
2017,EN_MAR_CHLDEV,Iceland,12.40693
2018,EN_MAR_CHLDEV,Iceland,8.71897
2019,EN_MAR_CHLDEV,Iceland,13.19985
2020,EN_MAR_CHLDEV,Iceland,11.46282
2021,EN_MAR_CHLDEV,Iceland,7.80764
2022,EN_MAR_CHLDEV,Iceland,10.15738
2005,EN_MAR_CHLDEV,India,4.30771
2006,EN_MAR_CHLDEV,India,3.71961
2007,EN_MAR_CHLDEV,India,3.04671
2008,EN_MAR_CHLDEV,India,2.59294
2009,EN_MAR_CHLDEV,India,4.26544
2010,EN_MAR_CHLDEV,India,2.36792
2011,EN_MAR_CHLDEV,India,1.82327
2012,EN_MAR_CHLDEV,India,2.46546
2013,EN_MAR_CHLDEV,India,4.29261
2014,EN_MAR_CHLDEV,India,2.50887
2015,EN_MAR_CHLDEV,India,0.9245
2016,EN_MAR_CHLDEV,India,5.81853
2017,EN_MAR_CHLDEV,India,4.3823
2018,EN_MAR_CHLDEV,India,5.36103
2019,EN_MAR_CHLDEV,India,3.97712
2020,EN_MAR_CHLDEV,India,5.13019
2021,EN_MAR_CHLDEV,India,3.48882
2022,EN_MAR_CHLDEV,India,5.69669
2005,EN_MAR_CHLDEV,Ireland,6.20969
2006,EN_MAR_CHLDEV,Ireland,1.43425
2007,EN_MAR_CHLDEV,Ireland,5.61287
2008,EN_MAR_CHLDEV,Ireland,4.22741
2009,EN_MAR_CHLDEV,Ireland,10.55514
2010,EN_MAR_CHLDEV,Ireland,4.49554
2011,EN_MAR_CHLDEV,Ireland,6.26931
2012,EN_MAR_CHLDEV,Ireland,11.47734
2013,EN_MAR_CHLDEV,Ireland,6.84682
2014,EN_MAR_CHLDEV,Ireland,11.75609
2015,EN_MAR_CHLDEV,Ireland,10.64502
2016,EN_MAR_CHLDEV,Ireland,8.28608
2017,EN_MAR_CHLDEV,Ireland,6.9568
2018,EN_MAR_CHLDEV,Ireland,5.63686
2019,EN_MAR_CHLDEV,Ireland,7.9678
2020,EN_MAR_CHLDEV,Ireland,9.16862
2021,EN_MAR_CHLDEV,Ireland,7.80383
2022,EN_MAR_CHLDEV,Ireland,7.1912
2005,EN_MAR_CHLDEV,Israel,1.48853
2006,EN_MAR_CHLDEV,Israel,1.29575
2007,EN_MAR_CHLDEV,Israel,0.89312
2008,EN_MAR_CHLDEV,Israel,0.6735
2009,EN_MAR_CHLDEV,Israel,2.67204
2010,EN_MAR_CHLDEV,Israel,0.54905
2011,EN_MAR_CHLDEV,Israel,0.86384
2012,EN_MAR_CHLDEV,Israel,0.15923
2013,EN_MAR_CHLDEV,Israel,1.69546
2014,EN_MAR_CHLDEV,Israel,1.51366
2015,EN_MAR_CHLDEV,Israel,2.14943
2016,EN_MAR_CHLDEV,Israel,1.37528
2017,EN_MAR_CHLDEV,Israel,0.25937
2018,EN_MAR_CHLDEV,Israel,0.37044
2019,EN_MAR_CHLDEV,Israel,0.46915
2020,EN_MAR_CHLDEV,Israel,4.53409
2021,EN_MAR_CHLDEV,Israel,10.70957
2022,EN_MAR_CHLDEV,Israel,0.45118
2005,EN_MAR_CHLDEV,Italy,3.88053
2006,EN_MAR_CHLDEV,Italy,2.26854
2007,EN_MAR_CHLDEV,Italy,0.60136
2008,EN_MAR_CHLDEV,Italy,1.26326
2009,EN_MAR_CHLDEV,Italy,2.4842
2010,EN_MAR_CHLDEV,Italy,2.78981
2011,EN_MAR_CHLDEV,Italy,1.67843
2012,EN_MAR_CHLDEV,Italy,0.45131
2013,EN_MAR_CHLDEV,Italy,4.69379
2014,EN_MAR_CHLDEV,Italy,1.71756
2015,EN_MAR_CHLDEV,Italy,1.21291
2016,EN_MAR_CHLDEV,Italy,0.25095
2005,EN_MAR_CHLDEV,Albania,4.52923
2006,EN_MAR_CHLDEV,Albania,4.14915
2007,EN_MAR_CHLDEV,Albania,1.1602
2008,EN_MAR_CHLDEV,Albania,4.61847
2009,EN_MAR_CHLDEV,Albania,8.44861
2010,EN_MAR_CHLDEV,Albania,15.26104
2011,EN_MAR_CHLDEV,Albania,5.45515
2012,EN_MAR_CHLDEV,Albania,3.76312
2013,EN_MAR_CHLDEV,Albania,4.50608
2014,EN_MAR_CHLDEV,Albania,1.93069
2015,EN_MAR_CHLDEV,Albania,1.41945
2016,EN_MAR_CHLDEV,Albania,0.32468
2017,EN_MAR_CHLDEV,Albania,1.81572
2018,EN_MAR_CHLDEV,Albania,5.94166
2019,EN_MAR_CHLDEV,Albania,0.70932
2020,EN_MAR_CHLDEV,Albania,0.21287
2021,EN_MAR_CHLDEV,Albania,3.34445
2022,EN_MAR_CHLDEV,Albania,0.63881
2005,EN_MAR_CHLDEV,Azerbaijan,1.16338
2006,EN_MAR_CHLDEV,Azerbaijan,2.20317
2007,EN_MAR_CHLDEV,Azerbaijan,0.47972
