Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2000,ER_PTD_MTN,Albania,,,,,21.63053
2001,ER_PTD_MTN,Albania,,,,,21.63053
2002,ER_PTD_MTN,Albania,,,,,21.63053
2003,ER_PTD_MTN,Albania,,,,,21.63053
2004,ER_PTD_MTN,Albania,,,,,21.6336
2005,ER_PTD_MTN,Albania,,,,,21.6336
2006,ER_PTD_MTN,Albania,,,,,23.54735
2007,ER_PTD_MTN,Albania,,,,,26.17119
2008,ER_PTD_MTN,Albania,,,,,30.45205
2009,ER_PTD_MTN,Albania,,,,,30.45205
2010,ER_PTD_MTN,Albania,,,,,30.66174
2011,ER_PTD_MTN,Albania,,,,,34.8253
2012,ER_PTD_MTN,Albania,,,,,39.05133
2013,ER_PTD_MTN,Albania,,,,,39.10767
2014,ER_PTD_MTN,Albania,,,,,39.10767
2015,ER_PTD_MTN,Albania,,,,,39.10767
2016,ER_PTD_MTN,Albania,,,,,39.12337
2017,ER_PTD_MTN,Albania,,,,,39.12337
2000,ER_PTD_MTN,Chile,,,,,37.30506
2001,ER_PTD_MTN,Chile,,,,,37.30506
2002,ER_PTD_MTN,Chile,,,,,37.30506
2003,ER_PTD_MTN,Chile,,,,,37.30506
2004,ER_PTD_MTN,Chile,,,,,37.30506
2005,ER_PTD_MTN,Chile,,,,,38.69046
2006,ER_PTD_MTN,Chile,,,,,38.69046
2007,ER_PTD_MTN,Chile,,,,,38.69046
2008,ER_PTD_MTN,Chile,,,,,38.69046
2009,ER_PTD_MTN,Chile,,,,,39.57358
2010,ER_PTD_MTN,Chile,,,,,40.87422
2011,ER_PTD_MTN,Chile,,,,,40.87422
2012,ER_PTD_MTN,Chile,,,,,40.87422
2013,ER_PTD_MTN,Chile,,,,,42.17098
2014,ER_PTD_MTN,Chile,,,,,43.46968
2015,ER_PTD_MTN,Chile,,,,,44.18413
2016,ER_PTD_MTN,Chile,,,,,44.18413
2017,ER_PTD_MTN,Chile,,,,,44.26587
2018,ER_PTD_MTN,Albania,,,,,40.29851
2019,ER_PTD_MTN,Albania,,,,,40.29851
2020,ER_PTD_MTN,Albania,,,,,40.29851
2021,ER_PTD_MTN,Albania,,,,,40.29851
