Year,SeriesCode,GeoAreaName,Sex,Value
2018,VC_SNS_WALN_DRK,Belgium,BOTHSEX,74.25
2018,VC_SNS_WALN_DRK,Belgium,MALE,79.14
2018,VC_SNS_WALN_DRK,Belgium,FEMALE,69.7
2020,VC_SNS_WALN_DRK,Bulgaria,FEMALE,18.6
2014,VC_SNS_WALN_DRK,Canada,BOTHSEX,52.0
2014,VC_SNS_WALN_DRK,Canada,MALE,64.0
2014,VC_SNS_WALN_DRK,Canada,FEMALE,38.0
2019,VC_SNS_WALN_DRK,Canada,FEMALE,82.5
2019,VC_SNS_WALN_DRK,Canada,MALE,92.3
2019,VC_SNS_WALN_DRK,Canada,BOTHSEX,87.6
2016,VC_SNS_WALN_DRK,Chile,FEMALE,20.1
2016,VC_SNS_WALN_DRK,Chile,MALE,35.9
2016,VC_SNS_WALN_DRK,Chile,BOTHSEX,27.8
2017,VC_SNS_WALN_DRK,Chile,MALE,36.6
2017,VC_SNS_WALN_DRK,Chile,FEMALE,18.7
2017,VC_SNS_WALN_DRK,Chile,BOTHSEX,27.4
2018,VC_SNS_WALN_DRK,Chile,FEMALE,20.6
2018,VC_SNS_WALN_DRK,Chile,BOTHSEX,29.3
2018,VC_SNS_WALN_DRK,Chile,MALE,38.5
2019,VC_SNS_WALN_DRK,Chile,FEMALE,22.3
2019,VC_SNS_WALN_DRK,Chile,BOTHSEX,32.6
2019,VC_SNS_WALN_DRK,Chile,MALE,43.4
2020,VC_SNS_WALN_DRK,Chile,BOTHSEX,35.0
2020,VC_SNS_WALN_DRK,Chile,MALE,44.3
2020,VC_SNS_WALN_DRK,Chile,FEMALE,26.3
2021,VC_SNS_WALN_DRK,Chile,BOTHSEX,32.3
2021,VC_SNS_WALN_DRK,Chile,MALE,43.0
2021,VC_SNS_WALN_DRK,Chile,FEMALE,22.0
2019,VC_SNS_WALN_DRK,China,BOTHSEX,88.58
2019,VC_SNS_WALN_DRK,China,FEMALE,82.24
2019,VC_SNS_WALN_DRK,China,MALE,92.74
2020,VC_SNS_WALN_DRK,China,MALE,94.71
2020,VC_SNS_WALN_DRK,China,FEMALE,85.95
2020,VC_SNS_WALN_DRK,China,BOTHSEX,91.44
2015,VC_SNS_WALN_DRK,Estonia,BOTHSEX,74.0
2016,VC_SNS_WALN_DRK,Estonia,BOTHSEX,72.0
2017,VC_SNS_WALN_DRK,Estonia,BOTHSEX,76.0
2018,VC_SNS_WALN_DRK,Estonia,BOTHSEX,76.0
2019,VC_SNS_WALN_DRK,Estonia,BOTHSEX,76.1
2020,VC_SNS_WALN_DRK,Estonia,BOTHSEX,74.1
2020,VC_SNS_WALN_DRK,Estonia,MALE,88.0
2020,VC_SNS_WALN_DRK,Estonia,FEMALE,62.0
2021,VC_SNS_WALN_DRK,Estonia,MALE,88.0
