Year,SeriesCode,GeoAreaName,Age,Sex,Value
2005,VC_HTF_DETVFLR,Albania,ALLAGE,BOTHSEX,0.23
2006,VC_HTF_DETVFLR,Albania,ALLAGE,BOTHSEX,0.2
2017,VC_HTF_DETVFLR,Albania,<18Y,FEMALE,5.88
2017,VC_HTF_DETVFLR,Albania,<18Y,BOTHSEX,3.49
2018,VC_HTF_DETVFLR,Albania,18+,BOTHSEX,0.22
2018,VC_HTF_DETVFLR,Albania,<18Y,BOTHSEX,4.08
2018,VC_HTF_DETVFLR,Albania,<18Y,MALE,4.45
2018,VC_HTF_DETVFLR,Albania,<18Y,FEMALE,3.68
2020,VC_HTF_DETVFLR,Italy,18+,FEMALE,0.95
2021,VC_HTF_DETVFLR,Italy,ALLAGE,BOTHSEX,0.34
2012,VC_HTF_DETVFLR,Japan,ALLAGE,BOTHSEX,0.01
2014,VC_HTF_DETVFLR,Japan,ALLAGE,BOTHSEX,0.01
2019,VC_HTF_DETVFLR,Albania,<18Y,MALE,2.61
2019,VC_HTF_DETVFLR,Albania,<18Y,BOTHSEX,3.84
2019,VC_HTF_DETVFLR,Albania,<18Y,FEMALE,5.13
2014,VC_HTF_DETVFLR,Japan,18+,MALE,0.01
2015,VC_HTF_DETVFLR,Japan,ALLAGE,BOTHSEX,0.03
2015,VC_HTF_DETVFLR,Japan,18+,MALE,0.06
2016,VC_HTF_DETVFLR,Japan,18+,MALE,0.02
2020,VC_HTF_DETVFLR,Albania,<18Y,BOTHSEX,4.26
2020,VC_HTF_DETVFLR,Albania,<18Y,MALE,2.67
2020,VC_HTF_DETVFLR,Albania,<18Y,FEMALE,5.92
2016,VC_HTF_DETVFLR,Japan,ALLAGE,BOTHSEX,0.01
2020,VC_HTF_DETVFLR,Japan,18+,MALE,0.02
2020,VC_HTF_DETVFLR,Japan,18+,BOTHSEX,0.01
2020,VC_HTF_DETVFLR,Japan,ALLAGE,BOTHSEX,0.01
2008,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,BOTHSEX,0.04
2017,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,BOTHSEX,0.11
2020,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,BOTHSEX,0.11
2021,VC_HTF_DETVFLR,Albania,ALLAGE,BOTHSEX,0.56
2006,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,BOTHSEX,0.1
2009,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,BOTHSEX,0.12
2012,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,BOTHSEX,0.18
2013,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,BOTHSEX,0.17
2012,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,4.29
2013,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,3.32
2014,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,2.72
2015,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,1.12
2017,VC_HTF_DETVFLR,Uzbekistan,18+,BOTHSEX,1.68
2017,VC_HTF_DETVFLR,Uzbekistan,18+,MALE,0.39
2012,VC_HTF_DETVFLR,Latvia,ALLAGE,BOTHSEX,0.24
2014,VC_HTF_DETVFLR,Latvia,ALLAGE,BOTHSEX,0.6
2014,VC_HTF_DETVFLR,Latvia,18+,FEMALE,0.87
2017,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,1.13
2017,VC_HTF_DETVFLR,Uzbekistan,18+,FEMALE,2.93
2018,VC_HTF_DETVFLR,Uzbekistan,18+,BOTHSEX,1.01
2018,VC_HTF_DETVFLR,Uzbekistan,18+,FEMALE,1.95
2018,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,BOTHSEX,0.67
2019,VC_HTF_DETVFLR,Uzbekistan,18+,FEMALE,0.43
