Year,SeriesCode,GeoAreaName,Sex,Value
2010,VC_PRR_PHYV,Australia,FEMALE,54.2
2010,VC_PRR_PHYV,Australia,BOTHSEX,50.5
2010,VC_PRR_PHYV,Australia,MALE,47.7
2011,VC_PRR_PHYV,Australia,FEMALE,55.1
2011,VC_PRR_PHYV,Australia,BOTHSEX,50.7
2011,VC_PRR_PHYV,Australia,MALE,47.6
2012,VC_PRR_PHYV,Australia,MALE,44.3
2012,VC_PRR_PHYV,Australia,FEMALE,55.6
2012,VC_PRR_PHYV,Australia,BOTHSEX,49.0
2013,VC_PRR_PHYV,Australia,BOTHSEX,49.7
2013,VC_PRR_PHYV,Australia,FEMALE,51.5
2013,VC_PRR_PHYV,Australia,MALE,48.5
2014,VC_PRR_PHYV,Australia,MALE,52.7
2014,VC_PRR_PHYV,Australia,BOTHSEX,51.5
2014,VC_PRR_PHYV,Australia,FEMALE,51.7
2015,VC_PRR_PHYV,Australia,MALE,56.3
2015,VC_PRR_PHYV,Australia,FEMALE,53.3
2015,VC_PRR_PHYV,Australia,BOTHSEX,54.7
2016,VC_PRR_PHYV,Australia,FEMALE,55.6
2016,VC_PRR_PHYV,Australia,MALE,53.9
2016,VC_PRR_PHYV,Australia,BOTHSEX,54.9
2017,VC_PRR_PHYV,Australia,BOTHSEX,53.8
2017,VC_PRR_PHYV,Australia,MALE,51.5
2017,VC_PRR_PHYV,Australia,FEMALE,55.8
2018,VC_PRR_PHYV,Australia,BOTHSEX,51.8
2018,VC_PRR_PHYV,Australia,MALE,52.4
2018,VC_PRR_PHYV,Australia,FEMALE,52.2
2019,VC_PRR_PHYV,Australia,MALE,51.4
2019,VC_PRR_PHYV,Australia,FEMALE,54.0
2019,VC_PRR_PHYV,Australia,BOTHSEX,52.5
2020,VC_PRR_PHYV,Australia,MALE,50.0
2020,VC_PRR_PHYV,Australia,BOTHSEX,51.7
2020,VC_PRR_PHYV,Australia,FEMALE,53.2
2021,VC_PRR_PHYV,Australia,MALE,61.9
2021,VC_PRR_PHYV,Australia,BOTHSEX,59.5
2021,VC_PRR_PHYV,Australia,FEMALE,58.8
2018,VC_PRR_PHYV,Belarus,MALE,28.0
2018,VC_PRR_PHYV,Belarus,FEMALE,25.0
2014,VC_PRR_PHYV,Canada,BOTHSEX,38.0
2014,VC_PRR_PHYV,Canada,MALE,38.57
2014,VC_PRR_PHYV,Canada,FEMALE,37.46
2019,VC_PRR_PHYV,Canada,BOTHSEX,36.1
2019,VC_PRR_PHYV,Canada,MALE,41.1
2019,VC_PRR_PHYV,Canada,FEMALE,31.0
2015,VC_PRR_PHYV,Chile,FEMALE,60.8
2015,VC_PRR_PHYV,Chile,MALE,44.3
2015,VC_PRR_PHYV,Chile,BOTHSEX,50.9
2016,VC_PRR_PHYV,Chile,BOTHSEX,50.2
2016,VC_PRR_PHYV,Chile,FEMALE,69.4
2016,VC_PRR_PHYV,Chile,MALE,39.7
2017,VC_PRR_PHYV,Chile,MALE,43.9
2017,VC_PRR_PHYV,Chile,FEMALE,53.4
2017,VC_PRR_PHYV,Chile,BOTHSEX,47.4
2018,VC_PRR_PHYV,Chile,MALE,35.5
2018,VC_PRR_PHYV,Chile,FEMALE,57.4
2018,VC_PRR_PHYV,Chile,BOTHSEX,45.1
2019,VC_PRR_PHYV,Chile,BOTHSEX,41.2
2019,VC_PRR_PHYV,Chile,MALE,38.2
2019,VC_PRR_PHYV,Chile,FEMALE,44.0
2020,VC_PRR_PHYV,Chile,BOTHSEX,63.1
2020,VC_PRR_PHYV,Chile,MALE,53.5
2020,VC_PRR_PHYV,Chile,FEMALE,79.9
2021,VC_PRR_PHYV,Chile,FEMALE,66.1
2021,VC_PRR_PHYV,Chile,MALE,44.9
2021,VC_PRR_PHYV,Chile,BOTHSEX,53.9
2012,VC_PRR_PHYV,Colombia,BOTHSEX,18.0
2013,VC_PRR_PHYV,Colombia,BOTHSEX,22.1
2014,VC_PRR_PHYV,Colombia,BOTHSEX,20.1
2015,VC_PRR_PHYV,Colombia,BOTHSEX,19.7
2016,VC_PRR_PHYV,Colombia,BOTHSEX,22.1
2017,VC_PRR_PHYV,Colombia,BOTHSEX,25.5
2018,VC_PRR_PHYV,Colombia,BOTHSEX,0.0
2019,VC_PRR_PHYV,Colombia,BOTHSEX,25.56
2020,VC_PRR_PHYV,Colombia,BOTHSEX,27.3
2010,VC_PRR_PHYV,Czechia,BOTHSEX,33.0
2013,VC_PRR_PHYV,Czechia,BOTHSEX,22.0
2010,VC_PRR_PHYV,France,BOTHSEX,31.92
2011,VC_PRR_PHYV,France,BOTHSEX,24.13
2012,VC_PRR_PHYV,France,FEMALE,37.82
2012,VC_PRR_PHYV,France,MALE,25.38
2012,VC_PRR_PHYV,France,BOTHSEX,31.74
2013,VC_PRR_PHYV,France,MALE,25.75
2013,VC_PRR_PHYV,France,FEMALE,30.23
2013,VC_PRR_PHYV,France,BOTHSEX,27.89
2014,VC_PRR_PHYV,France,FEMALE,26.22
2014,VC_PRR_PHYV,France,MALE,22.9
2014,VC_PRR_PHYV,France,BOTHSEX,24.53
2015,VC_PRR_PHYV,France,MALE,28.12
2015,VC_PRR_PHYV,France,FEMALE,26.68
