Year,SeriesCode,GeoAreaName,Sex,Value
2009,VC_PRR_SEXV,Australia,BOTHSEX,31.2
2010,VC_PRR_SEXV,Australia,BOTHSEX,36.6
2011,VC_PRR_SEXV,Australia,BOTHSEX,31.0
2012,VC_PRR_SEXV,Australia,BOTHSEX,30.5
2013,VC_PRR_SEXV,Australia,BOTHSEX,34.2
2014,VC_PRR_SEXV,Australia,BOTHSEX,38.2
2015,VC_PRR_SEXV,Australia,BOTHSEX,24.7
2016,VC_PRR_SEXV,Australia,BOTHSEX,30.4
2017,VC_PRR_SEXV,Australia,BOTHSEX,39.0
2018,VC_PRR_SEXV,Australia,BOTHSEX,20.0
2006,VC_PRR_SEXV,Belgium,BOTHSEX,3.27
2009,VC_PRR_SEXV,Belgium,BOTHSEX,7.23
2004,VC_PRR_SEXV,Canada,BOTHSEX,8.0
2014,VC_PRR_SEXV,Canada,BOTHSEX,5.0
2014,VC_PRR_SEXV,Canada,FEMALE,4.65
2019,VC_PRR_SEXV,Canada,FEMALE,6.0
2019,VC_PRR_SEXV,Canada,BOTHSEX,5.8
2008,VC_PRR_SEXV,Croatia,BOTHSEX,0.0
2010,VC_PRR_SEXV,France,BOTHSEX,11.59
2011,VC_PRR_SEXV,France,BOTHSEX,12.81
2012,VC_PRR_SEXV,France,BOTHSEX,10.76
2013,VC_PRR_SEXV,France,BOTHSEX,7.61
2014,VC_PRR_SEXV,France,BOTHSEX,9.98
2015,VC_PRR_SEXV,France,BOTHSEX,8.84
2016,VC_PRR_SEXV,France,BOTHSEX,17.56
2017,VC_PRR_SEXV,France,BOTHSEX,18.35
2018,VC_PRR_SEXV,France,BOTHSEX,25.15
2019,VC_PRR_SEXV,France,BOTHSEX,17.41
2010,VC_PRR_SEXV,Georgia,FEMALE,18.9
2010,VC_PRR_SEXV,Georgia,BOTHSEX,60.0
2020,VC_PRR_SEXV,Germany,MALE,12.6
2020,VC_PRR_SEXV,Germany,BOTHSEX,2.2
2020,VC_PRR_SEXV,Germany,FEMALE,1.8
2013,VC_PRR_SEXV,Iceland,BOTHSEX,4.2
2014,VC_PRR_SEXV,Iceland,BOTHSEX,6.6
2015,VC_PRR_SEXV,Iceland,BOTHSEX,3.3
2016,VC_PRR_SEXV,Iceland,BOTHSEX,10.3
2017,VC_PRR_SEXV,Iceland,BOTHSEX,7.2
2018,VC_PRR_SEXV,Iceland,BOTHSEX,7.2
2019,VC_PRR_SEXV,Iceland,BOTHSEX,5.6
2019,VC_PRR_SEXV,Iceland,MALE,0.0
2019,VC_PRR_SEXV,Iceland,FEMALE,6.3
2020,VC_PRR_SEXV,Iceland,BOTHSEX,7.0
2020,VC_PRR_SEXV,Iceland,MALE,0.0
2020,VC_PRR_SEXV,Iceland,FEMALE,15.9
2012,VC_PRR_SEXV,Republic of Korea,BOTHSEX,8.4
2014,VC_PRR_SEXV,Republic of Korea,BOTHSEX,5.4
2016,VC_PRR_SEXV,Republic of Korea,BOTHSEX,13.7
2016,VC_PRR_SEXV,Republic of Korea,FEMALE,13.7
2018,VC_PRR_SEXV,Republic of Korea,BOTHSEX,31.23
2020,VC_PRR_SEXV,Republic of Korea,BOTHSEX,0.0
2015,VC_PRR_SEXV,Kyrgyzstan,BOTHSEX,31.8
2013,VC_PRR_SEXV,Luxembourg,BOTHSEX,29.0
2015,VC_PRR_SEXV,Mexico,BOTHSEX,7.42
2016,VC_PRR_SEXV,Mexico,FEMALE,7.31
2016,VC_PRR_SEXV,Mexico,BOTHSEX,6.82
2017,VC_PRR_SEXV,Mexico,BOTHSEX,4.01
2017,VC_PRR_SEXV,Mexico,FEMALE,3.88
2018,VC_PRR_SEXV,Mexico,BOTHSEX,5.95
2018,VC_PRR_SEXV,Mexico,FEMALE,4.91
2019,VC_PRR_SEXV,Mexico,FEMALE,4.15
2019,VC_PRR_SEXV,Mexico,BOTHSEX,4.6
2020,VC_PRR_SEXV,Mexico,FEMALE,6.77
2020,VC_PRR_SEXV,Mexico,BOTHSEX,6.64
