Year,SeriesCode,GeoAreaName,Age,Value
2018,SG_REG_BRTH,Albania,M24T35,98.8
2018,SG_REG_BRTH,Albania,M12T23,98.9
2018,SG_REG_BRTH,Albania,<1Y,97.7
2018,SG_REG_BRTH,Albania,M36T47,97.8
2018,SG_REG_BRTH,Albania,M48T59,98.9
2018,SG_REG_BRTH,Albania,<5Y,98.4
2006,SG_REG_BRTH,Azerbaijan,M12T23,92.5
2006,SG_REG_BRTH,Azerbaijan,M24T35,98.0
2006,SG_REG_BRTH,Azerbaijan,M36T47,95.4
2006,SG_REG_BRTH,Azerbaijan,M48T59,95.6
2006,SG_REG_BRTH,Azerbaijan,<5Y,93.6
2006,SG_REG_BRTH,Azerbaijan,<1Y,87.9
2020,SG_REG_BRTH,Australia,<1Y,100.0
2021,SG_REG_BRTH,Austria,<1Y,100.0
2016,SG_REG_BRTH,Armenia,<5Y,98.7
2016,SG_REG_BRTH,Armenia,M12T23,99.3
2016,SG_REG_BRTH,Armenia,M24T35,98.9
2016,SG_REG_BRTH,Armenia,M36T47,100.0
2016,SG_REG_BRTH,Armenia,<1Y,99.7
2016,SG_REG_BRTH,Armenia,M48T59,98.7
2021,SG_REG_BRTH,Belgium,<1Y,100.0
2006,SG_REG_BRTH,Bosnia and Herzegovina,<1Y,98.1
2006,SG_REG_BRTH,Bosnia and Herzegovina,M12T23,99.7
2006,SG_REG_BRTH,Bosnia and Herzegovina,M36T47,99.7
2006,SG_REG_BRTH,Bosnia and Herzegovina,M48T59,100.0
2006,SG_REG_BRTH,Bosnia and Herzegovina,<5Y,99.5
2006,SG_REG_BRTH,Bosnia and Herzegovina,M24T35,100.0
2021,SG_REG_BRTH,Bulgaria,<1Y,100.0
2019,SG_REG_BRTH,Belarus,<1Y,100.0
2020,SG_REG_BRTH,Canada,<1Y,100.0
2011,SG_REG_BRTH,Chile,<8Y,99.4
2015,SG_REG_BRTH,Colombia,<1Y,93.6
2015,SG_REG_BRTH,Colombia,M24T35,97.3
2015,SG_REG_BRTH,Colombia,<5Y,96.8
2015,SG_REG_BRTH,Colombia,M36T47,97.4
2015,SG_REG_BRTH,Colombia,M48T59,97.5
2015,SG_REG_BRTH,Colombia,M12T23,98.1
2013,SG_REG_BRTH,Costa Rica,<1Y,99.6
2019,SG_REG_BRTH,Croatia,<1Y,100.0
2020,SG_REG_BRTH,Cyprus,<1Y,100.0
2021,SG_REG_BRTH,Czechia,<1Y,100.0
2019,SG_REG_BRTH,Denmark,<1Y,100.0
2021,SG_REG_BRTH,Estonia,<1Y,100.0
2021,SG_REG_BRTH,Finland,<1Y,100.0
2020,SG_REG_BRTH,France,<1Y,100.0
2017,SG_REG_BRTH,Georgia,<1Y,97.5
2017,SG_REG_BRTH,Georgia,M12T23,98.6
2017,SG_REG_BRTH,Georgia,M24T35,99.6
2017,SG_REG_BRTH,Georgia,M36T47,99.4
2017,SG_REG_BRTH,Georgia,M48T59,97.2
2017,SG_REG_BRTH,Georgia,<5Y,98.5
2021,SG_REG_BRTH,Germany,<5Y,100.0
2021,SG_REG_BRTH,Greece,<1Y,100.0
2021,SG_REG_BRTH,Hungary,<1Y,100.0
2021,SG_REG_BRTH,Iceland,<1Y,100.0
2021,SG_REG_BRTH,India,<1Y,86.654
2021,SG_REG_BRTH,India,M12T23,90.581
2021,SG_REG_BRTH,India,M24T35,90.014
2021,SG_REG_BRTH,India,M36T47,89.369
2021,SG_REG_BRTH,India,M48T59,88.78
2021,SG_REG_BRTH,India,<5Y,89.081
2021,SG_REG_BRTH,Ireland,<1Y,100.0
2021,SG_REG_BRTH,Israel,<1Y,100.0
2021,SG_REG_BRTH,Italy,<1Y,100.0
2020,SG_REG_BRTH,Japan,<1Y,100.0
2015,SG_REG_BRTH,Kazakhstan,<1Y,98.7
2015,SG_REG_BRTH,Kazakhstan,M12T23,100.0
2015,SG_REG_BRTH,Kazakhstan,M24T35,100.0
2015,SG_REG_BRTH,Kazakhstan,M36T47,99.8
2015,SG_REG_BRTH,Kazakhstan,M48T59,100.0
2015,SG_REG_BRTH,Kazakhstan,<5Y,99.7
2018,SG_REG_BRTH,Kyrgyzstan,<5Y,98.9
2018,SG_REG_BRTH,Kyrgyzstan,M48T59,99.8
2018,SG_REG_BRTH,Kyrgyzstan,M36T47,99.9
2018,SG_REG_BRTH,Kyrgyzstan,M24T35,99.2
2018,SG_REG_BRTH,Kyrgyzstan,<1Y,96.9
2018,SG_REG_BRTH,Kyrgyzstan,M12T23,98.8
2021,SG_REG_BRTH,Latvia,<1Y,100.0
2021,SG_REG_BRTH,Liechtenstein,<1Y,100.0
2021,SG_REG_BRTH,Lithuania,<1Y,100.0
2021,SG_REG_BRTH,Luxembourg,<1Y,100.0
2021,SG_REG_BRTH,Malta,<1Y,100.0
2020,SG_REG_BRTH,Mexico,<5Y,97.016
2020,SG_REG_BRTH,Mexico,M24T35,98.69
2020,SG_REG_BRTH,Mexico,M12T23,97.62
2020,SG_REG_BRTH,Mexico,<1Y,89.24
2020,SG_REG_BRTH,Mexico,M36T47,99.11
2020,SG_REG_BRTH,Mexico,M48T59,99.41
2012,SG_REG_BRTH,Republic of Moldova,M12T23,100.0
2012,SG_REG_BRTH,Republic of Moldova,M24T35,100.0
2012,SG_REG_BRTH,Republic of Moldova,M36T47,100.0
2012,SG_REG_BRTH,Republic of Moldova,M48T59,100.0
2012,SG_REG_BRTH,Republic of Moldova,<5Y,99.6
2012,SG_REG_BRTH,Republic of Moldova,<1Y,98.0
2013,SG_REG_BRTH,Montenegro,<1Y,97.7
2013,SG_REG_BRTH,Montenegro,M12T23,100.0
2013,SG_REG_BRTH,Montenegro,M24T35,100.0
2013,SG_REG_BRTH,Montenegro,M36T47,99.1
2013,SG_REG_BRTH,Montenegro,M48T59,100.0
2013,SG_REG_BRTH,Montenegro,<5Y,99.4
2021,SG_REG_BRTH,Netherlands (Kingdom of the),<1Y,100.0
2021,SG_REG_BRTH,New Zealand,<1Y,100.0
2021,SG_REG_BRTH,Norway,<1Y,100.0
2018,SG_REG_BRTH,Poland,<1Y,100.0
2020,SG_REG_BRTH,Portugal,<1Y,100.0
2020,SG_REG_BRTH,Romania,<1Y,100.0
2019,SG_REG_BRTH,Serbia,M24T35,99.789
2019,SG_REG_BRTH,Serbia,M36T47,100.0
2019,SG_REG_BRTH,Serbia,<1Y,99.809
2019,SG_REG_BRTH,Serbia,M12T23,100.0
2019,SG_REG_BRTH,Serbia,<5Y,99.9
2019,SG_REG_BRTH,Serbia,M48T59,100.0
2021,SG_REG_BRTH,Slovakia,<5Y,100.0
2021,SG_REG_BRTH,Viet Nam,<1Y,93.001
2021,SG_REG_BRTH,Viet Nam,M36T47,99.695
2021,SG_REG_BRTH,Viet Nam,M48T59,99.67
2021,SG_REG_BRTH,Viet Nam,M24T35,98.492
2021,SG_REG_BRTH,Viet Nam,M12T23,98.269
2021,SG_REG_BRTH,Viet Nam,<5Y,98.079
2021,SG_REG_BRTH,Slovenia,<1Y,100.0
2020,SG_REG_BRTH,Spain,<1Y,100.0
2021,SG_REG_BRTH,Sweden,<1Y,100.0
2021,SG_REG_BRTH,Switzerland,<1Y,100.0
2017,SG_REG_BRTH,Tajikistan,<5Y,95.8
2017,SG_REG_BRTH,Tajikistan,M36T47,97.5
2017,SG_REG_BRTH,Tajikistan,<1Y,89.6
2017,SG_REG_BRTH,Tajikistan,M48T59,98.1
2017,SG_REG_BRTH,Tajikistan,M12T23,96.0
2017,SG_REG_BRTH,Tajikistan,M24T35,97.5
2018,SG_REG_BRTH,United Arab Emirates,<1Y,100.0
2018,SG_REG_BRTH,Türkiye,<5Y,98.4
2019,SG_REG_BRTH,Turkmenistan,M12T23,99.884
2019,SG_REG_BRTH,Turkmenistan,<1Y,99.286
2019,SG_REG_BRTH,Turkmenistan,M36T47,100.0
2019,SG_REG_BRTH,Turkmenistan,M24T35,100.0
2019,SG_REG_BRTH,Turkmenistan,M48T59,100.0
2019,SG_REG_BRTH,Turkmenistan,<5Y,99.9
2012,SG_REG_BRTH,Ukraine,M36T47,100.0
2012,SG_REG_BRTH,Ukraine,M24T35,100.0
2012,SG_REG_BRTH,Ukraine,M12T23,100.0
2012,SG_REG_BRTH,Ukraine,<1Y,98.8
2012,SG_REG_BRTH,Ukraine,<5Y,99.8
2012,SG_REG_BRTH,Ukraine,M48T59,100.0
2019,SG_REG_BRTH,North Macedonia,<1Y,98.967
2019,SG_REG_BRTH,North Macedonia,M24T35,100.0
2019,SG_REG_BRTH,North Macedonia,M12T23,100.0
2019,SG_REG_BRTH,North Macedonia,<5Y,99.8
2019,SG_REG_BRTH,North Macedonia,M48T59,100.0
2019,SG_REG_BRTH,North Macedonia,M36T47,100.0
2020,SG_REG_BRTH,United Kingdom of Great Britain and Northern Ireland,<1Y,100.0
2022,SG_REG_BRTH,Uzbekistan,<1Y,100.0
2022,SG_REG_BRTH,Uzbekistan,M12T23,100.0
2022,SG_REG_BRTH,Uzbekistan,M36T47,100.0
2022,SG_REG_BRTH,Uzbekistan,<5Y,100.0
2022,SG_REG_BRTH,Uzbekistan,M24T35,100.0
2022,SG_REG_BRTH,Uzbekistan,M48T59,100.0
2022,SG_REG_BRTH,Uzbekistan,M48T59,100.0
